Kashubian	Štokavian	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	j	1.0
f	ʋ	1.0
i	a_k	1.0
j	j	1.0
m	m	1.0
n	n	1.0
u̯ɛ	o	1.0
v	ʋ	1.0
x	x	1.0
z	z	1.0
ə	i	1.0
ɲ	n	1.0
ʂ	-	1.0
ʃ	ʒ	1.0
ʐ	r	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	-	1.0
ˈi	î	1.0
ˈõ	ûː	1.0
ˈu	ôː	1.0
ˈə	îː	1.0
l	ʎ	0.221
s	s	0.961
ˈɛ	ě	0.091
r	r	0.822
t	t	0.822
w	o	0.132
w	l	0.642
ɛ	e	0.602
ʦ	t	0.72
ˈa	ê	0.942
ˈɔ	ǎː	0.192
k	k	0.873
ɔ	e	0.103
ɡ	ɡ	0.973
ʦ	ʦ	0.263
ʧ	-	0.713
l	-	0.114
p	b	0.314
ˈɔ	ě	0.154
ˈɔ	ôː	0.284
ˈɛ	êː	0.054
ˈɛ	-	0.314
u̯ˈɛ	ô	0.545
ˈe	ê	0.5
ˈe	j_ěː	0.5
ˈɔ	ǒ	0.185
ˈɔ	-	0.185
ˈɞ	â	0.305
ˈɞ	ěː	0.695
l	l_j	0.056
p	p	0.686
u̯ˈɛ	ôː	0.226
w	-	0.226
ˈɛ	ê	0.296
k	ɡ	0.127
ɔ	o	0.897
ʧ	ʧ	0.287
ˈɛ	ô	0.067
r	r̩̂ː	0.178
t	d	0.178
ɛ	a	0.398
ˈa	j_êː	0.058
l	l	0.609
u̯ˈɛ	ǒ	0.229
ˈɛ	â	0.179
