Pennsylvania German	Pennsylvania German	probability
ˈɪ_ʋ	ˈei̯_v	1.0
ˈuː	ˈʏ	1.0
ˈoː_d̥	ˈu_t	1.0
ˈiː	ˈi	1.0
ˈaʊ̯	ˈɑi̯	1.0
ʦ	ʦ	1.0
ʋ_ə	n	1.0
ʋ	v	1.0
ɾ_ˈɔː	r_ˈɑi̯	1.0
ɣ_ə	n	1.0
ɣ	-	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
x	x	1.0
t	t	1.0
p	p	1.0
m	m	1.0
h	h	1.0
f	f	1.0
eː	ɑ	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
k	k	0.944
ˈɪ	ˈɘ̟	0.875
ˈʊ	ˈu	0.857
l	w	0.854
ʃ	ʃ	0.852
ɾ	r	0.81
ə	a	0.75
n	n	0.714
ˈa	ˈɑ	0.654
#>	r_#>	0.625
d	t	0.621
ˈɔ	ˈu	0.6
ɪ	ɪ	0.6
b̥	-	0.6
ɑ	ɛ	0.576
ˈaɪ̯	ˈai̯	0.565
s	s	0.565
ˈeː	ˈa	0.529
ˈɛː	ˈɑ	0.5
ˈɛː	-	0.5
ˈoː	ˈø	0.5
ˈaː	ˈi̯ø	0.5
ˈaː	-	0.5
j	ɟ	0.5
j	j	0.5
d̥	t	0.5
d̥	d̥	0.5
ç	x	0.467
ˈɔː	-	0.462
ɪ	ə	0.4
b̥	b̥	0.4
s	z	0.391
ˈɔː	ˈɔ	0.385
ˈɛ	ˈɑ	0.333
d	d	0.31
ˈoː	ˈu	0.3
ˈa	ˈɔ	0.269
ç	ç	0.267
ˈaɪ̯	ˈɑi̯	0.261
ˈeː	ˈɑ	0.235
ˈɛ	ˈɛ	0.222
ˈɛ	ˈa	0.222
#>	n_#>	0.219
ɑ	r	0.212
ˈɔ	ˈɔ	0.2
ˈɔ	ˈø	0.2
ˈoː	-	0.2
n	n_d	0.2
ɾ	-	0.19
ˈaɪ̯	-	0.174
#>	ɡ̊_#>	0.156
ˈɔː	ˈɑi̯	0.154
ə	-	0.15
l	l	0.146
ˈʊ	ˈʏ	0.143
ç	k	0.133
ç	-	0.133
ɑ	-	0.121
ˈeː	ˈei̯_n	0.118
ˈeː	ˈei̯	0.118
ˈɛ	ˈɘ̟	0.111
ˈɛ	-	0.111
ʃ	s	0.111
ə	n	0.1
ɑ	ə	0.091
n	-	0.086
ˈɪ	ˈei̯	0.083
ˈa	ˈɛ	0.077
d	-	0.069
k	c	0.056
