Portuguese	Lombard	probability
b	b	1.0
d	d	0.845
d	t	0.155
ẽ	ã	1.0
f	f	1.0
i	-	0.555
i	i	0.284
i	a	0.088
i	ˈi	0.073
ĩ	ĩ	1.0
j	-	0.634
j	j	0.197
j	y	0.082
j̃	-	0.508
j̃	a	0.164
j̃	ĩ	0.164
j̃	ˈi	0.164
k	k	0.933
l	l	1.0
m	m	0.898
m	z	0.086
n	n	0.936
n	m	0.061
o	u	1.0
õ	ũ	1.0
p	p	0.912
p	-	0.058
s	s	0.443
s	ʧ	0.291
s	ʦ	0.158
s	ʃ	0.103
t	t	0.662
t	ʦ	0.184
t	t_e	0.154
u	-	0.767
u	u	0.11
v	ʋ	0.671
v	-	0.113
v	b	0.11
w	w	0.487
w	l	0.227
w	u	0.192
w̃	-	0.599
w̃	ˈũː	0.249
w̃	r	0.152
z	-	0.686
z	z	0.226
z	d	0.087
ð	d	0.456
ð	t	0.297
ð	-	0.181
ɐ	a	0.769
ɐ	-	0.182
ɐ̃	-	0.744
ɐ̃	u	0.151
ɐ̃	ã	0.105
ɔ	u	1.0
ɡ	ɡ	0.939
ɡ	k	0.061
ɣ	ɡ	0.378
ɣ	k	0.287
ɣ	-	0.221
ɣ	d	0.115
ɨ	-	0.441
ɨ	e	0.155
ɨ	a	0.119
ɨ	i	0.111
ɨ	u	0.077
ɫ	l	0.939
ɲ	ɲ	0.581
ɲ	ˈĩː	0.207
ɲ	n	0.12
ɲ	ʤ	0.092
ɾ	r	0.514
ɾ	-	0.44
ʁ	r	0.837
ʁ	f	0.163
ʃ	s	0.728
ʃ	-	0.094
ʃ	ʃ	0.06
ʃ	p	0.055
ʎ	-	0.273
ʎ	j	0.234
ʎ	ʤ	0.224
ʎ	l	0.164
ʎ	ʧ	0.106
ʒ	ʤ	0.78
ʒ	ʃ	0.155
ʒ	-	0.065
ˈa	ˈa	0.816
ˈa	ˈaː	0.099
ˈe	ˈe	0.207
ˈe	ˈɛ	0.205
ˈe	-	0.199
ˈe	ˈɔ	0.097
ˈe	ˈa	0.081
ˈe	e_d	0.064
ˈe	ˈi	0.064
ˈẽ	ˈɛ	0.28
ˈẽ	ˈɛ̃ː	0.24
ˈẽ	ˈẽː	0.208
ˈẽ	ˈãː	0.164
ˈẽ	ˈe	0.108
ˈi	ˈi	0.67
ˈi	-	0.127
ˈi	ˈa	0.098
ˈĩ	ˈẽː	0.557
ˈĩ	ˈĩː	0.443
ˈo	ˈɔ	0.227
ˈo	ˈu	0.204
ˈo	ˈø	0.176
ˈo	ˈo	0.118
ˈo	ˈyː	0.09
ˈo	y	0.073
ˈõ	ˈũː	1.0
ˈu	ˈy	0.56
ˈu	ˈu	0.157
ˈu	ˈyː	0.142
ˈu	ˈi	0.053
ˈu	ˈũː	0.051
ˈũ	ˈỹː	1.0
ˈɐ	ˈa	0.414
ˈɐ	ˈe	0.375
ˈɐ	ˈɛ	0.094
ˈɐ	-	0.071
ˈɐ̃	ˈãː	0.696
ˈɐ̃	-	0.215
ˈɐ̃	e	0.064
ˈɔ	ˈɔ	0.367
ˈɔ	ˈu	0.254
ˈɔ	ˈøː	0.213
ˈɔ	ˈø	0.061
ˈɔ	ˈa	0.059
ˈɛ	ˈɛ	0.663
ˈɛ	ˈe	0.302
ˈɨ	ˈe	0.669
ˈɨ	ˈa	0.331
β	ʋ	0.715
β	-	0.141
β	f	0.095
