Afrikaans	Eastphalian	probability
b	b	1.0
d	d	0.875
d	-	0.121
f	f	0.917
f	v	0.082
j	j	1.0
k	k	0.937
k	-	0.062
l	l	1.0
m	m	1.0
n	n	0.937
n	-	0.034
n	l	0.03
n	m	0.03
p	p	0.733
p	b_m	0.261
r	r	0.419
r	ɐ	0.329
r	-	0.213
r	ɐ_n	0.037
s	s	0.474
s	z	0.359
s	ʃ	0.157
s_k	ʃ	1.0
t	t	0.564
t	d	0.219
t	-	0.085
t	t_n	0.07
t	l_d	0.058
v	v	0.831
v	w	0.084
v	f	0.084
w	v	0.478
w	w	0.284
w	-	0.215
ŋ	ŋ	0.823
ŋ	n	0.098
ŋ	ç	0.075
ə	ɐ	0.571
ə	ɪ	0.149
ə	-	0.134
ə	ə	0.117
ɦ	h	1.0
ɫ	l	1.0
ˈa	ˈa	0.8
ˈa	ˈaː	0.088
ˈa	-	0.04
ˈa	ˈaʊ̯	0.04
ˈa	ˈɛː	0.04
ˈi	ˈɛɪ̯	0.782
ˈi	ˈiː	0.127
ˈi	ˈʏ	0.062
ˈi	ˈeː	0.041
ˈoːi̯	ˈeo̯	0.495
ˈu	ˈaʊ̯	0.432
ˈu	ˈɔʏ̯	0.376
ˈu	ˈʊ	0.173
ˈuː	ˈaʊ̯	0.495
ˈuːi̯	ˈaʊ̯	0.245
ˈyː	ˈyː	1.0
ˈæ	ˈa	0.375
ˈæ	ˈɛ	0.186
ˈæː	ˈeː	0.574
ˈæː	ˈa	0.284
ˈœ	ˈʏ	0.488
ˈœ	w	0.28
ˈœ	ˈoː	0.173
ˈœi̯	ˈiː	0.495
ˈœu̯	ˈɔ	0.605
ˈœu̯	ˈuː	0.219
ˈœu̯	ˈɔ_l	0.143
ˈœɪ̯	ˈuː	0.871
ˈœɪ̯	ˈʏ	0.094
ˈɑː	ˈɒː	0.717
ˈɑː	ˈeː	0.072
ˈɑː	ˈaː	0.061
ˈɑː	ˈɛə̯	0.059
ˈɑː	ˈɛɪ̯	0.058
ˈɔ	ˈʊ	0.507
ˈɔ	ˈɔ	0.257
ˈɔ	ˈaʊ̯	0.074
ˈɔ	ˈuː	0.074
ˈɔ	-	0.062
ˈɔː	ˈɔ	0.327
ˈɔː	ˈɛː	0.327
ˈə	ˈɪ	1.0
ˈəɪ̯	ˈiː	0.743
ˈəɪ̯	ˈɛɪ̯	0.159
ˈəɪ̯	ˈɪ	0.091
ˈɛ	ˈɪ	0.296
ˈɛ	ˈɛ	0.215
ˈɛ	ˈœ	0.17
ˈɛ	ˈʏ	0.088
ˈɛ	ˈɛː	0.079
ˈɛː	ˈɛ	0.495
ˈɪ	ˈɪ	0.495
ˈɪø̯	ˈoː	0.45
ˈɪø̯	ˈɔ	0.223
ˈɪø̯	ˈɛː	0.127
ˈɪə̯	ˈeː	0.295
ˈɪə̯	ˈɛː	0.285
ˈɪə̯	ˈɛɪ̯	0.276
ˈɪə̯	ˈɛ	0.124
ˈʊə̯	ˈeo̯	0.554
ˈʊə̯	ˈoː	0.216
ˈʊə̯	ˈøː	0.131
ˈʊə̯	ˈɔʏ̯	0.061
ˈʊə̯	ˈuː	0.044
χ	ɣ	0.367
χ	x	0.268
χ	ç	0.172
χ	j	0.117
χ	-	0.04
