Afrikaans	Eastphalian	probability
b	b	1.0
d	d	0.9
d	-	0.1
d̥	d	0.403
d̥	t	0.222
d̥	-	0.195
d̥	l_d	0.179
f	f	0.925
f	v	0.056
i	ə	0.638
i	ɒː	0.362
j	-	0.458
j	ˈøː	0.321
j	j	0.221
k	k	0.829
k	-	0.171
m	m	1.0
n	n	0.939
n	-	0.051
p	p	0.872
p	b	0.128
r	ɐ	0.551
r	r	0.382
r	-	0.066
s	z	0.397
s	s	0.348
s	ʃ	0.218
t	t	1.0
v	v	0.92
v	w	0.056
v̥	f	0.808
v̥	v	0.192
w	v	0.637
w	w	0.192
w	-	0.171
ŋ	ŋ	0.883
ŋ	n	0.078
ə	ɐ	0.763
ə	-	0.142
ə	ə	0.06
ɡ̊	-	1.0
ɦ	h	0.97
ɫ	l	1.0
ˈa	ˈa	0.804
ˈa	ˈɛː	0.061
ˈa	ˈaː	0.053
ˈi	ˈɛɪ̯	0.823
ˈi	ˈiː	0.095
ˈi	ˈʏ	0.052
ˈoːɪ̯	ˈeo̯	1.0
ˈu	ˈaʊ̯	0.552
ˈu	ˈɔʏ̯	0.332
ˈu	ˈʊ	0.116
ˈyː	ˈyː	0.803
ˈyː	ˈuː	0.197
ˈæ	ˈɛ	0.697
ˈæ	ˈɛː	0.247
ˈæ	ˈœ	0.056
ˈæː	ˈa	0.642
ˈæː	-	0.228
ˈæː	ˈeː	0.13
ˈœ	ˈʏ	0.634
ˈœ	ˈoː	0.229
ˈœ	w	0.137
ˈœu̯	ˈɔ	0.636
ˈœu̯	ˈuː	0.364
ˈœɪ̯	ˈuː	0.912
ˈœɪ̯	ˈʏ	0.088
ˈɑː	ˈɒː	0.827
ˈɑː	ˈɛə̯	0.073
ˈɔ	ˈʊ	0.441
ˈɔ	ˈɔ	0.163
ˈɔ	ˈʏ	0.105
ˈɔ	ˈaʊ̯	0.074
ˈɔ	ˈuː	0.074
ˈɔ	ˈoː	0.059
ˈɔː	ˈɛː	0.638
ˈɔː	ˈɔ	0.362
ˈə	ˈɪ	0.964
ˈəɪ̯	ˈiː	0.715
ˈəɪ̯	ˈɛɪ̯	0.124
ˈəɪ̯	ɐ	0.118
ˈɛ	ˈɪ	0.418
ˈɛ	ˈɛ	0.364
ˈɛ	ˈʏ	0.159
ˈɛ	ˈɛɪ̯	0.059
ˈɛː	ˈɛ	0.727
ˈɛː	ˈɪ	0.273
ˈɪ	ˈɪ	1.0
ˈɪø̯	ˈoː	0.443
ˈɪø̯	ˈɔ	0.396
ˈɪø̯	ˈɛː	0.161
ˈɪə̯	ˈeː	0.378
ˈɪə̯	ˈɛɪ̯	0.353
ˈɪə̯	ˈɛː	0.171
ˈɪə̯	ˈɛ	0.097
ˈʊə̯	ˈeo̯	0.409
ˈʊə̯	ˈoː	0.28
ˈʊə̯	ˈɔʏ̯	0.112
ˈʊə̯	ˈøː	0.097
ˈʊə̯	ˈœ	0.061
χ	ɣ	0.315
χ	x	0.262
χ	j	0.147
χ	ŋ	0.087
χ	ç	0.084
χ	ɡ	0.063
