Pennsylvania German	Pennsylvania German	probability
ˈɪ_ç	ˈe_k	1.0
ˈɔɪ̯	jː	1.0
ˈɔ	ˈu	1.0
ˈa_s	ˈɑ_t	1.0
ˈa_n	ɑi̯	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ɾ_ə	r	1.0
ɪ_ç	ɑ_ɣ	1.0
ɣ	ɣ	1.0
ɡ̊	ɣ	1.0
ɡ	ɣ	1.0
s_ˈa	s_ˈɑ	1.0
p	p	1.0
k_s	x_s	1.0
k_#>	ɣ_j_ɔː_#>	1.0
h	x	1.0
eː	x_u	1.0
b̥	β	1.0
b	b	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʋ	<#_xʷ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#	<#_x	1.0
m	m	0.964
ɾ	r	0.931
l	l	0.923
ˈaʊ̯	ˈuː	0.917
ˈa	ˈɑ	0.909
ŋ	ŋ	0.9
ˈʊ	ˈu	0.875
t	t	0.867
ˈuː	ˈɔː	0.833
ʋ	w	0.818
f	ɸ	0.771
ˈɛː	ˈe	0.75
ə	ɑ_n	0.72
ˈiː	ˈeu̯	0.692
n	n	0.65
ˈɔː	ˈɑ	0.609
s	s	0.605
ˈɪ	ˈi	0.6
ɪ	-	0.6
j	ɣ	0.6
ʃ	s	0.562
ˈɛ	ˈe	0.55
ˈaɪ̯	ˈiː	0.55
x	x	0.545
ˈoː	ˈɑu̯	0.538
ɑ	r	0.531
ˈeː	ˈɑi̯	0.52
k	k	0.5
d	θ	0.465
ˈoː	ˈɛː	0.462
ʃ	s_k	0.438
ç	k	0.417
ɪ	ɑ	0.4
j	j	0.4
#>	ɑ_z_#>	0.396
d̥	ð	0.382
ˈɛ	ˈɑ	0.35
d	d	0.349
#>	ɑ̃_#>	0.344
ˈaː	ˈu_r	0.333
ç	z	0.333
s	t	0.326
ˈiː	ˈɔː	0.308
ˈɔː	ˈɑu̯	0.304
x	k	0.273
ˈɪ	ˈu	0.267
ˈɛː	-	0.25
ç	x	0.25
d̥	d	0.235
f	p	0.229
ˈaː	ˈɑ_r	0.222
ˈaː	ˈɑ	0.222
ˈaː	ˈu	0.222
d̥	θ	0.206
k	ɣ	0.2
k	kʷ	0.2
ʋ	β	0.182
x	k_i	0.182
ˈuː	ˈuː	0.167
ˈeː	-	0.16
ˈaɪ̯	ˈiu̯	0.15
ˈaɪ̯	-	0.15
n	nː	0.15
#>	z_#>	0.146
ˈɪ	ˈe	0.133
t	t_i	0.133
ˈʊ	ˈɔː	0.125
ɑ	r_ɑ̃	0.125
ˈeː	ˈɑu̯	0.12
ˈeː	ˈɑi̯_w	0.12
d̥	θ_ɑ̃	0.118
ˈɛ	-	0.1
ˈaɪ̯	ˈi_j	0.1
ə	n	0.1
ŋ	ɡʷ	0.1
n	n_d	0.1
k	kː	0.1
ɑ	e_r	0.094
d	ð	0.093
ˈa	ˈu_r	0.091
ˈɔː	ˈɛː	0.087
ˈaʊ̯	wː	0.083
ˈeː	ˈɑi̯_n	0.08
l	lː	0.077
s	t_s	0.07
ɾ	-	0.069
ɑ	ɔːː	0.062
ɑ	r_ɔː	0.062
ɑ	r_u	0.062
ɑ	r_i	0.062
ə	u	0.06
d̥	d_u	0.059
