Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɶˀ	ˈɘ	1.0
ˈɶ	ˈɔ	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈʊ	1.0
ˈɑˀ	-	1.0
ˈœː	ˈɛ	1.0
ˈøː	-	1.0
ˈøˀ	-	1.0
ˈø	ˈɪ	1.0
ˈæˀ	ˈoː_ɡ̊	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈiː	1.0
ˈy	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	-	1.0
ˈaː	-	1.0
ʨ	d̥	1.0
ʌ	ɐ	1.0
ʁ_ˈœ	r	1.0
ʁ	r	1.0
ɡ̊_ə	n	1.0
ə_#>	#>	1.0
ɐˀ_n	ɐ_n	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	z̥_n	1.0
s_ɡ̊	ʃ	1.0
s_#>	s_#>	1.0
n_ə	n_d̥	1.0
n_#>	#>	1.0
mˀ	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	ɡ̊	1.0
j_#>	#>	1.0
h	h	1.0
f	f	1.0
d̥_j	t	1.0
d̥_#>	ʦ_#>	1.0
b̥_ə	f	1.0
b̥_#>	f_#>	1.0
b̥	b̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_n	<#_n	1.0
n	n	0.933
m	m	0.905
ʋ	v	0.895
ɐ	ɐ	0.818
ˈiˀ	ˈaɪ̯	0.8
ɡ̊	ɡ̊	0.783
d̥	d̥	0.774
ˈu	ˈɔ	0.714
ʦʰ	d̥	0.706
ˈoˀ	ˈuː	0.7
ˈɑ	ˈɒ	0.667
ˈœˀ	-	0.667
ˈyˀ	ˈiː	0.667
ˈe	ˈɪ	0.667
lˀ	l	0.667
ˈuˀ	ˈaʊ̯	0.636
ɐˀ	ɐ	0.6
w_ə	m	0.6
ə	a	0.583
nˀ	n_d̥	0.583
ˈiː	-	0.571
ˈɔˀ	ˈoː	0.556
ð̞ˠ	d̥	0.542
ˈeˀ	ˈaː	0.533
ˈɛ	ˈɛ	0.5
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈo	ˈɔ	0.5
ˈo	-	0.5
ð̞ˠ	s	0.458
ˈiː	ˈaɪ̯	0.429
ˈa	ˈɒ	0.417
j	-	0.417
s	ʃ	0.409
s	s	0.409
ˈʌ	ˈɒ	0.4
ɐˀ	ɐ_d̥	0.4
w_ə	ŋ	0.4
<#	<#_v	0.4
#>	n_#>	0.389
w	x	0.375
w	-	0.375
ˈuˀ	-	0.364
ˈɑ	ˈaɪ̯	0.333
ˈœˀ	ˈuː	0.333
ˈyˀ	ˈaɪ̯	0.333
ˈa	ˈoː	0.333
lˀ	l_d̥	0.333
j	x	0.333
ˈʌ	ˈʊ	0.3
ˈʌ	-	0.3
ˈoˀ	-	0.3
ʦʰ	ʦ	0.294
ə	n	0.292
ˈu	ˈʊ	0.286
#>	b̥_#>	0.278
<#	<#_ˈɒ	0.267
ˈɛ	ˈɒ	0.25
ˈɛ	-	0.25
w	ç	0.25
nˀ	n	0.25
j	h	0.25
ˈɔˀ	ˈɒ	0.222
ˈɔˀ	-	0.222
#>	ç_#>	0.222
ˈiˀ	-	0.2
ˈeˀ	-	0.2
ˈe	ˈɛ	0.2
<#	<#_ˈɛ	0.2
ɐ	ɾ_ɐ	0.182
ˈa	-	0.167
nˀ	-	0.167
ˈeˀ	ˈiː	0.133
ˈeˀ	n	0.133
ˈe	-	0.133
<#	<#_j	0.133
ɡ̊	-	0.13
d̥	x_d̥	0.129
ə	ŋ	0.125
#>	ˈuː_#>	0.111
ʋ	f	0.105
d̥	ʦ	0.097
m	m_ˈʊ	0.095
ɡ̊	ʃ	0.087
ˈa	ˈa	0.083
n	eː	0.067
