Standard German	Standard German	probability
ˈɪ	ˈi	1.0
ˈɛ_l	ˈi_l	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	-	1.0
ˈuː	ˈoː	1.0
ˈa_n	ˈa_n	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_#>	k_s_#>	1.0
ʁ	r	1.0
ɐ_#>	#>	1.0
ç	k	1.0
z̥	s	1.0
x	h	1.0
tʰ	d	1.0
s_t	s_t	1.0
m	m	1.0
k	-	1.0
j	j	1.0
h	h	1.0
d	θ	1.0
a	oː	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#	<#_h	1.0
v	w	0.9
#>	s_#>	0.86
n	n	0.806
l	l	0.806
ˈʊ	ˈu	0.778
s	t	0.778
b	b	0.706
ə	a	0.688
f	f	0.68
ɐ	r	0.679
ˈɛ	ˈɛ	0.667
ˈaː	ˈa	0.667
ɡ	ɡ	0.667
ˈɔʏ̯	ˈiu̯	0.6
ˈiː	ˈiu̯	0.6
b̥	f_s	0.6
ʃ	s	0.583
ŋ	ŋ_ɡ	0.571
ˈɔ	ˈu	0.5
ˈaɪ̯	ˈɛː	0.5
ˈaɪ̯	ˈiː	0.5
ɡ̊	ɡ_s	0.5
ɡ̊	x_s	0.5
ˈoː	ˈɔː	0.455
ˈeː	-	0.444
ŋ	ŋ	0.429
ʃ	s_k	0.417
ˈɔʏ̯	-	0.4
ˈiː	ˈi	0.4
b̥	b	0.4
t	t	0.391
ˈaʊ̯	ˈɔː	0.375
ˈaʊ̯	ˈuː	0.375
d̥	θ	0.364
ˈɛ	ˈa	0.333
ˈeː	ˈi	0.333
ˈaː	ˈeː	0.333
ɡ	ɣ_a	0.333
ˈɔ	ˈɔ	0.3
d̥	d_s	0.273
ˈaʊ̯	-	0.25
ˈʊ	ˈɔ	0.222
ˈeː	ˈɛː_w	0.222
s	t_s	0.222
ˈɔ	ˈi	0.2
f	p	0.2
ə	oː	0.188
ˈoː	ˈɔ	0.182
ˈoː	ˈu	0.182
ˈoː	ˈeː	0.182
d̥	d_u	0.182
d̥	-	0.182
ɐ	a_r	0.179
b	β	0.176
t	θ_s	0.174
t	θ	0.174
t	ð	0.13
t	d	0.13
ə	ɡ_oː	0.125
f	p_a	0.12
b	β_a	0.118
n	a_n	0.113
v	ʍ	0.1
l	lː	0.097
l	l_s	0.097
#>	a_#>	0.08
ɐ	oː	0.071
ɐ	a	0.071
#>	oː_#>	0.06
