Gothic	Danish	probability
a	-	0.615
a	ɐ	0.136
a	ə	0.103
a	w	0.068
a	i	0.068
a_n	ə	0.91
a_n	ɐ	0.067
aː	w	1.0
b	b̥	0.811
b	v	0.075
b	-	0.073
b	ʁ	0.03
d	d̥	0.706
d	-	0.2
d	ɡ̊	0.064
e	ə	0.046
f	f	0.626
f	-	0.36
h	-	0.458
h	h	0.448
h	k	0.042
h	wˀ	0.037
h	ŋˀ	0.03
h_t	t	1.0
i	-	0.547
i	ə	0.325
i	ð̞ˠ	0.104
i_s	s	1.0
iː	-	0.215
j	-	0.862
j	n	0.082
k	kʰ	0.463
k	k	0.23
k	-	0.17
k	j	0.112
k_s	k	1.0
kʷ	kʰ	0.463
l	l	0.625
l	lˀ	0.355
l	-	0.026
l_s	l	1.0
lː	lˀ	0.394
lː	l	0.138
m	m	0.667
m	mˀ	0.305
m	-	0.03
m_s	m	1.0
n	n	0.483
n	-	0.397
n	nˀ	0.083
n	m	0.032
n_d	nˀ	0.733
n_d	n	0.265
n_s	n	0.562
n_s	nˀ	0.168
n_s	s	0.146
n_θ	n	1.0
nː	nˀ	0.488
nː	n	0.299
oː	ə	0.688
oː	-	0.119
oː	ɐ	0.114
p	b̥	0.646
p	-	0.211
p	p	0.086
r	ʁ	0.426
r	-	0.309
r	ɐ	0.116
r	ɐˀ	0.093
r	n	0.035
s	-	0.591
s	s	0.407
s_l	s	1.0
t	t	0.269
t	-	0.258
t	ʦʰ	0.246
t	ð̞ˠ	0.163
t	nˀ	0.041
t_s	t	0.677
t_s	ð̞ˠ	0.312
t_w	ʦʰ	1.0
u	-	0.84
u	ð̞ˠ	0.114
u	w	0.041
w	ʋ	0.341
w	-	0.259
w	ˈo	0.231
w	ˈœ	0.084
w	v	0.065
x	-	0.66
x	j	0.142
z	ʁ	0.351
z	s	0.163
ð	-	1.0
ŋ	-	0.608
ŋ	ŋ	0.162
ŋ	ˈø	0.093
ŋ_ɡ	ŋˀ	1.0
ɔː	ə	0.215
ɡ	ɡ̊	0.492
ɡ	-	0.286
ɡ	jˀ	0.134
ɡ	k	0.051
ɡʷ	ŋ	0.215
ɡːʷ	-	0.463
ɣ	j	0.758
ɣ	-	0.075
ʍ	ʋ	0.574
ʍ	-	0.266
ˈa	ˈɛ	0.182
ˈa	ˈa	0.153
ˈa	ˈʌ	0.124
ˈa	ˈɑ	0.108
ˈa	ˈe	0.092
ˈa_r	ˈɑˀ	0.594
ˈa_r	ɐ	0.392
ˈeː	ˈɔˀ	0.264
ˈeː	ˈɒː	0.223
ˈeː	ˈɔː	0.143
ˈeː	ˈɛˀ	0.119
ˈi	ˈe	0.398
ˈi	ˈɑ	0.122
ˈi	-	0.098
ˈi	ˈiˀ	0.082
ˈi	ˈiː	0.078
ˈiu̯	ˈyˀ	0.478
ˈiu̯	ˈeˀ	0.268
ˈiu̯	ˈiˀ	0.102
ˈiu̯	ˈy	0.102
ˈiː	ˈiˀ	0.402
ˈiː	ˈɛˀ	0.171
ˈiː	ˈiː	0.158
ˈiː	ˈi	0.117
ˈiː	ˈe	0.046
ˈoː	ˈoˀ	0.631
ˈoː	ˈʌ	0.203
ˈoː	ˈo	0.124
ˈu	ˈu	0.437
ˈu	ˈœ	0.147
ˈu	ˈɔ	0.128
ˈu	ˈa	0.074
ˈu	ˈuˀ	0.074
ˈuː	ˈuˀ	0.871
ˈuː	ˈu	0.061
ˈɔ	ɐˀ	0.305
ˈɔ	ˈo	0.266
ˈɔ	ˈoː	0.175
ˈɔ	ˈœˀ	0.162
ˈɔː	ˈɛ	0.18
ˈɔː	ˈʌ	0.18
ˈɔː	ˈœˀ	0.152
ˈɔː	ˈøː	0.115
ˈɔː	ˈɒ	0.076
ˈɔː_s	ˈøː	0.463
ˈɛ	j_ˈɛ	0.283
ˈɛ	ˈiˀ	0.163
ˈɛ	ˈa	0.111
ˈɛ	ˈeː	0.104
ˈɛ	ˈɛ	0.104
ˈɛː	ˈeˀ	0.433
ˈɛː	ˈɛ	0.273
ˈɛː	ˈoˀ	0.136
ˈɛː	ˈɛˀ	0.09
ˈɛː	ˈyː	0.042
β	-	0.605
β	w	0.381
θ	ʦʰ	0.358
θ	ð̞ˠ	0.323
θ	-	0.269
θ	d̥	0.037
θ_a	ɐ	0.324
θ_a	ə	0.282
θ_s	ð̞ˠ	1.0
