Gothic	Danish	probability
a	ə	0.58
a	-	0.294
a	ɐ	0.075
aː	ə	0.822
aː	w	0.178
b	b̥	0.828
b	-	0.172
d	d̥	0.461
d	nˀ	0.245
d	-	0.233
d	ɡ̊	0.061
e	-	1.0
f	f	0.775
f	w	0.177
h	h	0.452
h	-	0.249
h	j	0.136
h	k	0.074
h	ŋˀ	0.073
i	-	0.456
i	ə	0.259
i	ð̞ˠ	0.172
i	ˈʌ	0.113
iː	-	1.0
j	-	1.0
k	k	0.353
k	-	0.343
k	kʰ	0.208
k	j	0.096
kʷ	kʰ	1.0
l	l	0.636
l	lˀ	0.343
lː	lˀ	0.63
lː	l	0.37
m	m	0.768
m	mˀ	0.199
n	n	0.818
n	-	0.106
n	nˀ	0.074
nː	nˀ	0.662
nː	n	0.338
oː	ə	0.695
oː	ʋ	0.089
oː	-	0.088
oː	ɐ	0.066
oː	wˀ	0.063
p	b̥	0.645
p	p	0.208
p	-	0.147
r	ʁ	0.447
r	-	0.244
r	ɐ	0.169
r	ɐˀ	0.105
s	s	0.691
s	-	0.309
t	ð̞ˠ	0.396
t	t	0.251
t	-	0.168
t	ʦʰ	0.164
u	-	0.73
u	w	0.227
w	ʋ	0.609
w	-	0.219
w	ˈuː	0.072
w	ˈœ	0.062
x	-	0.5
x	j	0.5
z	ʁ	0.69
z	s	0.31
ð	-	1.0
ŋ	ŋˀ	0.402
ŋ	ˈø	0.291
ŋ	-	0.28
ɔː	ə	1.0
ɡ	ɡ̊	0.389
ɡ	-	0.361
ɡ	jˀ	0.197
ɡʷ	ŋ	1.0
ɡːʷ	-	1.0
ɣ	ɡ̊	0.493
ɣ	-	0.268
ɣ	w	0.146
ɣ	j	0.094
ʍ	ʋ	0.795
ʍ	-	0.205
ˈa	ˈa	0.258
ˈa	ˈɛ	0.138
ˈa	ˈɑˀ	0.101
ˈa	ˈɔˀ	0.089
ˈa	ˈe	0.089
ˈa	ˈɑ	0.082
ˈa	ˈʌ	0.066
ˈeː	ˈɔˀ	0.466
ˈeː	ˈɔː	0.445
ˈeː	ˈɛˀ	0.055
ˈi	ˈe	0.416
ˈi	-	0.124
ˈi	ˈɑ	0.108
ˈi	ˈɛ	0.095
ˈi	ˈiˀ	0.064
ˈi	ˈʌ	0.05
ˈiu̯	ˈyˀ	0.549
ˈiu̯	ˈiˀ	0.139
ˈiu̯	ˈy	0.126
ˈiu̯	ˈeˀ	0.119
ˈiu̯	ˈyː	0.056
ˈiː	ˈiˀ	0.571
ˈiː	ˈiː	0.181
ˈiː	ˈi	0.104
ˈiː	ˈɛˀ	0.073
ˈiː	ˈe	0.071
ˈoː	ˈoˀ	0.666
ˈoː	ˈʌ	0.129
ˈoː	ˈo	0.102
ˈoː	ˈøː	0.102
ˈu	ˈɔ	0.385
ˈu	ˈu	0.306
ˈu	ˈœ	0.117
ˈu	ˈa	0.076
ˈuː	ˈuˀ	0.653
ˈuː	ˈi	0.277
ˈuː	ˈu	0.07
ˈɔ	ˈo	0.713
ˈɔ	ˈœˀ	0.188
ˈɔ	ˈœ	0.065
ˈɔː	ˈøː	0.298
ˈɔː	ˈœˀ	0.225
ˈɔː	ˈʌ	0.127
ˈɔː	ˈɔˀ	0.124
ˈɔː	ˈoˀ	0.075
ˈɔː	ˈɒ	0.06
ˈɔː	ˈʌˀ	0.055
ˈɛ	j	0.707
ˈɛ	ˈa	0.067
ˈɛ	ˈæ	0.063
ˈɛ	ˈeː	0.062
ˈɛ	ˈɛ	0.062
ˈɛː	ˈeˀ	0.558
ˈɛː	ˈɛ	0.186
ˈɛː	ˈɛˀ	0.136
ˈɛː	ˈyː	0.069
ˈɛː	ˈoˀ	0.051
β	-	1.0
θ	-	0.418
θ	ð̞ˠ	0.306
θ	ʦʰ	0.267
