Shanghainese	Shanghainese	probability
⁵³	³³	1.0
⁵	⁵⁵	1.0
ʨ	k	1.0
ʥ	kʰ	1.0
ʑ	tʰ	1.0
ɯ	-	1.0
ɪ_ʔ	t̚	1.0
ɥ	u	1.0
ɤ	w	1.0
ɡ	k	1.0
ɕ	ɬ	1.0
ɔ	a_w	1.0
ŋ̍	m̩	1.0
ŋ	ŋ	1.0
¹²	³²	1.0
z̩	u	1.0
y	u_j	1.0
w	ɔ	1.0
v	f	1.0
tʰ	h	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o_ʔ	ɔ_k̚	1.0
m	ᵐb	1.0
l	l	1.0
k	k	1.0
f	f	1.0
b	pʰ	1.0
ã	a_ŋ	1.0
a	a	1.0
<#_ɦ	<#	1.0
<#_t	<#	1.0
<#_d	<#	1.0
nʲ	ᵑɡ	0.778
ɑ̃	ɔ_ŋ	0.75
⁵⁵	⁵⁵	0.688
³⁴	⁵⁵	0.667
o	ɵ	0.667
e	ɔ_j	0.667
²³	²²	0.611
ʨʰ	h	0.6
ʔ	k̚	0.591
n	n	0.579
ʦʰ	ʦʰ	0.571
u	u	0.556
ø	ɔ_n	0.545
j	j	0.545
ɜ	i_w	0.5
ɜ	e_w	0.5
ə	u	0.5
u	w_ɔ	0.444
ʦʰ	tʰ	0.429
ʔ	t̚	0.409
ʨʰ	tʰ	0.4
ʦ	ʦ	0.4
ʦ	t	0.4
ɦ	v	0.364
³⁴	³³	0.333
z	ʦʰ	0.333
z	s_j	0.333
z	-	0.333
kʰ	h_w	0.333
kʰ	h	0.333
kʰ	f	0.333
h	h_w	0.333
h	h	0.333
h	f	0.333
e	a_n	0.333
i	e_j	0.318
⁵⁵	³³	0.312
ɦ	h	0.273
ø	a_m	0.273
j	i	0.273
ɑ̃	ŋ	0.25
o	a	0.238
nʲ	ⁿd	0.222
ʦ	ʦ_i	0.2
²³	³²	0.185
ɦ	ᵑɡ	0.182
ɦ	j	0.182
ø	n	0.182
j	e	0.182
i	j	0.182
ə	w_ɔ	0.167
ə	j	0.167
ə	e	0.167
n	ⁿd	0.158
n	a_ŋ	0.158
i	i	0.136
i	e_n	0.136
i	a_j	0.136
²³	²¹	0.111
n	m	0.105
o	ɛ	0.095
²³	⁵⁵	0.093
i	u_n	0.091
