Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_ç	j_ˈɛ	1.0
ˈɛː	ˈɛ_ɡ̊	1.0
ˈɔɪ̯	r	1.0
ˈøː	k_ˈoːu̯	1.0
ˈoː	-	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaː	ˈɛː_x	1.0
ˈaɪ̯	-	1.0
ʤ	-	1.0
ʍ	kʰ_v	1.0
ɪ	ɛ	1.0
ŋ_k	ʰk_a	1.0
ð	ð	1.0
ç	-	1.0
z	-	1.0
x_t	ʰt	1.0
tʰ	tʰ	1.0
t_ə	ʰt͡n̥	1.0
r_ˈɪ	r_ˈɛ	1.0
r_ˈiː	r	1.0
r_#>	#>	1.0
pʰ	pʰ	1.0
m	m	1.0
f_#>	v_ʏ_r̥_#>	1.0
f	f	1.0
e	ɑu̯_ŋ	1.0
b	b̥	1.0
<#_ˈɛ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d̥	1.0
<#	<#_ˈɛ	1.0
s	s	0.894
ˈəi̯	ˈiː	0.833
h	h	0.826
#>	ʏ_r̥_#>	0.788
kʰ	kʰ	0.778
ŋ	ŋ_ɡ̊	0.75
t	t	0.738
j	-	0.714
<#_w	<#_v	0.714
l	l	0.677
p	p	0.667
i	-	0.667
θ	θ	0.647
ˈø	ˈoːu̯	0.6
v	v	0.6
n_#>	ʏ_#>	0.6
k	k	0.6
n	n	0.59
ˈu	ˈuː	0.583
ʃ	s_c	0.571
ɡ	ɟ̊	0.571
w	v	0.556
ˈa	-	0.545
ˈɑː	-	0.5
r	r	0.492
d	ð	0.484
r	r̥	0.477
ˈa	ˈa	0.455
ˈuː	ˈiː_r̥	0.429
ʃ	s_k	0.429
ˈø	-	0.4
ˈo	ˈɔ	0.4
ˈo	-	0.4
v	-	0.4
n_#>	#>	0.4
ə	ɪ	0.393
ˈɛ	ˈɛ	0.375
ˈʌ	ˈʏ	0.364
ˈʌ	-	0.364
d	d̥	0.355
ˈi	-	0.346
ˈɑː	ˈa	0.333
p	ʰp	0.333
i	aːu̯	0.333
ˈe	ˈɛːi̯	0.316
ˈɪ	ˈɪ	0.314
ˈuː	ˈʏ_t͡l̥	0.286
ˈuː	ˈuː	0.286
ɡ	ɡ̊ː	0.286
ə	-	0.286
j	ɡ̊	0.286
<#_w	<#	0.286
ˈeː	ˈa	0.278
ˈeː	-	0.278
ˈʌ	ˈu	0.273
n	t͡n̥	0.256
ˈɛ	-	0.25
ə	ʏ	0.25
ŋ	ŋ	0.25
θ	ð	0.235
ˈiː	ˈiː	0.222
w	ˈɔ	0.222
w	-	0.222
kʰ	cʰ	0.222
ˈe	ˈaː	0.211
ˈo	ˈɪ	0.2
#>	r̥_#>	0.182
h	ç	0.174
ˈɪ	-	0.171
ˈəi̯	-	0.167
ˈɑː	ˈɑu̯	0.167
ˈu	ˈʏ_ɡ̊	0.167
ˈu	ˈʏ	0.167
ˈiː	ˈɑːu̯	0.167
ˈiː	j_ˈɛː	0.167
ˈeː	ˈaː	0.167
ˈeː	j	0.167
l	t͡l̥	0.161
l	l̥	0.161
ˈe	ˈɛi̯	0.158
ˈe	ˈœːy̯	0.158
ˈe	-	0.158
ˈi	ˈaːi̯	0.154
ɡ	ɟ̊ː	0.143
t	ʰt	0.143
k	ʰk	0.133
k	c_a	0.133
k	-	0.133
ˈɛ	ˈɛː	0.125
ˈɛ	ˈau̯	0.125
ˈɛ	j	0.125
θ	nː	0.118
ˈi	ˈœːy̯	0.115
ˈi	ˈai̯	0.115
ˈi	j_ˈuː	0.115
ˈɪ	ˈɪː	0.114
ˈɪ	ˈoːu̯	0.114
ˈɪ	ˈi	0.114
ˈiː	ˈɛːi̯	0.111
ˈiː	ˈɛː	0.111
ˈiː	j_ˈuː	0.111
ˈiː	j	0.111
ˈeː	ˈaːu̯	0.111
n	n̥	0.103
d	ð_a	0.097
ˈu	u	0.083
ˈi	j_ˈoːu̯	0.077
ˈi	j	0.077
ə	ɡ̊_ʏ	0.071
t	-	0.071
d	-	0.065
s	s_j	0.064
ˈɪ	ˈʏː	0.057
ˈɪ	ˈɔ	0.057
ˈɪ	j	0.057
n	-	0.051
