Czech	Slovenian	probability
a	a	1.0
b	b	1.0
c	t	1.0
f	-	1.0
iː	w	1.0
j	j	1.0
m	m	1.0
m̩	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
r̝	r	1.0
r̝̊	r	1.0
v	ʋ	1.0
z	z	1.0
ɪ	i	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈaː	àː	1.0
ˈl̩	ɔ́ː_w	1.0
ˈu	óː	1.0
l	-	0.051
ʦ	ʦ	0.841
ˈo	ɔ	0.061
ˈo	ɔ̀ː	0.411
ˈr̩	ə́_r	0.781
ˈɛ	èː	0.121
x	k	0.362
ɛ	ə	0.262
ˈiː	ìː	0.2
ˈuː	ɔ́	0.402
ˈɛː	éː	0.152
ˈɪ	íː	0.432
d	d_ə	0.053
s	s	0.963
ˈa	áː	0.303
ˈiː	éː	0.123
ˈɛ	e	0.103
t	t	0.734
o	óː	0.365
o	ɔ	0.635
t	t_i	0.255
ˈo	òː	0.05
ˈɛ	ɛ̀ː	0.365
k	k	0.976
ɛ	ɛ	0.396
ɦ	x	0.16
d	d	0.947
ɛ	éː	0.317
ˈiː	èː	0.677
ˈo	óː	0.27
x	x	0.638
ɦ	ɡ	0.818
ˈa	àː	0.558
ˈuː	óː	0.598
ˈɛ	éː	0.378
ˈɛː	èː	0.848
ˈɪ	ìː	0.568
l	w	0.079
l	l	0.869
ʦ	ʧ	0.159
ˈa	á	0.139
ˈo	o	0.209
ˈr̩	r	0.219
