Yiddish	Ripuarian	probability
a	-	1.0
b	b	0.624
b	v	0.237
b	v̥	0.135
d	d	0.64
d	ɡ̊	0.109
d	d̥	0.101
d	t	0.101
f	f	0.882
f	p	0.064
f	ə_f	0.054
h	h	0.983
j	j	1.0
k	k	0.848
k	ɕ	0.142
l	l	0.995
m	m	0.991
n	n	0.525
n	ə	0.264
n	ŋ	0.144
n	-	0.067
p	p	1.0
s	s	0.985
t	d	0.319
t	d̥	0.272
t	t	0.206
t	ɡ̊	0.133
t	-	0.07
v	ʋ	0.91
v	v	0.061
z	z	0.662
z	s	0.338
ŋ	ŋ	0.918
ŋ	n	0.082
ə	ɐ	0.726
ə	ə	0.225
ɛ	ɐ	0.849
ɛ	ə	0.087
ɛ	-	0.065
ɡ	j	0.481
ɡ	ɕ	0.153
ɡ	-	0.136
ɡ	ɣ	0.078
ɡ	ɡ̊	0.067
ɪ	ə	0.569
ɪ	ɪ	0.431
ʀ	ɐ	0.452
ʀ	ʀ	0.428
ʀ	-	0.12
ʃ	ʃ	0.977
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.663
ˈa	ˈaː	0.137
ˈa	ˈɛ	0.096
ˈa	ˈɛː	0.08
ˈaɪ̯	ˈiː	0.23
ˈaɪ̯	ˈʏ	0.23
ˈaɪ̯	ˈyː	0.092
ˈaɪ̯	ˈe	0.079
ˈaɪ̯	ˈøː	0.074
ˈaɪ̯	ˈœ	0.056
ˈaɪ̯	ˈeː	0.056
ˈaɪ̯	ˈɛ	0.056
ˈɔ	ˈoː	0.308
ˈɔ	ˈɔ	0.186
ˈɔ	ˈaː	0.154
ˈɔ	ˈa	0.095
ˈɔ	ˈu	0.065
ˈɔ	ˈo	0.062
ˈɔ	ˈɛː	0.06
ˈɔɪ̯	ˈuː	0.435
ˈɔɪ̯	ˈoː	0.184
ˈɔɪ̯	ˈaʊ̯	0.149
ˈɔɪ̯	ˈɔ	0.088
ˈɔɪ̯	ˈoʊ̯	0.065
ˈɛ	ˈɛː	0.303
ˈɛ	ˈɛ	0.259
ˈɛ	ˈeː	0.123
ˈɛ	ˈɪ	0.071
ˈɛ	ˈœ	0.065
ˈɛ	ˈyː	0.055
ˈɛ	ˈʏ	0.05
ˈɛɪ̯	ˈeː	0.446
ˈɛɪ̯	ˈeɪ̯	0.194
ˈɛɪ̯	ˈoː	0.132
ˈɛɪ̯	ˈyː	0.132
ˈɛɪ̯	ˈiː	0.06
ˈɪ	ˈe	0.281
ˈɪ	ˈɪ	0.143
ˈɪ	ˈiː	0.14
ˈɪ	ˈœ	0.111
ˈɪ	ˈeː	0.084
ˈɪ	ˈøː	0.058
ˈɪ	ˈʏ	0.053
ˈʊ	ˈo	0.387
ˈʊ	ˈoː	0.337
ˈʊ	ˈɔ	0.087
ˈʊ	ˈu	0.079
ˈʊ	ˈʊ	0.067
χ	ɕ	0.672
χ	x	0.288
