Hessian	Hessian	probability
ˈɛ̃ː	ˈoʊ̯	1.0
ˈɛː	-	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈaɪ̯_n	1.0
ˈɑː_ɣ̊	ˈeɪ̯	1.0
ˈɑ_x	ˈʌɪ̯	1.0
ˈõː	ˈʌ_n	1.0
ˈoː_d̥	ˈɛ_d	1.0
ˈoĩ̯	ˈaɪ̯_n	1.0
ˈĩː	ˈi_n	1.0
ˈi_ʃ	ˈʌɪ̯	1.0
ˈẽː	-	1.0
ˈeː	ˈi	1.0
ˈãː	ˈoʊ̯_n	1.0
ˈai̯_#>	ˈi_#>	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ɣ̊_ə	k	1.0
ɣ̊	-	1.0
ɡ̊_ə	k	1.0
ə_#>	#>	1.0
ə	n	1.0
ɑ	θ	1.0
ŋ	ŋ	1.0
v̥	p	1.0
v_ˈɔ	w	1.0
v_ə	v	1.0
pʰ	pʰ	1.0
p	b	1.0
oː	ˈɛ	1.0
l_ˈiː	l	1.0
l_b̥	f	1.0
i	i	1.0
h	h	1.0
<#_ˈɛ	<#	1.0
#>	ˈu_#>	1.0
m	m	0.923
ʀ	ɹ	0.917
f	f	0.917
n	n	0.881
b̥	b	0.857
ˈiː	ˈi	0.8
ɡ̊	ɡ	0.778
f_#>	p_#>	0.75
v	w	0.741
s	s	0.738
æ̆	ɚ	0.727
kʰ	kʰ	0.727
ˈoi̯	-	0.714
ʃ	ʃ	0.714
ˈi	ˈɪ	0.656
ʦ	tʰ	0.636
ˈɛ	ˈɛ	0.625
ˈoː	-	0.625
l	ɫ	0.61
ˈæ	-	0.6
ˈu	ˈʌ	0.6
z̥	ʔ	0.6
ˈaː	ˈi	0.583
ˈe	ˈɛ	0.571
ˈai̯	ˈʌɪ̯	0.571
d̥	d	0.565
ˈau̯	ˈaʊ̯	0.545
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
ɐ	ɹ	0.5
x	k	0.5
x	-	0.5
j	ˈaɪ̯	0.5
j	j	0.5
t	ʔ	0.467
ˈe	-	0.429
ˈai̯	-	0.429
ˈɑː	ˈi	0.417
ˈaː	ˈoʊ̯	0.417
ˈæ	ˈɑ	0.4
ˈu	-	0.4
z̥	ɾ	0.4
k	k	0.4
l	l	0.39
ˈɛ	ˈɪ	0.375
ˈoː	ˈʌ	0.375
ˈo	ˈʌ	0.375
ˈo	ˈʊ	0.375
ʦ	ʔ	0.364
ˈa	ˈæ	0.357
ˈɑ	ˈɛə̯	0.333
ˈuː	ˈaʊ̯	0.333
t	d	0.333
k	ʤ	0.3
k	ɡ	0.3
ˈoi̯	ˈi	0.286
ˈa	ˈɑ	0.286
ʃ	s	0.286
ˈau̯	ˈʌ	0.273
kʰ	ʧ	0.273
d̥	θ	0.261
ˈɑː	ˈæ	0.25
ˈɑ	ˈeɪ̯	0.25
ˈɑ	-	0.25
ˈo	-	0.25
ɐ	ˈɝ	0.25
f_#>	#>	0.25
ˈuː	ˈʌ	0.222
ˈuː	ˈu	0.222
ˈuː	-	0.222
ɡ̊	j	0.222
ˈi	ˈaɪ̯	0.219
ˈa	ˈeɪ̯	0.214
ˈiː	-	0.2
t	t	0.2
s	ʔ	0.19
ˈau̯	-	0.182
ˈɑː	ˈɛ_ɚ	0.167
ˈɑː	ˈɑ_ɹ	0.167
ˈɑ	ˈɑ	0.167
v	v	0.148
ˈa	-	0.143
b̥	f	0.143
æ̆	d_ɚ	0.136
æ̆	-	0.136
d̥	ð	0.13
ɐ	ˈi_ɚ	0.125
ɐ	ɚ	0.125
n	-	0.119
v	-	0.111
ʀ	ɹ_ˈɛ	0.083
f	pʰ	0.083
m	-	0.077
s	-	0.071
ˈi	ˈɛ	0.062
ˈi	-	0.062
