Swedish	Swedish	probability
ˈʊ	ˈʊ	1.0
ˈɛ_ɡː	ˈɔːɪ̯	1.0
ˈɑː_ɡ	ˈaːi̯	1.0
ˈœː	-	1.0
ˈœ_l	l	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈuː_r	ˈuː_r	1.0
ˈoː_n	ˈuː_n	1.0
ˈoː_#>	ˈoː_#>	1.0
ʈː	t	1.0
ʈ	t	1.0
ʂ	s	1.0
ɵ	-	1.0
ɳ	d_ə	1.0
ɡ_ˈoː	ɡ	1.0
ɡ_#>	#>	1.0
ɛ_#>	#>	1.0
ɛ	ə	1.0
ɖ	d	1.0
ɕ	-	1.0
ɔ	i	1.0
ŋː	ŋ	1.0
tʰ_r	t_r	1.0
tʰ	d	1.0
t	t	1.0
sː	-	1.0
s_#>	s_#>	1.0
rː	-	1.0
r_ˈœ	r	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
l	l	1.0
jː	ɣ_j	1.0
j_#>	x_#>	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
n	n	0.938
v	v	0.923
r	r	0.911
k	k	0.909
a	ə	0.889
s	s	0.875
ˈuː	ˈoːu̯	0.818
ɡ	ɣ	0.75
tː	t	0.75
<#_ɡ	<#_ɣ	0.75
ˈɪ	ˈɪ	0.714
ˈiː	ˈi	0.692
ˈʏ	ˈɛː	0.667
v_#>	f_#>	0.667
ˈyː	j	0.6
ˈɛː	-	0.571
#>	ə_#>	0.538
ˈøː	ˈoː	0.526
ˈɑː	ˈɔː	0.5
ˈœ	ˈoːu̯	0.5
ˈœ	-	0.5
ɧ	s_k	0.5
ɧ	s	0.5
ɡː	x	0.5
ɡː	-	0.5
ŋ	x	0.5
ŋ	-	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈeː	ˈeː	0.455
ˈɛː	ˈeː	0.429
j	j	0.429
<#	<#_v	0.429
ˈɔ	ˈuː	0.4
ˈyː	j_ˈoː	0.4
ˈʉː	ˈuː	0.381
ˈʏ	-	0.333
v_#>	x_#>	0.333
ˈɵ	-	0.312
ˈiː	ˈiː	0.308
ˈɑː	ˈɛɪ̯	0.3
ˈɪ	ˈiː	0.286
j	ɣ	0.286
j	l_j	0.286
<#	<#_j	0.286
<#	<#_d	0.286
ˈoː	ˈoːu̯	0.273
ˈɵ	ˈʊ	0.25
ɡ	x	0.25
tː	x_t	0.25
<#_ɡ	<#	0.25
ˈʉː	ˈoː	0.238
ˈa	ˈoː	0.238
ˈøː	ˈɛɪ̯	0.211
ˈɔ	ˈoːu̯	0.2
ˈɔ	x	0.2
ˈɔ	-	0.2
ˈɑː	-	0.2
#>	n_#>	0.192
#>	d_#>	0.192
ˈa	ˈoːu̯	0.19
ˈa	-	0.19
ˈɵ	ˈuː	0.188
ˈɵ	v_ˈʊ	0.188
ˈɛ	ˈɛ	0.182
ˈuː	-	0.182
ˈoː	ˈɛɪ̯	0.182
ˈoː	ˈɔː	0.182
ˈoː	ˈoː	0.182
ˈoː	ˈiː	0.182
ˈeː	ˈoː	0.182
ˈeː	-	0.182
ˈøː	ˈeː	0.158
ˈʉː	-	0.143
ˈa	ˈɔː	0.143
ˈa	ˈɔ	0.143
ˈɛ	ˈiː	0.136
ˈɛ	ˈeː	0.136
ˈɛ	ˈa	0.136
ˈɛ	-	0.136
a	j_ə	0.111
ˈøː	-	0.105
ˈʉː	ˈɛɪ̯	0.095
ˈʉː	j_ˈoː	0.095
ˈa	ˈa	0.095
ˈɛ	ˈɪ	0.091
ˈɛ	ˈɔː	0.091
ˈɛ	ˈaː	0.091
ˈeː	ˈiːu̯	0.091
ˈeː	ˈeːu̯	0.091
k	x	0.091
v	w	0.077
#>	ə_n_#>	0.077
s	z	0.075
ˈɵ	ˈœː	0.062
n	-	0.062
