Logudorese	Logudorese	probability
ˈɛ_ɾ	ˈɛ_r	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈo_ɣ	ˈɔ_k	1.0
ˈo_n	ˈɔ_n	1.0
ˈi_ð	ˈi_t	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_m	ˈɛ_m	1.0
ˈa_ð	ˈa	1.0
ʃ	-	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	r_u	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	lː	1.0
ɔ̆_#>	#>	1.0
ɔ_z	i	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
ð	t	1.0
ŭ	-	1.0
s_k	ʃː	1.0
p_ˈo	p_ˈɔ	1.0
p_ˈi	p_ˈɛ	1.0
p_ɾ	p_j	1.0
p	p	1.0
o	-	1.0
n_ʣ	ɲ	1.0
m_i	m	1.0
j_z	j	1.0
f	f	1.0
ă	-	1.0
a_n	a_n	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ɟ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
a	a	0.929
u	u	0.906
l	l	0.897
ˈa	ˈa	0.879
d	d	0.875
m	m	0.868
n	n	0.854
ɛ	e	0.851
s	s	0.829
i_s	s	0.778
ˈɔ	ˈɔ	0.75
z	-	0.714
β	p	0.667
ˈe	ˈe	0.667
ʣ	ʎ	0.667
ɛ_ɾ	d	0.667
k	k	0.64
ˈu	ˈu	0.639
i	i	0.625
ɾ	r	0.614
ˈi	ˈi	0.609
r	r_n	0.6
nː	-	0.6
ˈɛ	ˈɛ	0.593
t	t	0.585
#>	e_#>	0.556
ˈo	ˈɔ	0.5
#>	a_#>	0.444
j	-	0.438
ʦ	ʦ	0.429
ˈɛ	ˈe	0.407
ɣ	k	0.4
r	rː	0.4
nː	nː	0.4
b	v	0.38
ˈo	ˈo	0.375
ɡ	ɡ	0.375
ɡ	ɟ	0.375
ɣ	ʧ	0.36
b	b	0.34
β	v	0.333
ˈe	ˈɛ	0.333
ʣ	-	0.333
ɛ_ɾ	ˈɛ_r	0.333
e	i	0.333
e	e	0.333
j	c	0.312
t	tː	0.293
ʦ	t	0.286
ʦ	-	0.286
ˈi	ˈɛ	0.261
ɡ	-	0.25
j	j	0.25
ˈu	ˈɔ	0.222
i_s	ʃ	0.222
ˈɔ	ˈo	0.179
i	-	0.167
e	a	0.167
e	-	0.167
ɣ	-	0.16
k	ʧ	0.16
n	-	0.146
z	z	0.143
z	j	0.143
ˈu	ˈo	0.139
ˈo	-	0.125
i	e	0.125
d	-	0.125
m	ŋ	0.105
l	lː	0.103
k	kː	0.1
ɾ	l	0.091
ɾ	j	0.091
ɛ	-	0.09
i	d	0.083
ɣ	ɟ	0.08
b	ɡ	0.08
b	ɟ	0.08
ˈa	-	0.076
u	-	0.073
ˈɔ	-	0.071
ɾ	-	0.068
k	c	0.06
b	k_w	0.06
b	-	0.06
s	ʃ	0.057
s	lː	0.057
s	-	0.057
