East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	ʰtː	1.0
ˈʊə̯	ˈʉ	1.0
ˈʊ	ˈʉ	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯_#>	#>	1.0
ˈɛːɪ̯	ˈeː	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	ˈɑː	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈœːy̯	ˈuː	1.0
ˈœy̯	ˈøː	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈyː_k	ɪ	1.0
ˈyː	-	1.0
ˈuːu̯	ˈʉ	1.0
ˈoːo̯	-	1.0
ˈoː_d̥	ˈæʉ̯	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	-	1.0
ʊ	ˈuː	1.0
ɫ	ɡ_l	1.0
ɣ̊_#>	ɡ_#>	1.0
ɑɪ̯	e	1.0
ɐ_n	ɾ_n	1.0
ŋ_k	ʰkː	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
w	ʋ	1.0
v̥_#>	ʋ_#>	1.0
t_#>	#>	1.0
s_k	ʂ	1.0
s	s	1.0
r	ɾ	1.0
o	-	1.0
n_n	nː_ɑ	1.0
n_#>	#>	1.0
m_n	m_ɑ	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
ɐ	ɾ	0.905
h	h	0.9
f	f	0.9
d̥_#>	#>	0.9
m	m	0.833
z	s	0.826
t	t	0.806
ˈuː	ˈʉː	0.8
l	l	0.769
p	p	0.75
k	k	0.737
ɡ	ɡ	0.682
ˈʏ	ˈʏ	0.667
ˈɑʊ̯	ˈuː	0.636
v	ʋ	0.636
ˈɑː	ˈɑ	0.625
<#_v	<#_ʋ	0.625
ˈʏə̯	ˈʏ	0.6
ɣ̊	ɡː	0.6
ˈɛ	ˈɛ	0.556
ˈɑ	ˈɑ	0.55
ˈɒː	ˈoː	0.533
ˈæɪ̯	ˈæɪ̯	0.533
ˈɪ	ˈɪ	0.522
#>	ɑ_#>	0.5
ˈɛ	-	0.444
ˈeː	ˈeː	0.444
ˈɔ	-	0.429
ˈʏə̯	-	0.4
ɣ̊	ɡ	0.4
<#_v	<#	0.375
n	ɑ	0.353
d	tʰ	0.353
d	d	0.353
ˈʏ	-	0.333
ˈøː	ˈɔ	0.333
ˈeː	-	0.333
n	n	0.294
ˈɔ	ˈʏ	0.286
ˈɔ	ˈɑ	0.286
ˈɒː	ˈɑː	0.267
k	ç	0.263
ˈɑː	-	0.25
#>	ɾ_#>	0.25
#>	ə_#>	0.25
d	-	0.235
ɡ	j	0.227
ˈøː	ˈʉː	0.222
ˈøː	ˈʉ	0.222
ˈøː	ˈœʏ̯	0.222
ˈeː	ˈɛ	0.222
ˈoː	ˈʊ	0.214
ˈoː	ˈæʉ̯	0.214
ˈoː	ˈuː	0.214
ˈoː	ˈoː	0.214
ˈɒː	ˈɑ	0.2
ˈɑ	ˈɑː	0.2
ˈæɪ̯	ˈyː	0.2
ˈuː	-	0.2
ˈɑʊ̯	ˈøː	0.182
ˈɑʊ̯	-	0.182
v	v	0.182
v	-	0.182
ˈɪ	-	0.174
z	ʂ	0.174
p	pʰ	0.167
n	nː	0.162
l	lː	0.154
ˈɑ	-	0.15
ˈoː	-	0.143
ˈæɪ̯	ˈuː	0.133
ˈæɪ̯	-	0.133
ˈɪ	ˈɛ	0.13
ˈɪ	ˈiː	0.13
ˈɑː	ˈæ	0.125
ˈɑ	ˈɛ	0.1
h	j	0.1
f	ʋ	0.1
d̥_#>	d_#>	0.1
ɡ	-	0.091
t	ʰtː	0.083
p	ʰpː	0.083
m	mː	0.083
m	-	0.083
l	j	0.077
n	n_d	0.059
d	ç	0.059
t	tː	0.056
t	-	0.056
