Italian	Romanian	probability
b	b	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
nː	n	1.0
rː	r	1.0
u	u	1.0
w	-	1.0
z	s	1.0
ʃː	ʃ_t	1.0
ʎː	j	1.0
i	-	0.151
n	n	0.861
o	w	0.141
o	e	0.231
t	ʦ	0.151
tː	p_t	0.791
ɡ	k	0.311
ʤ	ʒ	0.061
ˈu	ˈo	0.141
ˈɛ	ˈa	0.161
j	e̯ˈa	0.142
o	-	0.232
p	p	0.942
ˈe	ˈi	0.2
ˈo	ˈo	0.132
a	e	0.143
s	s	0.773
ŋ	ŋ	0.323
ɲː	m	0.23
ˈa	-	0.093
ˈa	ˈɨ	0.23
ˈe	ˈe	0.543
d	z	0.14
d	d	0.794
e	e	0.824
t	-	0.104
v	v	0.594
ʧ	-	0.074
ˈi	ˈi	0.944
ˈo	-	0.094
e	ə	0.085
i	j	0.055
i	i	0.365
j	-	0.125
k	k	0.885
l	r	0.375
lː	l	0.085
lː	-	0.915
r	-	0.055
r	r	0.945
t	t	0.745
ʧː	-	0.5
ʧː	ʦ	0.5
ˈo	o̯ˈa	0.165
ˈɔ	o̯ˈa	0.325
ˈɛ	-	0.075
ˈɛ	j_ˈe	0.15
a	a	0.096
a	-	0.126
d	t	0.066
ʧ	ʧ	0.86
ˈa	ˈa	0.616
ˈe	e̯ˈa	0.146
ˈi	ˈe	0.056
ˈɛ	ˈe	0.236
i	e	0.37
k	-	0.077
l	-	0.087
o	u	0.237
s	ʃ	0.227
ŋ	-	0.677
ɲː	j	0.77
ˈɔ	ˈau̯	0.107
j	l	0.328
j	j	0.38
l	l	0.538
n	-	0.058
p	t	0.058
ˈɛ	ˈi	0.378
a	ə	0.59
i	ə	0.059
o	ə	0.139
tː	t	0.209
v	-	0.399
ɡ	ɡ	0.689
ʤ	ʤ	0.939
ˈo	ˈu	0.609
ˈu	ˈu	0.859
ˈɔ	ˈo	0.279
ˈɔ	ˈu	0.29
