Bokmål Norwegian	Bokmål Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈɛ_tː	aɪ̯	1.0
ˈɑː_ɾ	ˈɒː	1.0
ˈœʏ̯	ˈaʊ̯	1.0
ˈæː	-	1.0
ˈeː_#>	ˈaɪ̯_#>	1.0
ˈeː	-	1.0
ʈː	t	1.0
ʈ	t	1.0
ɾ_ˈœ	r	1.0
ɾ_ə	ɐ	1.0
ɳ	-	1.0
ɡ	x	1.0
ə_ɾ	ɐ	1.0
ŋː	ŋ	1.0
ç	-	1.0
tː	t	1.0
tʰ	d	1.0
t_ə	t_n	1.0
t	t	1.0
s_k	ʃ	1.0
p	p	1.0
nː	n	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
h_ˈøː	h	1.0
h	h	1.0
f	f	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
n	n	0.9
d	d	0.812
ˈɑ	ˈa	0.792
ˈoː	ˈɔː	0.769
k	k	0.765
ʋ	v	0.72
ˈuː	ˈoː	0.667
ɡː	-	0.667
nː_ə	n_n	0.667
mː	m	0.667
ˈʉ	ˈʊ	0.636
ˈyː	ˈaɪ̯	0.636
ˈæɪ̯	ˈeː	0.625
ˈøː	ˈaʊ̯	0.583
ˈʏ	-	0.571
ʂ	ʃ	0.571
ˈɔ	-	0.556
ˈɑː	ˈaː	0.5
ˈɑː	-	0.5
ˈœ	-	0.5
j	-	0.5
<#	<#_k	0.5
<#	<#_j	0.5
#>	d̥_#>	0.48
ˈiː	ˈiː	0.474
ˈʏ	ˈʏ	0.429
ʂ	s	0.429
s	s	0.429
ɾ	ɐ	0.39
ˈɛ	ˈɛ	0.389
s	ʃ	0.381
ˈʉː	ˈuː	0.375
ˈʉː	-	0.375
ˈæɪ̯	-	0.375
ɾ	r	0.366
ə	n	0.347
#>	n_#>	0.34
ˈuː	-	0.333
ɡː	ɡ	0.333
nː_ə	n	0.333
mː	ˈʊ_m	0.333
ə	-	0.327
ˈiː	-	0.316
ˈœ	ˈøː	0.3
j	x	0.3
ə	ə	0.286
ˈʉ	v_ˈʊ	0.273
ˈøː	ˈøː	0.25
ˈɔ	ˈuːə̯	0.222
ˈɔ	ˈa	0.222
ˈiː	ˈɪ	0.211
ˈœ	ˈuːə̯	0.2
j	h	0.2
d	-	0.188
ˈyː	ˈyː	0.182
ˈyː	ˈiː	0.182
ˈɛ	ˈɪɛ̯	0.167
ˈøː	-	0.167
ʋ	ʋ	0.16
ˈoː	-	0.154
ˈʉː	ˈʊ	0.125
ˈʉː	v	0.125
ˈɑ	ˈɔ	0.125
ɾ	-	0.122
ʋ	-	0.12
s	z	0.119
k	k_ə	0.118
k	-	0.118
ˈɛ	ˈɪ	0.111
ˈɛ	ˈø	0.111
ˈɛ	ˈa	0.111
ˈɛ	-	0.111
n	-	0.1
#>	ç_#>	0.1
ˈʉ	ˈyə̯	0.091
ˈɑ	ˈaː	0.083
ˈoː	ˈyːœ̯	0.077
ɾ	d_ɐ	0.073
s	z̥	0.071
