Hoisanese	Hoisanese	probability
ʦ_j	ʈˠ	1.0
ɛ	a	1.0
ŋ	ŋ	1.0
³³_#>	#>	1.0
³²_#>	#>	1.0
³²	˥˩	1.0
²²	˦	1.0
²	˧˥	1.0
w_³³	u_˦	1.0
w	u	1.0
v	ɦ	1.0
u_j	ɨ_ʌ	1.0
t̚_⁵⁵	p̚	1.0
t̚	t̚	1.0
t	ʦ	1.0
n	n	1.0
m̩	ŋ_u	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	ɡˠ	1.0
j_³³	i_˥˩	1.0
h_w	kʰ	1.0
e_w	ə_u	1.0
a_w	ɑ_u	1.0
a_j	e_i	1.0
<#_ᵑɡ	<#_ŋ	1.0
<#_h	<#	1.0
ᵑɡ	ȵ	0.875
³³	˦	0.857
ⁿd	n	0.8
²¹	˧˥	0.778
ɬ	s	0.75
w_ɔ	ʌ	0.714
tʰ	ʦʰ	0.714
k	k	0.7
⁵⁵	˧˥	0.694
j	i	0.63
ʦ	ʈ	0.6
ɔ	ɑ	0.6
p	p	0.6
k̚_³²	u_k̚	0.6
ʦʰ	ʨʰ	0.571
j_a	ɨ_ɐ	0.571
e	i	0.571
<#	<#_d	0.556
ᵐb	m	0.5
f	p	0.455
<#	<#_ʔ	0.444
j_a	e	0.429
i	ɪ	0.429
i	ɨ	0.429
ʦ	ʨ	0.4
p	pˠ	0.4
k̚_³²	k̚	0.4
s	ʥ	0.375
u	i_u	0.35
pʰ	bˠ	0.333
pʰ	-	0.333
⁵⁵	-	0.306
ᵐb	m_ɨ	0.3
ʦʰ	ɖ	0.286
ɵ	ɨ	0.286
ɵ	u	0.286
w_ɔ	ɑ	0.286
tʰ	ʣ	0.286
e	e	0.286
s	ɕ	0.25
h	tʰ	0.25
h	kʰ	0.25
h	h	0.25
a	e	0.241
²¹	-	0.222
ɵ	ɨ_u	0.214
ɵ	ɨ_o	0.214
ⁿd	ɳ	0.2
ᵐb	mˠ	0.2
ɔ	ʉ_ɐ	0.2
u	ɨ_u	0.2
u	ɨ	0.2
k	kˠ	0.2
j	ɪ	0.185
f	u	0.182
f	p_ʉ	0.182
f	b	0.182
a	a	0.172
pʰ	pʰˠ	0.167
pʰ	pʰ	0.167
u	u	0.15
ʦʰ	ɖˠ	0.143
³³	˥˩	0.143
i	-	0.143
e	ɨ	0.143
a	ʌ	0.138
ᵑɡ	ŋˠ	0.125
ɬ	ʤ	0.125
ɬ	sˠ	0.125
s	ʑ	0.125
s	ʃˠ	0.125
s	ɕˠ	0.125
h	ɦ	0.125
h	-	0.125
j	e	0.111
a	ə	0.103
a	ɐ	0.103
a	æ	0.103
ɔ	ʌ	0.1
ɔ	ə	0.1
u	u_o	0.1
k	ɡ	0.1
j	ɦ	0.074
a	ɛ	0.069
a	ɑ	0.069
