Gallurese	Gallurese	probability
ˈɔ_l	ˈɔ_r	1.0
ˈi_#>	e_#>	1.0
ˈe_#>	ˈɛ_j_#>	1.0
ˈa_l	ˈa_w	1.0
ˈa_#>	ˈe_#>	1.0
ʧː	s	1.0
ʧ_ˈɛ	s_ˈi	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤ	ʤ	1.0
ʒ	-	1.0
ʃː	s	1.0
ɲː	ɲ	1.0
ɟː	e	1.0
ɟ	ʤ	1.0
ɖː_u	j	1.0
ɖː_a	l_a	1.0
ɔ	ˈɛ	1.0
ŋ	ŋ	1.0
w	-	1.0
v	v	1.0
u_#>	#>	1.0
tː_i	j_t	1.0
tː	t	1.0
sː_u_#>	s_#>	1.0
s	s	1.0
rː_u	r_n	1.0
rː	r	1.0
r_u_#>	r_#>	1.0
pː	v	1.0
p_ˈɛ	p_ˈe	1.0
p_u_#>	p_#>	1.0
p_a	v	1.0
p	p	1.0
o	u	1.0
nː	n	1.0
n_u_#>	ŋ_#>	1.0
n_i_#>	n_#>	1.0
mː	m	1.0
m	m	1.0
l_b	r_b	1.0
kː	-	1.0
k_u	ɡ	1.0
k	k	1.0
i_#>	#>	1.0
fː	y_f	1.0
f	f	1.0
e	e	1.0
cː_u	j	1.0
cː	j	1.0
c	ʧ	1.0
bː	-	1.0
a_p	a_v	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
<#_d	<#_d	1.0
<#_a	<#_u	1.0
a	a	0.939
r	r	0.906
ˈa	ˈa	0.844
ʧ	z	0.833
b	b	0.833
t	t	0.829
ˈi	ˈi	0.815
ɖː	l	0.778
j	j	0.733
n	ŋ	0.694
ˈɛ	ˈɛ	0.692
l	l	0.682
ɡ	ɡ	0.667
ˈu	ˈy	0.615
ˈo	ˈu	0.583
d	d	0.533
ˈe	ˈɛ	0.524
z	z	0.5
z	-	0.5
i	-	0.423
d	-	0.4
ˈu	ˈu	0.385
ˈe	ˈe	0.381
ˈɔ	ˈɔ	0.371
ˈɔ	ˈu	0.371
ɡ	-	0.333
n	n	0.306
u	u	0.296
j	-	0.267
ˈɔ	ˈø	0.257
ˈo	ˈɔ	0.25
ˈɛ	ˈe	0.231
ɖː	j	0.222
u	-	0.222
i	i	0.192
i	e	0.192
ˈi	ˈɛ	0.185
u	j	0.185
l	r	0.182
ˈo	ˈø	0.167
ʧ	s	0.167
b	v	0.167
l	-	0.136
i	v	0.115
u	s	0.111
u	a	0.111
ˈe	e	0.095
r	-	0.094
ˈa	ˈɛ	0.089
t	d	0.086
t	-	0.086
ˈɛ	-	0.077
i	j	0.077
u	r	0.074
ˈa	ˈɔ	0.067
d	dː	0.067
