	Cantonese	Fuzhounese	Gan	Hoisanese	Jin	Meixian	Middle Chinese	Min Bei	Old Chinese	Shanghainese	Sichuanese	Sixian	Standard Mandarin	Taiwanese Hokkien	Teochew	Xiang
Cantonese	0.00000	0.12327	0.08663	0.06011	0.12373	0.10798	0.12443	0.15220	0.21922	0.13132	0.11694	0.09454	0.14739	0.13638	0.16048	0.13631
Fuzhounese	0.12327	0.00000	0.14873	0.16089	0.18882	0.14138	0.12417	0.10869	0.21826	0.17468	0.17007	0.13617	0.15648	0.10650	0.10649	0.16888
Gan	0.08663	0.14873	0.00000	0.12664	0.09318	0.08154	0.13462	0.15027	0.24035	0.09289	0.08447	0.08081	0.08679	0.17272	0.15699	0.07583
Hoisanese	0.06011	0.16089	0.12664	0.00000	0.14952	0.11984	0.11480	0.17911	0.20842	0.15996	0.16716	0.11202	0.14181	0.17489	0.16094	0.17698
Jin	0.12373	0.18882	0.09318	0.14952	0.00000	0.11947	0.13874	0.18270	0.24518	0.11622	0.04523	0.13510	0.05462	0.20355	0.18537	0.09218
Meixian	0.10798	0.14138	0.08154	0.11984	0.11947	0.00000	0.12379	0.15046	0.20643	0.13556	0.12764	0.01225	0.13541	0.16698	0.15886	0.11934
Middle Chinese	0.12443	0.12417	0.13462	0.11480	0.13874	0.12379	0.00000	0.15830	0.15064	0.15047	0.14312	0.11553	0.14832	0.15723	0.15334	0.17671
Min Bei	0.15220	0.10869	0.15027	0.17911	0.18270	0.15046	0.15830	0.00000	0.22182	0.17688	0.14966	0.15064	0.15685	0.14406	0.14051	0.14195
Old Chinese	0.21922	0.21826	0.24035	0.20842	0.24518	0.20643	0.15064	0.22182	0.00000	0.24726	0.26880	0.21287	0.25807	0.25388	0.24120	0.28505
Shanghainese	0.13132	0.17468	0.09289	0.15996	0.11622	0.13556	0.15047	0.17688	0.24726	0.00000	0.11178	0.13554	0.12493	0.17579	0.16790	0.13001
Sichuanese	0.11694	0.17007	0.08447	0.16716	0.04523	0.12764	0.14312	0.14966	0.26880	0.11178	0.00000	0.13779	0.02871	0.17013	0.17619	0.05320
Sixian	0.09454	0.13617	0.08081	0.11202	0.13510	0.01225	0.11553	0.15064	0.21287	0.13554	0.13779	0.00000	0.13773	0.16505	0.15269	0.14614
Standard Mandarin	0.14739	0.15648	0.08679	0.14181	0.05462	0.13541	0.14832	0.15685	0.25807	0.12493	0.02871	0.13773	0.00000	0.18878	0.18770	0.06264
Taiwanese Hokkien	0.13638	0.10650	0.17272	0.17489	0.20355	0.16698	0.15723	0.14406	0.25388	0.17579	0.17013	0.16505	0.18878	0.00000	0.07673	0.18718
Teochew	0.16048	0.10649	0.15699	0.16094	0.18537	0.15886	0.15334	0.14051	0.24120	0.16790	0.17619	0.15269	0.18770	0.07673	0.00000	0.17963
Xiang	0.13631	0.16888	0.07583	0.17698	0.09218	0.11934	0.17671	0.14195	0.28505	0.13001	0.05320	0.14614	0.06264	0.18718	0.17963	0.00000
