Russian	Russian	probability
ˈ_#>	#>	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʐ̊	ʒ̊	1.0
ʐ_ɨ	ʒ_ɛ	1.0
ʐ	ʒ	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɵ_ˈ	ɛ	1.0
ɫ_#>	ɫ_#>	1.0
ɨ_ˈ	i	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ɐ_r	r	1.0
æ	ɛ	1.0
z̥	z̥	1.0
zʲ	z	1.0
xʲ	x	1.0
x_o	f	1.0
x	v	1.0
vʲ	v	1.0
v_ɨ	f	1.0
v	v	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
s_a	s_a	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	ˈ	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j	-	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	r̩	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
b	b	1.0
<#_x	<#	1.0
<#_vʲ	<#_v	1.0
<#_tʲ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#_bʲ	<#_b	1.0
<#	<#_j	1.0
#>	a_#>	1.0
a	a	0.931
ɫ	ɫ	0.885
dʲ	d	0.875
ˈ	ˈ	0.874
nʲ	n	0.857
z	z	0.778
<#_v	<#_v	0.778
rʲ	r	0.727
ə	-	0.7
e_ˈ	ɛ_ˈ	0.667
r	r	0.65
o	o	0.619
ɪ	ɛ	0.618
ɐ	o	0.583
lʲ	l	0.583
ɨ	-	0.571
tʲ_#>	ɛ_#>	0.571
u	u	0.556
ʊ	u	0.5
ʊ	a	0.5
ɵ	ɛ	0.5
ɵ	r̩	0.5
<#_ɐ	<#_o	0.5
<#_ɐ	<#	0.5
u	a	0.444
tʲ_#>	#>	0.429
lʲ	ɫ	0.417
ə_#>	o_#>	0.4
ə_#>	a_#>	0.4
r	-	0.35
ɨ	i	0.333
ə	a	0.3
ɪ	-	0.294
rʲ	-	0.273
ɐ	ɛ_ˈ	0.25
e_ˈ	ɛ	0.25
z	ʣ	0.222
<#_v	<#	0.222
o	a	0.19
ɐ	a	0.167
nʲ	ɲ	0.143
ˈ	-	0.126
dʲ	ɟ	0.125
ə_#>	ɛ_#>	0.12
o	-	0.119
ɫ	-	0.115
ɨ	i_ˈ	0.095
ɪ	i	0.088
e_ˈ	ˈ	0.083
ə_#>	#>	0.08
o	ɔ	0.071
a	ɛ	0.069
