Mainland North Frisian	Mainland North Frisian	probability
ˈɛː_d	ˈeː	1.0
ˈɔ	ˈoː	1.0
ˈœi̯	-	1.0
ˈuː_l	ˈɑ	1.0
ɛi̯	i	1.0
ə_l	ə_ɫ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç_#>	χ_#>	1.0
z̥	d̥	1.0
x	χ	1.0
w	ˈi_χ	1.0
v̥	v̥	1.0
tʲ	t	1.0
s_l	s_ɫ	1.0
s_#>	z̥_#>	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
j_ˈa	ˈaː	1.0
h	ɦ	1.0
f_j	v	1.0
b	b	1.0
<#_ˈɔu̯	<#_ˈoː_v	1.0
<#_ˈuː	<#_ˈoː	1.0
<#_ˈeː	<#_ˈɑ	1.0
<#_ʀ	<#_ɾ	1.0
<#_tʲ	<#_d	1.0
<#_n	<#_n	1.0
ʀ	ɾ	0.935
k	k	0.929
v	ʋ	0.923
f	v	0.913
ə	ə	0.871
#>	n_#>	0.86
d̥	d̥	0.818
t	t	0.812
ɡ	χ	0.8
d	d	0.8
n	n	0.778
ˈuː	ˈoː	0.75
dʲ	d̥	0.714
ˈyː	ˈoː	0.667
j	χ	0.667
nʲ	n	0.625
s	z	0.622
ˈɛː	ˈeː	0.6
ˈɔu̯	-	0.6
ˈœː	ˈœy̯	0.6
ˈaː	ˈoː	0.6
z	-	0.6
ˈɛi̯	ˈaː	0.556
ˈɒ	ˈɑ	0.545
ˈi	ˈɛi̯	0.545
ˈɔː	-	0.5
ˈai̯	ˈɪ	0.5
ˈai̯	-	0.5
ʀ_t	ɾ_t	0.5
ʀ_t	ɾ	0.5
v_ə	ə	0.5
v_ə	v_ə	0.5
lʲ	ɫ	0.5
lʲ	d̥	0.5
i	ɪ	0.5
i	ə_χ	0.5
<#	<#_ʋ	0.5
<#	<#_ɫ	0.5
ˈiː	ˈi	0.483
ˈʏ	ˈœy̯	0.467
ˈɒː	ˈaː	0.455
ˈɒ	-	0.455
ˈeː	ˈɛ	0.455
ˈɛ	ˈu	0.444
ˈʊ	ˈɔ	0.429
ʃ	s_χ	0.429
ʃ	s	0.429
ˈɛː	ˈaː	0.4
ˈɔu̯	ˈaː	0.4
ˈœː	ˈoː	0.4
ˈaː	ˈeː	0.4
z	t	0.4
s	s	0.378
nʲ	n_d̥	0.375
ˈɒː	ˈɑ	0.364
ˈa	ˈɪ	0.35
ˈɛ	-	0.333
ˈœ	ˈu	0.333
ˈyː	-	0.333
ˈi	ˈɪ	0.318
ˈiː	ˈeː	0.31
ˈa	ˈɛ	0.3
dʲ	d	0.286
ˈœ	ˈɑ	0.267
ˈɔː	ˈɔ	0.25
ˈuː	-	0.25
ˈɛi̯	ˈɑ	0.222
ˈɛi̯	ˈu	0.222
ˈɛ	ˈɛi̯	0.222
ˈa	-	0.2
ɡ	χ_ˈeː	0.2
t	d	0.188
ˈɒː	-	0.182
ˈeː	ˈʏ	0.182
ˈeː	ˈɑ	0.182
ˈeː	ˈaː	0.182
d̥	d_ə	0.182
ˈɔː	ˈɑ	0.167
j	j	0.167
j	-	0.167
ˈa	ˈɑ	0.15
ˈʊ	ˈɪ	0.143
ˈʊ	ˈɑ	0.143
ʃ	-	0.143
ˈi	-	0.136
ˈʏ	ˈʏ	0.133
ˈʏ	ˈɔ_n	0.133
ˈʏ	ˈɔ	0.133
ˈʏ	-	0.133
ˈœ	ˈɔ	0.133
ˈœ	ˈɑu̯	0.133
ˈœ	-	0.133
n	n_d	0.133
d	t	0.12
ˈiː	ˈɛi̯	0.103
ˈiː	ˈoː	0.103
ə	-	0.097
ˈʊ	ˈɛ	0.095
ˈʊ	ʋ_ˈɔ	0.095
ˈʊ	-	0.095
#>	χ_#>	0.093
f	-	0.087
ˈɔː	ˈøː	0.083
d	χ	0.08
v	-	0.077
k	-	0.071
