Insular North Frisian	Nynorsk Norwegian	probability
ˈɛː	-	1.0
ˈɛ_l	l	1.0
ˈœ_n	ˈɑ_nː	1.0
ˈøː	-	1.0
ˈua̯_ɾ	ˈæʉ̯	1.0
ˈaː	ˈæ	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ʁ̥	ɾ	1.0
ɪ	-	1.0
ɣ̥	ɡ	1.0
ə_f	ʋ	1.0
ɐ_n	ɾ_n	1.0
ŋ_k	ʰkː	1.0
ð_ɐ	ɾ	1.0
x_t	ʰtː	1.0
tʲ	ç	1.0
tʰ	tʰ	1.0
s_v	s	1.0
s_k	ʂ	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
m	m	1.0
lʲ	lː	1.0
kʰ	kʰ	1.0
f	f	1.0
e	-	1.0
d_aɪ̯	tː	1.0
b	b	1.0
s	s	0.908
ˈœ	-	0.898
h	h	0.861
p	p	0.854
k	k	0.845
l	l	0.806
t	t	0.771
ŋ	ŋː	0.759
ɐ	ɾ	0.716
ɡ	ɡ	0.689
v	ʋ	0.688
ˈua̯	-	0.684
n	n	0.681
d	d	0.681
ˈa	ˈɑ	0.662
ə	-	0.561
ˈɔ	-	0.519
ˈeː	-	0.511
ʃ	ʂ	0.5
ʃ	s	0.5
ə_l	l_e	0.5
ə_l	l	0.5
nʲ	nː	0.5
nʲ	n_d	0.5
ˈoː	-	0.443
ˈyː	ˈyː	0.441
ˈə	ˈɪ	0.438
ˈʏ	ˈʉː	0.436
ç	ɡ	0.395
ˈoː	ˈæʉ̯	0.366
ç	-	0.362
ˈʊ	ˈʉ	0.353
ˈuː	ˈoː	0.339
ˈɛ	-	0.335
ˈyː	ˈʉː	0.335
ˈʏ	ˈʉ	0.331
ˈɔː	ˈɑː	0.319
ˈua̯	ˈoː	0.316
v	kʰ	0.312
ɡ	-	0.311
ˈə	ˈiː	0.309
ɾ	nː	0.291
ˈɔ	ˈuː	0.288
ɾ	-	0.285
ɾ	e	0.279
ˈɔː	-	0.259
ə	e	0.251
ç	ɡː	0.243
ˈuː	ˈʊ	0.242
ˈiː	ˈæɪ̯	0.238
ˈiː	ˈiː	0.235
ˈʏ	-	0.233
n	nː	0.228
ˈyː	-	0.224
ˈeː	ˈøː	0.218
ˈuː	ˈuː	0.212
ˈuː	ˈɑ	0.206
ˈʊ	-	0.204
ˈiː	-	0.203
ˈa	-	0.203
ˈʊ	ˈɑ	0.196
l	lː	0.194
d	t	0.193
ˈɔ	ˈɛ	0.192
t	ʰtː	0.191
ˈoː	ˈoː	0.19
ˈɛ	ˈʏ	0.189
ə	ə	0.188
ˈɔː	ˈoː	0.16
ˈeː	ˈeː	0.16
ŋ	ŋ	0.158
ˈɔː	ˈɛ	0.156
k	ç	0.155
p	ʰpː	0.146
ɾ	ʉ	0.145
ˈɛ	ˈøː	0.143
ɐ	ə_ɾ	0.142
ɐ	e_ɾ	0.142
ˈə	ˈeː	0.141
h	j	0.139
ˈa	ʋ_ˈɑː	0.135
ˈʊ	ˈʏ	0.13
ˈɛ	ˈɛ	0.127
d	-	0.126
ˈiː	ˈoː	0.123
ˈɛ	ˈɑ	0.122
ˈiː	ˈyː	0.12
ˈʊ	ˈuː	0.118
ˈə	-	0.112
ˈeː	ˈæɪ̯	0.111
ˈɔː	ˈɔ	0.106
ˈœ	ˈʏ	0.102
n	-	0.091
ŋ	ɲ	0.083
ˈiː	ˈʉː	0.081
s	ʂ	0.069
