Corsican	Logudorese	probability
c	k_r	1.0
f	f	1.0
m	m	1.0
n	n	1.0
o	u	1.0
sː	sː	1.0
tː	t	1.0
z	z	1.0
ʃː	s	1.0
ʎ	ʣ	1.0
ʤ	-	1.0
ʧː	-	1.0
ˈi	ˈi	1.0
a	a	0.881
b	b	0.911
t	t	0.571
u	a	0.051
ŋ	ŋ	0.551
ɡ	b	0.11
ˈe	ˈe	0.921
ˈɛ	ˈi	0.271
kː	k	0.682
lː	-	0.062
lː	sː	0.062
u	e	0.052
ɟ	b	0.232
ɲ	ɲː	0.452
ʃ	s	0.882
ˈɔ	ˈu	0.152
e	a	0.063
e	e	0.633
kː	e_#>	0.223
p	β	0.083
rː	<#_i	0.333
u	u	0.773
ɟ	ɡ	0.733
ɡ	ɣ	0.073
ˈa	ˈa	0.853
ˈu	ˈu	0.913
e	-	0.054
j	r	0.784
ʧ	ɣ	0.534
ˈo	ˈu	0.194
ˈo	ˈo	0.775
i	e	0.16
j	-	0.216
k	-	0.106
r	r	0.926
s	s	0.96
ʧ	k	0.466
a	e	0.07
k	ɣ	0.197
k	k	0.697
rː	rː	0.667
v	b	0.907
ɡ	ɡ	0.817
ˈu	ˈo	0.087
l	l	0.978
lː	ɖː	0.648
p	p	0.888
u	o	0.078
v	-	0.08
ɲ	n_ʣ	0.548
ʃ	<#_i	0.118
ˈa	ˈa_r	0.078
b	-	0.089
d	ð	0.079
d	-	0.289
d	d	0.609
e	e_r	0.09
i	i	0.769
lː	l	0.229
t	ð	0.429
ŋ	m	0.449
ˈe	ˈi	0.079
ˈɔ	ˈo	0.809
ˈɛ	ˈe	0.729
