Western Lombard	Corsican	probability
a	a	1.0
ĩ	i	1.0
o	u	1.0
w	w	1.0
y	u	1.0
z	z	1.0
ʤ	ɟ	1.0
ˈa	ˈa	1.0
ˈe	ˈe	1.0
ˈiː	ˈi	1.0
ˈĩ	ˈi_n	1.0
ˈoː	ˈo	1.0
ˈy	ˈu	1.0
ˈɑː	ˈa	1.0
d	d	0.781
j	-	0.071
k	k_u	0.091
l	l	0.581
m	m	0.901
ˈã	ŋ	0.071
ˈũ	u	0.21
d	t	0.182
e	e	0.522
i	u	0.242
j	j	0.772
k	k	0.752
r	r_u	0.202
r	r	0.632
s	s	0.622
v	-	0.062
ɲ	ɲ	0.482
ʧ	ʧ	0.532
ˈeː	ˈɛ	0.892
ˈũ	ˈɔ_n	0.322
ˈøː	ˈo	0.222
f	v_e	0.093
f	f	0.883
l	-	0.083
ˈẽ	ˈɛ_n	0.553
ˈuː	ˈɔ	0.83
ˈyː	ˈu	0.973
ˈœ	ˈɔ	0.643
k	kː	0.104
p	p	0.994
s	sː_u	0.104
t	tː_e	0.064
ɡ	k	0.304
ˈu	ˈo	0.204
ˈɛ	ˈe	0.384
ˈɛ	ˈɛ	0.604
r	r_e	0.115
ʒ	ɟ	0.955
ˈi	ˈu	0.175
ˈɔ	ˈɔ	0.95
u	u	0.956
ɡ	-	0.116
ʧ	ɟ_e	0.066
ʧ	c_u	0.36
ˈu	ˈɔ	0.796
e	i	0.277
j	ʎ	0.157
l	l_u	0.067
l	lː_u	0.197
s	ʧ_e	0.117
ˈẽ	ˈɛ	0.447
ˈuː	ˈo	0.17
ˈũ	ˈu	0.07
ˈœ	ˈo	0.357
e	-	0.18
i	i	0.758
t	tː_u	0.108
ɡ	ɡ	0.58
ɲ	ɲ_u	0.518
ˈeː	ˈe	0.108
ˈi	ˈɛ	0.098
ˈi	e	0.178
ˈũ	ˈo_n	0.398
ˈøː	ˈɔ	0.778
b	b	0.979
m	m_e	0.099
n	n	0.949
t	t	0.689
v	p	0.109
v	v	0.829
ˈã	ˈa_n	0.929
ˈi	ˈi	0.549
