Dutch	Nynorsk Norwegian	probability
b	b	1.0
f	-	1.0
ɦ	h	1.0
ˈyː	ˈyː	1.0
ˈɑu̯	ˈɑ	1.0
ˈʏ	ˈʏ	1.0
d̥	lː	0.271
s	s_k	0.11
t	ʰtː	0.071
ɫ	-	0.081
ˈɑ	ˈɛ	0.051
ˈɛi̯	ˈiː	0.781
χ	j	0.131
k	kʰ	0.252
ʋ	ʋ	0.82
ˈoː	ˈɔ	0.172
ˈœy̯	ˈʉː	0.82
ˈɔ	ˈɔ	0.212
ˈɪ	ˈiː	0.092
ˈɪ	ˈɛ	0.112
χ	k	0.092
d	-	0.273
d	d	0.43
n	-	0.133
t	tʰ	0.153
z	s	0.723
ə	-	0.403
ʋ	-	0.053
ʋ	v	0.063
ˈeː	ˈeː	0.173
ˈi	ˈeː	0.3
ˈu	ˈuː	0.733
ˈɛ	ˈɛ	0.913
m	m	0.904
v	ʋ	0.14
v̥	ʋ	0.84
ˈeː	ˈʉː	0.054
ˈoː	ˈuː	0.124
ˈɑ	ˈɑː	0.054
ˈɔ	ˈʉ	0.764
ˈɛi̯	ˈæɪ̯	0.164
χ	ɡː	0.084
χ	-	0.114
p	p	0.955
v	f	0.825
ɫ	l	0.865
ʋ	kʰ_ʋ	0.065
ˈaː	ˈɑ	0.225
ˈeː	ˈæɪ̯	0.55
ˈi	ˈʉː	0.275
ˈoː	ˈoː	0.105
ˈɛi̯	ˈɛ	0.055
t	t	0.636
v̥	-	0.16
ɾ	ɾ	0.966
ˈaː	ˈɑː	0.156
ˈeː	ˈøː	0.146
ˈi	ˈoː	0.056
ˈɑ	e_#>	0.146
ˈɑ	ˈɑ	0.606
d	tʰ	0.297
s	s	0.877
z	ʂ	0.277
ə	ə	0.217
ˈeː	ˈiː	0.077
ˈi	ˈiː	0.07
ˈu	ˈøː	0.267
ˈɛ	ˈœ	0.087
k	ç	0.258
k	k	0.468
m	m_j	0.068
n	nː	0.098
n	n	0.768
t	-	0.068
ˈaː	ˈoː	0.618
ˈoː	ˈœʏ̯	0.128
ˈoː	ˈæʉ̯	0.168
ˈoː	ˈʊ	0.268
ˈœy̯	ˈʉ	0.18
ˈɪ	ˈɪ	0.768
χ	ɡ	0.578
d̥	d	0.729
ŋ	ŋː	0.959
ə	e	0.339
ˈi	ˈyː	0.299
