North Frisian	Eastphalian	probability
ˈɛ	ˈɔʏ̯	1.0
ˈɔ	ˈoː	1.0
ˈɒː	ˈa	1.0
ˈɒ	ˈa	1.0
ˈøː	ˈuː	1.0
ˈyː_n	n_d	1.0
ˈiː_#>	ˈɛɪ̯_#>	1.0
ˈi_l	ˈɪ_l	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈaː	ˈoː	1.0
ˈai̯	ˈɪ	1.0
ˈa_r	ˈa_ɐ	1.0
ʃ	ʃ	1.0
ə_r	ɐ	1.0
ə_l	l	1.0
ŋ	ŋ	1.0
w	ɣ	1.0
v_#>	#>	1.0
t_r	d_r	1.0
r_s	s	1.0
p_ə	b_m	1.0
p	p	1.0
n_ə	n	1.0
n_t	n_t	1.0
m	m	1.0
lʲ	l_d	1.0
l_#>	l_ə_#>	1.0
l	l	1.0
k_ə	k	1.0
k	k	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
dʲ_ə	n	1.0
dʲ	t	1.0
b	b	1.0
<#_ˈeː	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
v	v	0.88
d	d	0.864
n	n	0.857
ˈiː	ˈɛɪ̯	0.818
ɡ	ɣ	0.818
t	t	0.783
tʲ	t	0.75
x	x	0.714
ə	n	0.658
ˈi	ˈiː	0.643
ˈɛi̯	ˈɒː	0.6
ˈa	ˈɪ	0.6
ˈʊ	ˈʊ	0.571
d_#>	t_#>	0.571
ˈyː	ˈuː	0.545
ˈuː	ˈeo̯	0.538
s	s	0.514
r	ɐ	0.513
ˈɔː	ˈɔ	0.5
ˈɔu̯	ˈɒː	0.5
ˈɔu̯	ˈoː	0.5
ˈeː	ˈʏ	0.5
ˈeː	ˈɛ	0.5
z_ə	t_n	0.5
z_ə	n	0.5
nʲ	n_d	0.5
nʲ	n	0.5
r	r	0.487
ˈyː	ˈeo̯	0.455
ˈɛː	ˈɛː	0.429
s	z	0.429
d_#>	#>	0.429
ˈɛi̯	ˈɔʏ̯	0.4
j	ɣ	0.375
j	j	0.375
ˈœ	ˈaʊ̯	0.364
ˈœ	ˈa	0.364
ˈi	ˈɪ	0.357
ˈʊ	ˈɪ	0.286
ˈɛː	ˈɒː	0.286
ˈɛː	-	0.286
x	ç	0.286
ˈœ	ˈɔ	0.273
ˈɔː	ˈɛː	0.25
ˈɔː	ˈa	0.25
tʲ	t_ə	0.25
j	-	0.25
ˈuː	ˈoː	0.231
ˈuː	ˈa	0.231
ˈa	ˈʏ	0.2
ˈa	ˈœ	0.2
ɡ	j	0.182
t	d	0.174
ə	-	0.158
ˈʊ	ˈa	0.143
d	t	0.136
v	w	0.12
ə	ə	0.105
ˈiː	ˈøː	0.091
ˈiː	ˈiː	0.091
ə	f	0.079
n	n_d	0.071
n	-	0.071
s	s_w	0.057
