Swiss German	Old Norse	probability
b̥	b	0.616
b̥	v	0.326
d̥	θ	0.34
d̥	ð	0.333
d̥	d	0.196
d̥	-	0.13
f	f	0.616
f	p	0.147
f	v	0.103
f	mː	0.059
fː	p	1.0
h	h	0.819
h	ç	0.143
i	u	0.438
i	ɑ	0.299
i	r	0.153
i	i	0.11
j	-	1.0
k	kː	0.751
k	k	0.197
k	c	0.052
kː	cː	1.0
l	l	0.807
l	lː	0.14
m	m	0.869
m	v	0.078
mː	mː	1.0
n	n	0.717
n	-	0.124
n	nː	0.117
nː	nː	1.0
p	v	1.0
p͡f	p	1.0
r	r	0.882
rː	ˈɔ	1.0
s	s	0.668
s	t	0.147
s	sː	0.121
sː	t	0.977
t	ð	0.388
t	d	0.307
t	t	0.129
t	-	0.117
tː	ð	1.0
w	l	1.0
æ	ɑː	1.0
ŋ	ŋ	0.583
ŋ	n	0.214
ŋ	-	0.174
ə	ɑ	0.453
ə	-	0.36
ə	i	0.113
ə	a	0.075
ɡ̊	ɡ	0.416
ɡ̊	ɣ	0.31
ɡ̊	ɟ	0.127
ɡ̊ː	ɡː	0.529
ɡ̊ː	ɟː	0.471
ʃ	s	0.982
ʃː	k	1.0
ʋ	v	0.582
ʋ	-	0.347
ʋ	w	0.071
ʦ	tʰ	0.6
ʦ	t	0.261
ʦ	tː	0.097
ˈau̯	ˈɑu̯	0.832
ˈau̯	a	0.168
ˈe	ˈe	0.556
ˈe	ˈɛ	0.254
ˈe	ˈu	0.189
ˈei̯	ˈɛ	0.593
ˈei̯	ˈɛi̯	0.407
ˈeː	ˈɑː	0.583
ˈeː	ˈɛː	0.317
ˈeː	j_ˈoː	0.099
ˈi	ˈi	0.621
ˈi	ˈeː	0.123
ˈi	ˈy	0.099
ˈi	ˈe	0.085
ˈiə̯	j	0.398
ˈiə̯	ˈeː	0.36
ˈiə̯	ˈyː	0.242
ˈiː	ˈiː	0.811
ˈiː	ˈoː	0.129
ˈiː	ˈe	0.06
ˈo	ˈo	0.389
ˈo	ˈu	0.294
ˈo	ˈy	0.167
ˈo	ˈɑː	0.109
ˈou̯	ˈeː	0.481
ˈou̯	ˈøy̯	0.221
ˈou̯	ˈɔ	0.221
ˈou̯	ˈɑu̯	0.077
ˈoː	ˈo	0.378
ˈoː	ˈɑː	0.249
ˈoː	ˈɑu̯	0.18
ˈoː	ˈɒu̯	0.102
ˈoː	ˈøy̯	0.068
ˈu	ˈu	0.619
ˈu	ˈo	0.212
ˈu	ˈi	0.052
ˈu	ˈy	0.052
ˈuə̯	ˈoː	0.675
ˈuə̯	ˈɔː	0.149
ˈuə̯	ˈyː	0.111
ˈuə̯	ˈøː	0.065
ˈuː	ˈuː	0.862
ˈuː	ˈu	0.074
ˈuː	ˈyː	0.064
ˈy	ˈy	0.4
ˈy	ˈi	0.171
ˈy	ˈyː	0.129
ˈy	ˈu	0.083
ˈy	ˈɛ	0.083
ˈy	ˈuː	0.066
ˈyə̯	ˈøː	0.783
ˈyə̯	ˈoː	0.217
ˈyː	j	0.227
ˈyː	ˈyː	0.215
ˈyː	ˈiː	0.181
ˈyː	ˈi	0.111
ˈyː	ˈu	0.111
ˈyː	ˈuː	0.059
ˈyː	ˈeː	0.055
ˈæ	j	0.332
ˈæ	ˈe	0.194
ˈæ	ˈɑ	0.136
ˈæ	ˈɛ	0.126
ˈæ	ˈøː	0.08
ˈæi̯	ˈɛi̯	1.0
ˈæː	ˈɑ	0.408
ˈæː	ˈe	0.342
ˈæː	u	0.25
ˈø	ˈu	0.622
ˈø	ˈo	0.143
ˈø	ˈy	0.143
ˈø	ˈɛ	0.093
ˈøi̯	ˈɛi̯	0.36
ˈøi̯	ˈo	0.292
ˈøi̯	ˈyː	0.176
ˈøi̯	ˈøy̯	0.172
ˈøː	ˈo	0.596
ˈøː	ˈøy̯	0.354
ˈøː	ˈɒu̯	0.051
ˈɒ	ˈɑ	0.632
ˈɒ	ˈɔ	0.123
ˈɒ	ˈɑː	0.121
ˈɒ	ˈa	0.057
ˈɒː	ˈɑ	0.412
ˈɒː	ˈɑː	0.4
ˈɒː	ˈa	0.083
ˈɒː	ˈe	0.053
ˈɒː	ˈo	0.051
ˈɛi̯	ˈɛi̯	1.0
χ	kʰ	0.355
χ	k	0.237
χ	tː	0.192
χ	s	0.058
