Ligurian	Ligurian	probability
ˈɛː_r	ˈe_ʁ	1.0
ˈɔ_s	ˈoː	1.0
ˈyː	ˈu	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈiː_#>	ˈi_#>	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_#>	ˈɛ_#>	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_k	ˈɛ_t	1.0
ˈe_j	ˈɛː	1.0
ˈe_d	ˈɛː_ð	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_n	ˈɑ̃	1.0
ʧ	k	1.0
ʃ	-	1.0
ɡ_w	ɡ	1.0
ɡ_u	ˈa	1.0
ɡ_r	ʁ	1.0
ɔː	u	1.0
ŋ_a	n_a	1.0
y	ʁ_l	1.0
w_ˈiː	ˈo	1.0
v_e	f	1.0
v	v	1.0
u_#>	#>	1.0
sː	ʃ	1.0
s_u	ʦ	1.0
s_t	t	1.0
r_u	ʁ_o	1.0
r_t	ʁ	1.0
r_s	ʁ_s	1.0
r_n	ʁ	1.0
o	ˈe	1.0
n_z	ɛ̃	1.0
n	n	1.0
l	l	1.0
k_a	ʃ	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_s	ɑː	1.0
a_#>	#>	1.0
<#_ˈaː	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
p	p	0.929
m	m	0.862
ɡ	-	0.8
ˈi	ˈi	0.778
i	-	0.778
r	ʁ	0.774
d	d	0.722
#>	l_#>	0.714
s	s	0.69
ʤ	ʎ	0.667
ʒ	z	0.667
u	o	0.636
a	a	0.61
ˈaː_#>	ˈa_#>	0.6
ˈa	ˈa	0.591
ˈø	w	0.571
t	-	0.517
ˈɔː	ˈø	0.5
ˈɔː	ˈoː	0.5
ˈy	-	0.5
ʒ_e	ˈe_ʃ	0.5
ʒ_e	ʃ	0.5
z	z	0.5
z	-	0.5
k	k	0.486
t	t	0.483
k	ʃ	0.459
ˈuː	w	0.455
e	ə	0.45
j	ʁ	0.438
ˈɛ	ˈe	0.429
ˈø	-	0.429
ɲ	ɲ	0.429
ˈiː	ˈi	0.4
ˈaː_#>	#>	0.4
ˈeː	j	0.389
ˈe	ˈɛː	0.389
ˈe	ˈe	0.389
ˈɛː	ˈaː	0.385
ˈuː	-	0.364
ˈɔ	ˈu	0.333
ˈɔ	ˈo	0.333
ˈɔ	-	0.333
ˈeː	ˈi	0.333
ʒ	-	0.333
ŋ	ˈɛ̃	0.308
ˈøː	w	0.3
ˈøː	-	0.3
w	w	0.3
w	-	0.3
a	ə	0.288
ˈɛ	ˈɛː	0.286
ˈɛ	-	0.286
ˈu	ˈɔ	0.286
ɲ	ˈɛ̃	0.286
ɲ	n	0.286
#>	ð_ə_#>	0.286
ˈaː	ˈa	0.278
d	-	0.278
ˈy	ˈu	0.25
ˈy	ˈo	0.25
ˈɛː	ˈɛ	0.231
ˈɛː	ə	0.231
ŋ	-	0.231
ˈa	-	0.227
ˈi	ˈe	0.222
ˈaː	ˈaː	0.222
ˈaː	j_ˈe	0.222
ʤ	ʒ	0.222
i	i	0.222
ˈøː	ˈoː	0.2
ˈøː	w_ˈe	0.2
ˈiː	ˈe_ð	0.2
ˈiː	ˈe	0.2
ˈiː	-	0.2
ɡ	ɡ	0.2
w	ˈaː_ð	0.2
w	o_ð	0.2
j	j	0.188
ˈuː	ˈu	0.182
ˈeː	ˈɛ	0.167
ˈaː	ˈe	0.167
s	-	0.167
ˈɛː	ˈe	0.154
ŋ	ˈĩ	0.154
ŋ	n	0.154
ŋ	ĩ	0.154
e	ʁ_ə	0.15
e	ɛ	0.15
e	-	0.15
ˈu	ˈɔ̃	0.143
ˈu	ˈo	0.143
ˈu	w_ˈɛː	0.143
ˈu	w	0.143
ˈu	-	0.143
s	e	0.143
m	-	0.138
u	ˈe	0.136
u	ʁ	0.136
j	ə	0.125
j	ð	0.125
j	-	0.125
ˈeː	-	0.111
ˈe	ˈɛ	0.111
ˈe	-	0.111
ˈaː	-	0.111
ʤ	ð	0.111
e	ʃ	0.1
ˈa	ˈɑ̃	0.091
ˈa	ˈɑː	0.091
u	ʁ_o	0.091
p	-	0.071
r	ˈoː	0.065
r	j	0.065
r	-	0.065
k	-	0.054
a	i	0.051
