Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛː	-	1.0
ˈɛɪ̯	ˈaː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈi	1.0
ˈyː	ˈai̯	1.0
ˈoː_æ	ɐ	1.0
ˈoː	-	1.0
ˈeː	ˈeː	1.0
ˈae̯_n	ˈoɐ̯	1.0
ʃ	ʃ	1.0
ɾ	d̥	1.0
ɪ	-	1.0
ɣ̊	ɡ̊	1.0
ɣ	ˈai̯	1.0
ɡ̊	-	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ̊	1.0
ŋ	ŋ	1.0
æ_d̥	ɐ_d̥	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
v_ˈɪ	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_n	1.0
t_#>	ʦ_#>	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
n_n	n_a	1.0
n_#>	#>	1.0
l_ˈaʊ̯	l	1.0
k_n	ɡ̊_a	1.0
j	ɡ̊	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d̥	1.0
ae̯	eɐ̯	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_d̥	1.0
<#	<#_ˈe	1.0
#>	d̥_#>	1.0
b	b̥	0.87
kʰ	kʰ	0.833
m	m	0.812
n	n	0.75
ˈɪ	ˈi	0.684
æ	a	0.655
ˈiː	ˈai̯	0.647
ˈʊ	ˈu	0.6
ˈɔ	ˈo	0.6
v̥_#>	b̥_#>	0.571
l	l	0.537
ˈɔʏ̯	-	0.5
s	ʃ	0.5
p	f	0.5
p	-	0.5
k	x	0.5
ˈuː	ˈau̯	0.471
t	d̥	0.469
l	j	0.463
ç	ɡ̊	0.462
ˈʏ	ˈu	0.455
ˈaʊ̯	ˈuɐ̯	0.45
t	s	0.438
ˈaː	ɐ	0.429
v̥_#>	#>	0.429
ˈʊ	ˈo	0.4
ˈɔ	ˈu	0.4
ˈɛ	ˈe	0.385
ˈae̯	ˈoɐ̯	0.333
ˈae̯	ˈiɐ̯	0.333
ˈa	ˈɑ	0.333
ˈɛ	ˈeː	0.308
ˈɛ	-	0.308
ˈuː	ˈo	0.294
ˈaː	ˈɒː	0.286
ˈaː	ˈe_ɐ	0.286
ˈɔʏ̯	ˈuɐ̯	0.25
ˈɔʏ̯	ˈiɐ̯	0.25
ˈɒː	ˈɑː	0.25
ˈɒː	ˈoː	0.25
s	ɡ̊_s	0.25
s	s	0.25
k	ɡ̊	0.25
ˈa	ˈɒː	0.238
ˈa	ˈo	0.238
ˈuː	-	0.235
ç	ɡ̊_a	0.231
ˈɪ	-	0.211
æ	ɐ	0.207
ˈaʊ̯	ˈou̯	0.2
ˈaʊ̯	-	0.2
ˈɒː	ˈɒː	0.188
ˈɒː	-	0.188
ˈʏ	ˈi	0.182
ˈʏ	ˈai̯	0.182
ˈʏ	-	0.182
ˈiː	ˈi	0.176
ˈiː	-	0.176
kʰ	kʰ_ˈe	0.167
ç	x_d̥	0.154
ç	-	0.154
ˈaʊ̯	ˈaː	0.15
æ	d̥_a	0.138
b	-	0.13
ˈɒː	ˈɑ	0.125
ˈae̯	ˈeː	0.125
ˈae̯	ˈai̯	0.125
k	ç	0.125
k	-	0.125
n	a	0.115
ˈɪ	ˈoɐ̯	0.105
ˈa	ˈa	0.095
ˈa	-	0.095
t	ʦ	0.094
m	m_a	0.094
m	a	0.094
ˈae̯	-	0.083
n	ŋ	0.058
