Eastphalian	Bokmål Norwegian	probability
b	b	0.814
b	-	0.124
b	p	0.062
d	d	0.489
d	tʰ	0.376
d	-	0.127
d_ɐ	ɾ	0.482
f	f	0.749
f	ʋ	0.133
f	-	0.079
h	h	0.984
j	-	0.574
j	ɡ	0.159
j	ˈʉː	0.108
j	j	0.074
k	k	0.467
k	kʰ	0.368
k	ç	0.085
k	ɡː	0.065
l	l	0.773
l	lː	0.153
l_d	lː	0.482
m	m	0.62
m	mː	0.149
m	-	0.127
m	ʋ	0.054
n	n	0.364
n	ə	0.255
n	-	0.185
n	nː	0.155
n_d	nː	1.0
p	p	0.85
p	ɾ	0.124
r	ɾ	0.943
r	-	0.057
s	s	0.947
s	sː	0.055
t	t	0.392
t	-	0.254
t	tʰ	0.122
t	d	0.074
t	tː	0.05
v	ʋ	0.646
v	-	0.302
v	ç	0.053
v_ˈʊ	ˈʉ	1.0
w	ʋ	0.75
w	ˈœ	0.25
x	ɡ	0.351
x	tː	0.306
x	-	0.202
x	j	0.089
z	s	0.875
z	ʂ	0.069
z	ɾ	0.053
ç	-	0.53
ç	s	0.28
ç	ŋ	0.107
ç_t	tː	1.0
ŋ	ŋː	0.896
ŋ	ɡ	0.092
ŋ_k	kː	1.0
ɐ	ɾ	0.777
ɐ	-	0.095
ə	ə	0.554
ə	-	0.442
ɡ	ɡ	0.482
ɣ	ɡ	0.439
ɣ	-	0.305
ɣ	j	0.145
ɣ	ɡː	0.084
ɪ	-	0.27
ɪ	i	0.235
ɪ	ɪ	0.13
ʃ	s_k	0.658
ʃ	k	0.134
ʃ	f	0.092
ʃ	ʃ	0.069
ˈa	ˈɑ	0.734
ˈa	ˈɛ	0.107
ˈaʊ̯	ˈuː	0.741
ˈaʊ̯	ˈoː	0.144
ˈaʊ̯	ˈʉː	0.099
ˈaː	ˈoː	0.287
ˈaː	ˈɑ	0.287
ˈaː	ˈɑː	0.159
ˈaː	ˈɛ	0.159
ˈeo̯	ˈøː	0.638
ˈeo̯	ˈoː	0.175
ˈeo̯	ˈœ	0.073
ˈeo̯	ˈœʏ̯	0.073
ˈeː	j	0.503
ˈeː	ˈiː	0.299
ˈeː	ˈʉː	0.125
ˈiː	ˈiː	0.704
ˈiː	ˈyː	0.101
ˈiː	ˈæɪ̯	0.076
ˈiː	ˈɛ	0.056
ˈiː	ˈæː	0.055
ˈoː	ˈuː	0.266
ˈoː	ˈøː	0.232
ˈoː	ˈœ	0.232
ˈoː	ˈʊ	0.092
ˈoː	ˈoː	0.088
ˈuː	ˈʉː	0.741
ˈuː	ˈʉ	0.129
ˈuː	ˈʊ	0.129
ˈyː	ˈyː	0.202
ˈyː	ˈɪ	0.202
ˈøː	ˈœ	1.0
ˈœ	ˈɔ	0.361
ˈœ	ˈʉ	0.361
ˈœ	ˈɛ	0.2
ˈɒː	ˈoː	0.474
ˈɒː	ˈɑː	0.351
ˈɒː	ˈɑ	0.168
ˈɔ	ˈɑ	0.31
ˈɔ	ˈœ	0.12
ˈɔ	ˈʉ	0.116
ˈɔ	ˈʉː	0.116
ˈɔ	ˈʊ	0.08
ˈɔ	ˈɔ	0.059
ˈɔ	ˈʏ	0.057
ˈɔʏ̯	ˈøː	0.53
ˈɔʏ̯	ˈœ	0.293
ˈɛ	ˈɛ	0.279
ˈɛ	ˈiː	0.252
ˈɛ	-	0.126
ˈɛ	ˈɑː	0.126
ˈɛ	ˈøː	0.069
ˈɛ	ˈʉː	0.067
ˈɛə̯	ˈɑː	0.482
ˈɛɪ̯	ˈyː	0.328
ˈɛɪ̯	ˈeː	0.252
ˈɛɪ̯	ˈæɪ̯	0.185
ˈɛɪ̯	ˈiː	0.068
ˈɛɪ̯	-	0.055
ˈɛɪ̯	ˈuː	0.054
ˈɛː	ˈæɪ̯	0.276
ˈɛː	ˈeː	0.209
ˈɛː	ˈæː	0.158
ˈɛː	ˈɪ	0.158
ˈɛː	ˈɑ	0.075
ˈɛː	j	0.075
ˈɪ	ˈɪ	0.434
ˈɪ	ˈiː	0.169
ˈɪ	ˈɛ	0.121
ˈɪ	ˈyː	0.059
ˈɪ	ˈœ	0.059
ˈɪ	ˈʏ	0.059
ˈʊ	ˈʉ	0.486
ˈʊ	ˈuː	0.243
ˈʊ	ˈʊ	0.243
ˈʏ	ˈʏ	0.583
ˈʏ	ˈɛ	0.211
ˈʏ	ˈœ	0.134
