Proto-Slavic	Proto-Slavic	probability
̌_n	ɛ_n	1.0
̌_b	b	1.0
̌_#>	#>	1.0
̌	-	1.0
̂_v	ʋ	1.0
̂_l	a	1.0
̂	-	1.0
ˀ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	ɟ̊	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː_̂	i	1.0
ɨ_̌	i	1.0
ɨ_ˀ	i	1.0
ɡ_ŭ_#>	x_#>	1.0
ɡ	ɦ	1.0
ɛː_̌	ɪ̯ɛ	1.0
ɛː_̂	ɛ	1.0
z_ŭ	z̥	1.0
z	z	1.0
x	x	1.0
v_ŭ	v	1.0
v	ʋ	1.0
ŭ_tʲ	eː	1.0
uː_̂	u	1.0
uː	-	1.0
u	u	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	c	1.0
t_i	c	1.0
t_a	t_a	1.0
t	t	1.0
s_ŭ_#>	s_#>	1.0
s_ŭ	s	1.0
s	s	1.0
rʲ	-	1.0
r_v	a_ʋ	1.0
r_d	a_d	1.0
p	p	1.0
õː_̌	uː	1.0
õː_̂	u	1.0
õː	u	1.0
oː_̂	ɔ	1.0
o_̌	ʊ̯ɔ	1.0
o_̂	ɔ	1.0
o_l	ɫ_a	1.0
o_#>	ɔ_#>	1.0
m_ĭ	ɛ_m	1.0
m	m	1.0
l_ŭ_#>	ɫ_#>	1.0
l_ŭ	l̩	1.0
l_ĭ_#>	ʎ_#>	1.0
k_ŭ_#>	k_#>	1.0
k_a	k_a	1.0
j	j	1.0
ĭː	r̩ː	1.0
ĭ_̌	ɛ	1.0
ĭ_ˀ	ɫ̩	1.0
ĭ_#>	#>	1.0
iː_̂	i	1.0
i_̌	i	1.0
ẽː_̂	æ	1.0
ẽː	-	1.0
ẽ	a	1.0
e_̌	ɛ	1.0
d_ŭ	d̥	1.0
b_ŭ	b̥	1.0
b	b	1.0
a_ˀ	a	1.0
<#_x	<#_x	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
a	a	0.929
k	k	0.905
r	r	0.815
n	n	0.789
ĭ	-	0.769
ŭ	iː	0.731
ŭ_#>	#>	0.706
o	ɔ	0.706
ʒ	ʒ	0.667
e	ɛ	0.667
i	i	0.625
<#_t	<#_c	0.625
ɛː	ɛ	0.533
d	d	0.529
oː	ɫ	0.5
oː	-	0.5
ĭ_̂	ɫ̩	0.5
ĭ_̂	r̩	0.5
e_̂	ɛ	0.5
e_̂	a	0.5
aː	aː	0.5
aː	a	0.5
l	ɫ	0.375
i	-	0.375
<#_t	<#_t	0.375
d	ɟ	0.353
ʒ	ʒ̊	0.333
ɛː	ɪ̯ɛ	0.333
ŭ_#>	i_#>	0.294
o	r	0.294
ŭ	-	0.269
l	l	0.25
e	-	0.25
ĭ	r̩	0.231
n	ɲ	0.211
l	ʎ	0.188
r	-	0.185
ɛː	-	0.133
l	-	0.125
d	-	0.118
k	-	0.095
e	e	0.083
a	-	0.071
l	ɔ	0.062
