Elfdalian	Middle English	probability
ˈʉːə̯_ɣ	ˈiː	1.0
ˈʉː_ɣ	ˈuː	1.0
ˈɪ̃ː	ˈeː	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɑː_ɣ	ˈæi̯	1.0
ˈɑ_n	ˈɔː_n	1.0
ˈœ	ˈeː	1.0
ˈyːœ̯	ˈeː	1.0
ˈyœ̯	-	1.0
ˈoː	-	1.0
ˈiːe̯	ˈɔː	1.0
ʥː	ʤ	1.0
ʏ	ˈɔː_v	1.0
ɽ_j	l	1.0
ɪ	-	1.0
ɔ̃	eː	1.0
ɔ	ə	1.0
ɑ̃	-	1.0
v	v	1.0
tʰ	θ	1.0
t	t	1.0
sː	s	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
rː	r_ˈiː	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈeː	1.0
j_ˈʉː	ˈɛː	1.0
b	b	1.0
a	ə	1.0
r	r	0.97
d	d	0.958
w	w	0.95
ɡ	ɡ	0.909
s	s	0.882
ð	d	0.858
ɛ	ə	0.833
n	n	0.832
f	f	0.816
ˈæ	-	0.791
tː	t	0.785
ɽ	l	0.777
ˈɑː	ˈaː	0.747
ˈɑːi̯	ˈiː	0.738
ˈʉː	-	0.684
ʉ	-	0.683
ŋ	ŋ	0.674
ˈɑːu̯	ˈuː	0.669
ˈɔ	ˈaː	0.667
ɡː	ʤ	0.655
k	k	0.646
ˈɑ	ˈa	0.644
ˈo	-	0.608
ɣ	ˈæi̯	0.603
kː	k	0.603
ˈʏ	ˈi	0.6
ˈʉ	ˈu	0.6
ˈɪ	ˈi	0.588
ɑ	ə_n	0.581
ˈœː	ˈɛː	0.555
ʨ	ʧ	0.553
ˈʏː	-	0.549
ˈɔː	ˈɛː	0.548
j	ˈɛ	0.536
ˈæː	-	0.528
ˈɛ	ˈɛ	0.524
ˈɪː	ˈiː	0.511
nː	n	0.51
ˈʉːə̯	ˈoː	0.46
ˈʏː	ə	0.451
ˈʉːə̯	-	0.45
ʨ	-	0.447
ˈœː	ˈeː	0.445
ˈʉə̯	-	0.403
ˈʏ	ˈu	0.4
ɣ	x	0.397
kː	ŋ_k	0.397
ˈo	ˈɔ	0.392
ˈæː	ˈɛː	0.391
ˈɛ	-	0.366
ɑ	ə	0.356
k	-	0.354
ɡː	ə	0.345
ˈɔ	ˈɛi̯	0.333
ˈɑːu̯	-	0.331
ŋ	n	0.326
ˈɪː	-	0.319
ʉ	n	0.317
ˈʉː	ˈuː	0.316
ˈɪ	ˈiː	0.309
ˈɑːi̯	ˈeː	0.262
ˈɑː	ˈa	0.253
nː	r	0.243
j	-	0.236
ˈʉə̯	ˈɔ	0.233
ˈʉə̯	w_ˈu	0.233
j	ˈi	0.228
ɽ	ɫ	0.223
tː	x_t	0.215
ˈæ	ˈi	0.209
ˈʉ	w_ˈu	0.187
ˈɔː	-	0.187
f	f_ˈɔ	0.184
ˈɑ	ˈaː	0.178
ˈɑ	-	0.178
ˈɪː	ˈi	0.17
n	-	0.168
ɛ	-	0.167
ð	θ	0.142
ˈɔː	ˈɔː	0.133
ˈɔː	ˈa_ɫ	0.133
ˈʉə̯	ˈu	0.132
nː	θ	0.124
nː	r_n	0.124
ˈɛ	ˈi	0.11
ˈʉ	ˈi	0.106
ˈʉ	-	0.106
ˈɪ	-	0.103
ɡ	j	0.091
ˈʉːə̯	ˈeː	0.09
ˈæː	ˈau̯	0.081
ɑ	n	0.063
s	s_w	0.055
