Insular North Frisian	Insular North Frisian	probability
ˈɛː	-	1.0
ˈøː	-	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaː	ˈa	1.0
ˈaʊ̯	-	1.0
ɪ_ç	ɡ	1.0
ɪ	ɪ	1.0
ə_f	b	1.0
ə_#>	n_#>	1.0
ɐ_x	ʀ	1.0
ç_#>	k_#>	1.0
z	z	1.0
v	v	1.0
tʲ	d	1.0
t_#>	d_#>	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z_#>	1.0
r	ʀ	1.0
pʰ	f	1.0
m	m	1.0
lʲ	ɫ_d	1.0
kʰ	k	1.0
h	h	1.0
f_#>	b_#>	1.0
e	ɫ	1.0
b	b	1.0
aɪ̯	ʦ_n	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
<#	<#_t	1.0
l	ɫ	0.957
f	f	0.926
n	n	0.861
ˈa	ˈa	0.857
ɡ	ɡ	0.846
ɾ	t	0.824
p	f	0.818
x	χ	0.727
ˈoː	ˈɔɪ̯	0.714
ˈɔa̯	ˈɔɪ̯	0.667
ŋ	ŋ_ɡ	0.667
j	-	0.667
d	d	0.667
k	χ	0.611
ˈɪ	ˈɪ	0.609
#>	n_#>	0.589
ˈuː	ˈɔ	0.571
ç	ɡ	0.571
ˈɔ	ˈʊ	0.545
ə	-	0.529
s	ʃ	0.517
ˈaɪ̯	ˈɛ	0.5
ˈaɪ̯	ˈɔ_ɡ	0.5
ʃ	ʃ	0.5
ʃ	z	0.5
ɐ	ʀ	0.5
ɐ	ə	0.5
tʰ	ʦ	0.5
tʰ	d	0.5
nʲ	n_d	0.5
nʲ	n	0.5
t	t	0.486
ˈʊ	ˈʊ	0.471
ˈɔː	ˈɔ	0.467
ˈʏ	ˈɔɪ̯	0.45
ˈuː	ˈa	0.429
ç	χ	0.429
s	z	0.414
ˈɔː	ˈa	0.4
ˈɛ	ˈɪ	0.36
ˈɛ	ˈɛ	0.36
ˈœ	ˈʊ	0.357
t	s	0.351
#>	ʀ_#>	0.339
ˈɔa̯	ˈa	0.333
ˈyː	ˈɔɪ̯	0.333
ˈyː	ˈaɪ̯_ə	0.333
ˈyː	-	0.333
ˈiː	ˈɛ	0.333
j	j	0.333
d	s_ə	0.333
ˈɪ	ˈaɪ̯	0.304
ə	ə	0.294
ˈoː	ˈʊ	0.286
k	k	0.278
ˈɔ	-	0.273
x	ʀ	0.273
ˈiː	ˈɔ	0.25
ˈiː	ˈaɪ̯	0.25
ˈeː	ˈɪ	0.25
ˈʊ	ˈɪ	0.235
ˈœ	ˈɪ	0.214
ˈœ	ˈɔ	0.214
ˈœ	-	0.214
ˈʏ	ˈʊ	0.2
ˈeː	ˈɛɪ̯	0.188
ˈeː	ˈɛ	0.188
ˈeː	ˈa	0.188
ˈeː	-	0.188
ˈɔ	ˈɔ	0.182
p	p	0.182
ˈʊ	ˈa	0.176
ɾ	d_ə	0.176
ə	ɛ	0.176
ˈiː	ˈɛɪ̯	0.167
ŋ	ŋ	0.167
ŋ	-	0.167
t	ʦ	0.162
ˈɛ	-	0.16
ɡ	-	0.154
ˈʏ	ˈaɪ̯	0.15
ˈa	-	0.143
ˈɔː	ˈɛ	0.133
ˈɛ	ˈɛɪ̯	0.12
ˈʊ	ˈɛɪ̯	0.118
k	-	0.111
ˈʏ	ˈɪ	0.1
ˈʏ	ˈa	0.1
ˈɪ	-	0.087
n	n_t	0.083
f	f_ˈɪ	0.074
s	ʧ	0.069
n	n_ə	0.056
