Russian	Russian	probability
ˈ_#>	#>	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɫ_ɨ	w	1.0
ɫ_ə	l_aː	1.0
ɫ_#>	w_#>	1.0
ɨ_ˈ	iː_̀	1.0
ɨ_j	ə_w	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ɡ̊	1.0
ɡ_o	ɡ	1.0
ɡ	ɡ	1.0
ɛ	eː	1.0
ɐ_r	r	1.0
æ	eː	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
vʲ	ʋ	1.0
v_ɨ	ʋ	1.0
v	ʋ	1.0
t_#>	t_#>	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ_ɪ	r	1.0
r_#>	r_#>	1.0
r	r	1.0
pʲ	p	1.0
p_ɫ	p	1.0
p	p	1.0
o_ˈ	́	1.0
nʲ	n	1.0
n_ɨ	ə_n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	w_#>	1.0
kʲ	ə_k	1.0
k	k	1.0
j_#>	#>	1.0
i_ˈ	i	1.0
i	iː	1.0
fʲ	-	1.0
f	ʋ	1.0
d̥ʲ	-	1.0
d̥	d̥	1.0
dʲ	d	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	aː_̀	1.0
<#_ɐ	<#_ɔː	1.0
<#_v	<#_ʋ	1.0
<#_tʲ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
#>	́_#>	1.0
n	n	0.8
u	oː	0.778
lʲ	l	0.75
ɫ	l	0.737
a	a	0.72
ə_#>	oː_́_#>	0.667
ʊ	uː	0.6
ɵ	eː	0.6
ˈ	́	0.559
ɨ	-	0.556
tʲ	t	0.556
rʲ	r	0.556
ɵ_ˈ	̀	0.5
ɵ_ˈ	ə_̀	0.5
ɐ	ɔː_̀	0.462
tʲ	t_i	0.444
ʊ	oː_́	0.4
ɵ	ə	0.4
e	eː	0.4
ə	a	0.385
o	oː	0.385
ə_#>	#>	0.333
ə	ɔ	0.308
ə	-	0.308
ɐ	-	0.308
e	ɛ	0.3
ɫ	w	0.263
ɪ	-	0.258
lʲ	l_ɛ	0.25
ɐ	aː_̀	0.231
ɪ	eː	0.226
ˈ	-	0.225
ɨ	iː	0.222
ɨ	i	0.222
u	uː	0.222
rʲ	̀_r	0.222
rʲ	r_j	0.222
n	̀_n	0.2
ˈ	̀	0.198
o	ɔ	0.154
e	e	0.133
ɪ	ɛː_̀	0.129
ɪ	ɛ	0.129
ɪ	ə	0.129
ɪ	eː_̀	0.129
a	aː	0.12
o	ə	0.103
o	ɔː	0.103
o	aː	0.103
o	-	0.103
e	ə	0.1
a	j_a	0.08
a	-	0.08
e	-	0.067
o	eː	0.051
