Middle High German	Pennsylvania German	probability
ˈɛ_h	ˈeː	1.0
ˈɑ_s̻ː	ˈa_s	1.0
ˈɑ_r	ˈaː	1.0
ˈøː	ˈeː	1.0
ˈøy̯	ˈɔː	1.0
ˈæː	ˈɛː	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈiː	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈɔː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈei̯_n	ˈeː	1.0
ˈe	ˈɛ	1.0
ʦː	ʦ	1.0
ʃ	ʃ	1.0
ɡ_ə	ɣ	1.0
ɛ_h	eː	1.0
ə_r	ɑ	1.0
ə_n	ə	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	f	1.0
tː	d	1.0
s̻ː	s	1.0
s̻	s	1.0
s_t	ʃ_d̥	1.0
r_ə	ɑ	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈɔː	1.0
nː	n	1.0
n_ə	n	1.0
n_s	n_s	1.0
n_d	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
fː	f	1.0
f	f	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
m	m	0.963
ʦ	ʦ	0.912
s	s	0.9
w	ʋ	0.899
ˈuː	ˈaʊ̯	0.878
b_ə	ʋ	0.872
n	n	0.847
h	h	0.817
b̥	b̥	0.812
ˈi	ˈɪ	0.798
ˈuə̯	ˈuː	0.791
ˈu	ˈʊ	0.764
ˈo	ˈɔ	0.734
ˈei̯	ˈeː	0.727
ˈy	ˈɪ	0.709
ə	-	0.705
ɡ	ɡ	0.69
ˈɑ	ˈa	0.632
p͡f	-	0.6
x	ç	0.599
kː	k	0.579
ɡ̊	ɡ̊	0.575
ˈo_r	ˈaː	0.555
ˈɛ	ˈɛ	0.521
r	ɾ	0.52
xː	ç	0.51
t	d	0.495
xː	x	0.49
ˈɑː	ˈoː	0.469
r	ɑ	0.46
ˈo_r	ˈa	0.445
ɡ̊	ç	0.425
kː	ɡ̊	0.421
ˈɛ	ˈɛː	0.409
p͡f	b	0.4
t	d̥	0.38
ˈɑː	ˈɔː	0.313
ˈɑ	ˈɔː	0.305
x	x	0.295
ˈy	ˈɛ	0.291
ˈei̯	-	0.273
ˈo	ˈʊ	0.266
ˈu	ˈaː	0.236
ˈɑː	-	0.218
ˈuə̯	ˈʊ	0.209
ɡ	j	0.195
b̥	-	0.188
h	-	0.183
ə	ə	0.159
n	ə	0.153
b_ə	b̥	0.128
ˈi	-	0.123
ˈuː	-	0.122
ɡ	-	0.115
x	-	0.105
w	-	0.101
s	ʃ	0.1
ə	ɪ	0.09
ʦ	-	0.088
ˈi	ˈeː	0.08
ˈɛ	ˈeː	0.07
t	t	0.07
ˈɑ	-	0.063
t	-	0.055
