Zeelandic	Zeelandic	probability
ˈɛː_#>	v_ɔ_#>	1.0
ˈɒː	-	1.0
ˈɑu̯	ˈo_l	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	j	1.0
ɾ_#>	#>	1.0
ɫ_ə	ˈɔː	1.0
ə_#>	#>	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_#>	ɣ_#>	1.0
w	-	1.0
v̥	v	1.0
v_ə	v_ɑ	1.0
t_#>	#>	1.0
s_ɫ	l̥	1.0
n_ˈɛː	n	1.0
n_z̥	sː	1.0
n_#>	#>	1.0
l	ɽ	1.0
iː	ɔ̃	1.0
i	ʉ	1.0
d̥	ð	1.0
b	b	1.0
<#_ˈɪ	<#_ˈɪː	1.0
<#_ˈɛː	<#	1.0
<#_ˈɒː	<#	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_j	<#	1.0
<#_d	<#	1.0
#>	ɑ_#>	1.0
ɾ	r	0.941
m	m	0.929
v	f	0.875
ˈyː	ˈɑːu̯	0.8
<#_x	<#_ɡ	0.8
ˈeː	-	0.75
ɫ	ɽ	0.75
k_#>	ɡ_#>	0.75
t	t	0.735
ʋ	w	0.722
ˈʏ	-	0.714
n	n	0.698
s	s	0.667
p	p	0.636
ˈuː	ˈʉːə̯	0.6
ˈu	ˈʉ	0.6
ŋ	ŋ	0.6
d̥_#>	d_#>	0.583
d	d	0.556
ˈɪ	ˈɪ	0.538
ˈɔ	ˈʉ	0.5
ˈøː	ˈʉː	0.5
ˈøː	-	0.5
ˈæi̯	ˈɛ	0.5
ˈæi̯	ˈiːe̯	0.5
x_ə	ɡː	0.5
x_ə	ɑ	0.5
<#_ˈɑ	<#_ˈɛ	0.5
<#_ˈɑ	<#	0.5
ə	ɑ	0.475
k	k	0.435
ˈæ	j	0.429
ˈi	ˈɑːi̯	0.429
x	ɣ	0.429
d̥_#>	#>	0.417
ˈɑ	ˈɑ	0.412
ˈɪə̯	ˈiːe̯	0.4
ˈɪə̯	j	0.4
ˈuː	ˈyːœ̯	0.4
ˈu	ˈʉːə̯	0.4
ˈiː	j_ˈʉːə̯	0.4
ŋ	ŋ_ɡ	0.4
ˈʊə̯	ˈœː	0.385
ˈɛː	ˈɔː	0.357
ˈi	ˈɪ	0.357
x	-	0.357
ˈɑ	-	0.353
k	kʰ	0.348
ˈʊə̯	ˈoː	0.308
d	tʰ	0.296
ˈʏ	ˈʉ	0.286
ˈæ	ˈɛ	0.286
ə	ɛ	0.271
ˈeː	ˈɪː	0.25
k_#>	#>	0.25
s	s_k	0.238
ˈɑ	ˈɑː	0.235
t	tː	0.235
ˈɪ	j	0.231
ˈɪ	-	0.231
ˈɔ	ˈʉə̯	0.222
ˈɛː	ˈɑː	0.214
ˈɛː	ˈɑ	0.214
ˈɛː	-	0.214
ˈi	ˈɪː	0.214
ˈɪə̯	-	0.2
ˈyː	-	0.2
ˈiː	ˈʏː	0.2
<#_x	<#	0.2
n	nː	0.186
p	pː	0.182
p	-	0.182
ˈɔ	-	0.167
ʋ	w_ˈɛː	0.167
ˈʊə̯	ˈʉə̯	0.154
ˈʊə̯	ˈæː	0.154
d	-	0.148
ˈæ	ˈɑ	0.143
ˈæ	-	0.143
x	ʨ	0.143
ˈiː	ˈʉːə̯	0.133
ˈiː	ˈɪː	0.133
ˈiː	j	0.133
k	kː	0.13
ɫ	lː	0.125
v	-	0.125
n	-	0.116
ˈɔ	r	0.111
ʋ	-	0.111
ə	ɔ	0.102
s	ˈɛ_s	0.095
k	ʨ	0.087
x	ʥː	0.071
m	mː	0.071
ə	ʉ	0.068
ə	-	0.068
ɫ	ˈʉːə̯	0.062
ɫ	-	0.062
ɾ	-	0.059
