Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈe_k	1.0
ˈɛ_#>	#>	1.0
ˈɔ̃_#>	ˈu_#>	1.0
ˈɔ	ˈu	1.0
ˈɑː	ˈa_s	1.0
ˈø_ʁ	ˈu	1.0
ˈe_v	β	1.0
ˈe_n	ˈi_n	1.0
ˈaː_#>	w_#>	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦ	1.0
ʒ	ʤ	1.0
ʎ_#>	l_#>	1.0
ʃ_#>	s_#>	1.0
ʁ_a	ɾ_ɔ	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɛ̃	e_n	1.0
ɛː	-	1.0
ɛ_ʁ	e_ʀ	1.0
ɛ	e	1.0
ə_v	a_β	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
ɔ̃	-	1.0
ɔ	u	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
y	y	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈa_w	1.0
u	-	1.0
t_a	t_ɔ	1.0
s	s	1.0
p	p	1.0
o_#>	#>	1.0
l_#>	l_#>	1.0
k_ʁ	k_ɾ	1.0
k	k	1.0
j_ˈe_#>	ˈa_#>	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ʁ	<#_ʀ	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
m	m	0.963
l	l	0.909
t	t	0.889
f	f	0.885
ˈa	ˈa	0.833
ɡ	ɡ	0.75
a	ɔ	0.739
ˈĩ	ˈi	0.714
ʎ	ʎ	0.7
b	b	0.7
n	n	0.688
ð	ɾ	0.667
v	b	0.667
e	e_s	0.667
ʃ	k	0.63
z	z	0.625
ˈɔ̃	ˈu_n	0.6
ˈi	ˈi	0.571
i	ɔ	0.571
ˈaː	ˈa	0.556
ˈo	ˈu	0.545
ʁ	ɾ	0.532
ˈɛː	ˈe	0.522
o	e	0.52
ˈɛ	ˈɛ	0.5
ˈe	ˈɛ	0.5
ə	e	0.5
ˈaː	ˈa_j	0.444
ə	ɔ	0.444
ˈø	ˈɛ	0.429
i	-	0.429
ˈɔ̃	ˈu	0.4
j	-	0.4
ˈu	ˈy	0.385
ˈu	ˈu	0.385
z	-	0.375
ˈɛ̃	ˈɛ_n	0.357
ˈoː	ˈɔ	0.353
e	e	0.333
ˈɑ̃	ˈa	0.308
w	ɥ	0.304
ʎ	l	0.3
ˈɛ̃	ɲ	0.286
ˈɛ	ˈe	0.286
ˈø	ˈɔ	0.286
ˈø	ˈu	0.286
ˈĩ	-	0.286
o	u	0.28
ˈo	ˈɔ	0.273
ʁ	ʀ	0.255
ɡ	ɣ	0.25
n	-	0.25
j	j	0.24
ð	ʤ	0.238
ˈoː	-	0.235
ˈɑ̃	ˈa_n	0.231
ˈu	ˈɔ	0.231
w	-	0.217
a	a	0.217
ˈɛ̃	ˈe	0.214
ˈɛ	-	0.214
v	β	0.2
b	β	0.2
ˈi	ˈe	0.19
#>	t_#>	0.19
ˈo	-	0.182
ˈoː	ˈa_w	0.176
ˈɛː	ˈe_j	0.174
ˈɛː	-	0.174
w	ˈy	0.174
w	ˈu	0.174
#>	s_#>	0.167
ˈe	ˈi	0.156
ˈe	ˈa	0.156
ˈɑ̃	ˈa_ŋ	0.154
ˈɑ̃	ˈa_m	0.154
ˈɑ̃	n	0.154
ʃ	ʦ	0.148
ˈɛ̃	n	0.143
ˈi	ˈɛ	0.143
v	-	0.133
ˈɛː	ˈa	0.13
w	ˈɔ	0.13
ˈe	j	0.125
o	i	0.12
j	ˈa	0.12
#>	e_#>	0.119
ˈoː	ˈɔ_s	0.118
ˈoː	ˈa_l	0.118
f	w	0.115
t	-	0.111
b	-	0.1
ˈi	ˈi_w	0.095
ð	ʀ	0.095
#>	k_#>	0.095
l	-	0.091
ʁ	ʀ_t	0.085
ʁ	-	0.085
ˈa	ˈɔ_k	0.083
ˈa	ˈa_t	0.083
o	-	0.08
j	ˈɛ	0.08
j	ð	0.08
j	k	0.08
ʃ	s	0.074
ʃ	k_ˈa	0.074
ʃ	-	0.074
#>	p_#>	0.071
#>	l_#>	0.071
ˈe	ˈɛ_s	0.062
n	nː	0.062
ə	-	0.056
