Saterland Frisian	Faroese	probability
a	ˈɔːu̯	0.525
a	w	0.475
b	b̥	0.919
b	-	0.053
d	d̥	0.386
d	-	0.363
d	t	0.068
d	tː	0.059
f	f	0.843
f	v	0.125
h	h	0.96
i	a	1.0
j	-	0.358
j	ʤ̊	0.145
j	ˈuː	0.114
j	ʤ̊ː	0.086
j	j	0.059
j	ˈɛːa̯	0.056
k	k	0.408
k	-	0.324
k	kʰ	0.183
l	l	0.771
l	l̥	0.16
l	-	0.069
m	m	0.905
m	-	0.075
n	n	0.723
n	nː	0.105
n	-	0.096
n	n̥	0.068
p	ʰp	0.351
p	p	0.31
p	ɹ	0.115
p	v	0.11
p	ʰpː	0.103
r	ɹ	0.811
s	s	0.745
s	ʃ	0.183
t	t	0.492
t	tʰ	0.232
t	-	0.106
t	ʰt	0.092
v	v	0.667
v	-	0.169
v	kʰ_v	0.097
w	v	0.606
w	m	0.394
x	ʰtː	0.391
x	v	0.196
x	ɡ̊	0.182
x	ʤ̊ː	0.076
x	ɡ̊ː	0.074
x	-	0.068
z	s	1.0
ŋ	ŋ	0.902
ŋ	ɲ	0.098
ə	a	0.487
ə	-	0.194
ə	ʊ	0.14
ə	ɪ	0.102
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.489
ɣ	ʧ	0.158
ɣ	-	0.126
ɣ	ʎ	0.101
ɣ	f	0.051
ɪ	ŋ	0.414
ɪ	-	0.229
ɪ	a	0.229
ɪ	ʊ	0.127
ɫ	l̥	1.0
ˈa	ˈɛ	0.319
ˈa	ˈøː	0.248
ˈa	ˈeː	0.182
ˈa	ˈʊ	0.182
ˈa	ˈɔ	0.07
ˈaː	ˈɛ	0.446
ˈaː	ˈɛːa̯	0.446
ˈaː	ˈai̯	0.064
ˈaːi̯	ˈeː	0.509
ˈaːi̯	ˈa	0.347
ˈaːi̯	w	0.144
ˈaːu̯	ˈʊ̯iː	0.714
ˈaːu̯	ˈœ	0.286
ˈeː	ˈaːi̯	0.36
ˈeː	-	0.233
ˈeː	ˈɔːi̯	0.133
ˈeː	ˈai̯	0.079
ˈeː	ˈeə̯	0.056
ˈeː	ˈɔ̯aː	0.056
ˈeːu̯	ˈeː	1.0
ˈi	ˈʊ̯iː	0.379
ˈi	ˈeː	0.311
ˈi	ˈɛːa̯	0.165
ˈi	ˈɛ	0.077
ˈi	j	0.068
ˈiː	ˈɪ	0.333
ˈiː	ˈɔ̯aː	0.207
ˈiː	ˈʊ̯iː	0.141
ˈiː	ˈiː	0.091
ˈiː	ˈɔːu̯	0.06
ˈiː	j	0.058
ˈiːu̯	ˈiː	1.0
ˈoː	ˈɛːi̯	0.214
ˈoː	ʊ	0.144
ˈoː	w	0.116
ˈoː	ˈɔ̯aː	0.112
ˈoː	ˈʉːu̯	0.096
ˈoː	ˈɔːi̯	0.063
ˈoː	ˈa	0.06
ˈoː	-	0.057
ˈoːu̯	ˈa	0.24
ˈoːu̯	ˈɔːu̯	0.199
ˈoːu̯	ˈɔ̯aː	0.191
ˈoːu̯	ˈɔ	0.155
ˈoːu̯	ˈœ	0.075
ˈoːu̯	ˈoː	0.062
ˈu	ˈɪ	0.587
ˈu	ˈʊ	0.345
ˈu	ˈʏ	0.068
ˈuː	ˈʉːu̯	0.242
ˈuː	ˈʊ	0.176
ˈuː	w	0.117
ˈuː	ˈoː	0.093
ˈuː	ˈʊ̯iː	0.086
ˈuː	ˈɔ	0.069
ˈuː	ˈuː	0.063
ˈyː	ˈa	0.794
ˈyː	ˈʉːu̯	0.206
ˈøː	ˈʏ	1.0
ˈœː	ˈɔ	1.0
ˈɔ	ˈʊ	0.304
ˈɔ	ˈa	0.292
ˈɔ	ˈɪ	0.179
ˈɔ	ˈɛːa̯	0.115
ˈɔ	ˈuː	0.062
ˈɔː	ˈɛ	0.207
ˈɔː	ˈɛːa̯	0.182
ˈɔː	ˈa	0.174
ˈɔː	j	0.168
ˈɔː	ˈɔ	0.152
ˈɔː	ˈiː	0.117
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈœ	0.256
ˈɛ	ˈɛ	0.231
ˈɛ	ˈɛːa̯	0.231
ˈɛ	ˈɔ̯aː	0.108
ˈɛ	ˈai̯	0.097
ˈɛ	ˈɔ	0.077
ˈɛɪ̯	ˈøː	0.477
ˈɛɪ̯	ˈa	0.109
ˈɛɪ̯	ˈɔːu̯	0.069
ˈɛɪ̯	ˈʉːu̯	0.06
ˈɛɪ̯	ɹ	0.059
ˈɛɪ̯	ˈɔ̯aː	0.053
ˈɛː	ˈɪ	0.31
ˈɛː	ˈa	0.248
ˈɛː	ˈʊ	0.121
ˈɛː	-	0.103
ˈɛː	ˈɔ	0.101
ˈɛː	ˈɛːa̯	0.065
ˈɛː	ˈœ	0.052
ˈɪ	ˈɪ	0.51
ˈɪ	ˈiː	0.153
ˈɪ	ˈɛ	0.15
ˈɪ	ˈʊ̯iː	0.073
ˈɪ	ˈʉːu̯	0.073
ˈʊ	ˈʊ	0.533
ˈʊ	ˈɪ	0.225
ˈʊ	ˈʏ	0.062
ˈʊ	ˈɔ	0.055
