Nynorsk Norwegian	Proto-Germanic	probability
b	b	1.0
d	d	0.653
d	θ	0.164
d	ð_ɑ̃	0.112
d	ð	0.064
e	ɔ̃ː	0.3
e	ɔːː	0.173
e	-	0.166
e	ɑ	0.092
e	u	0.053
e	ɛː	0.053
e_ɾ	i	1.0
f	ɸ	1.0
h	x	0.959
j	ˈe	0.359
j	ɣ	0.354
j	-	0.09
j	ɡʷ	0.09
j	ɑ	0.07
k	k_ɑ	0.236
k	k	0.222
k	k_s	0.21
k	k_i	0.135
k	x	0.086
k	kː	0.067
kʰ	k	0.754
kʰ	kʷ	0.108
kʰ	ɸ	0.108
kʰ_ʋ	xʷ	1.0
l	l	0.753
l	l_ɑ	0.149
l	ɑ_l	0.076
lː	lː	0.538
lː	l	0.32
lː	r	0.093
m	m	0.666
m	m_ɑ	0.2
mː	m	0.493
n	n	0.698
n	n_ɑ	0.106
n	-	0.063
nː	nː	0.321
nː	n_θ	0.256
nː	d_ɑ	0.165
nː	n	0.109
nː	n_d	0.067
p	p	1.0
s	s	0.906
s	s_ɑ̃	0.07
sː	s	0.493
t	t	0.499
t	t_ɑ	0.296
t	t_s	0.116
t	t_ɑ̃	0.079
tʰ	θ	0.544
tʰ	t	0.427
v	w	0.493
ç	k	0.324
ç	θ	0.282
ç	kʷ	0.214
ç	t	0.131
çː	t	0.493
ŋ	ŋ_ɡ	0.871
ŋ	n	0.052
ŋː	ŋ_ɡ	0.66
ŋː	ŋ	0.194
ŋː	n	0.097
ɑ	n_ɑ̃	0.618
ɑ	ɔːː	0.127
ɑ	i_j	0.08
ə	j	0.574
ə	i	0.283
ɛ	i	0.5
ɛ	ɛː	0.5
ɡ	ɣ	0.554
ɡ	ɣ_ɑ	0.27
ɡ	z	0.054
ɡː	ɣ_j	0.66
ɡː	jː	0.227
ɪ	iː	0.493
ɲ	ŋ	1.0
ɾ	r	0.733
ɾ	-	0.086
ʃ	s_k	0.852
ʃ	m	0.066
ʉ	ɑ	0.243
ʉ	u	0.12
ʋ	w	0.525
ʋ	β	0.121
ʋ	β_ɑ	0.121
ʋ	i	0.052
ʋ	ɑ_z	0.052
ʰkː	ŋ_k	0.683
ʰkː	k	0.222
ʰtː	x_t	0.538
ʰtː	t_ɑ	0.457
ˈeː	ˈe	0.283
ˈeː	ˈi	0.241
ˈeː	ˈe_w	0.178
ˈeː	ˈiː	0.102
ˈeː	ˈɑ	0.102
ˈeː	ˈeː	0.078
ˈiː	ˈiː	0.391
ˈiː	ˈi	0.203
ˈiː	ˈe	0.15
ˈiː	ˈi_n	0.138
ˈiː	ˈiː_ð	0.091
ˈoː	ˈɛː	0.48
ˈoː	ˈɑi̯	0.151
ˈoː	ˈu	0.131
ˈoː	ˈɑ	0.128
ˈuː	ˈɔː	0.467
ˈuː	ˈɔː_θ	0.171
ˈuː	w	0.113
ˈuː	-	0.088
ˈuː	ˈɔː_ð	0.088
ˈyː	ˈeu̯	0.514
ˈyː	ˈiu̯	0.272
ˈyː	ˈuː	0.136
ˈyː	ˈɔː	0.07
ˈæ	ˈe	0.493
ˈæɪ̯	ˈɑi̯	0.891
ˈæɪ̯	ˈɑ	0.099
ˈæʉ̯	ˈɑu̯	0.721
ˈæʉ̯	ˈɑu̯_ð	0.274
ˈæːɪ̯	ˈɑi̯	0.12
ˈøː	ˈɔː	0.435
ˈøː	ɑ	0.152
ˈøː	-	0.111
ˈøː	ˈe	0.107
ˈøː	ˈɑ	0.106
ˈœ	-	1.0
ˈœʏ̯	ˈɑu̯	1.0
ˈɑ	ˈɑ	0.944
ˈɑ	-	0.056
ˈɑː	ˈɑ	1.0
ˈɔ	ˈu	0.622
ˈɔ	ˈɑ	0.367
ˈɛ	ˈɑ	0.43
ˈɛ	ˈe	0.308
ˈɛ	ˈi	0.117
ˈɛ	ˈĩː	0.077
ˈɛ	ˈɔː	0.051
ˈɛː	ˈe	1.0
ˈɪ	ˈi	0.767
ˈɪ	ˈi_n	0.116
ˈɪ	-	0.068
ˈʉ	ˈu	0.687
ˈʉ	w_ˈu	0.223
ˈʉː	ˈuː	0.592
ˈʉː	ˈeu̯	0.211
ˈʉː	ˈu	0.09
ˈʉː	ˈe	0.083
ˈʊ	ˈu	0.767
ˈʊ	ˈɑ	0.126
ˈʊ	ˈe	0.094
ˈʏ	ˈu	0.358
ˈʏ	ˈi	0.226
ˈʏ	w	0.13
ˈʏ	ˈeu̯	0.13
ˈʏ	ˈiu̯	0.097
