Nynorsk Norwegian	Proto-Germanic	probability
b	b	1.0
d	d	0.653
d	θ	0.164
d	ð_ɑ̃	0.112
d	ð	0.064
e	ɔ̃ː	0.324
e	ɔːː	0.157
e	-	0.15
e	ɑ	0.083
e	i	0.069
e_ɾ	i	1.0
f	ɸ	1.0
h	x	0.953
h	k	0.051
j	ɣ	0.414
j	ˈe	0.29
j	ɡʷ	0.091
j	-	0.091
j	ɑ	0.073
k	k	0.245
k	k_ɑ	0.221
k	k_s	0.197
k	k_i	0.127
k	x	0.083
kʰ	k	0.658
kʰ	ɸ_r	0.186
kʰ	kʷ	0.141
kʰ_ʋ	xʷ	1.0
l	l	0.733
l	l_ɑ	0.139
l	ɑ_l	0.092
l	-	0.033
lː	lː	0.538
lː	l	0.32
lː	r	0.093
m	m	0.614
m	m_ɑ	0.19
m	m_i	0.084
m	mː	0.044
m	ɸ	0.043
mː	m	0.493
n	n	0.732
n	n_ɑ	0.107
n	-	0.084
n	ɔːː	0.04
n	ɔː	0.031
nː	nː	0.333
nː	n	0.3
nː	n_θ	0.183
nː	d_ɑ	0.072
nː	-	0.058
p	p	1.0
s	s	0.907
s	s_ɑ̃	0.068
s	sː	0.03
sː	s	0.493
t	t	0.521
t	t_ɑ	0.283
t	t_s	0.111
t	t_ɑ̃	0.076
tʰ	θ	0.616
tʰ	t	0.378
v	w	0.493
ç	k	0.394
ç	θ	0.254
ç	kʷ	0.193
ç	t	0.118
çː	t	0.493
ŋ	ŋ	0.784
ŋ	ɑ̃	0.126
ŋː	ŋ_ɡ	0.678
ŋː	ŋ	0.174
ŋː	x	0.123
ɑ	n_ɑ̃	0.717
ɑ	ɔːː	0.121
ɑ	ɑ̃	0.07
ɑ	ɑː	0.037
ɑ	e	0.037
ə	j_ɔ̃ː	0.488
ə	i	0.21
ə	j	0.129
ɛ	ɛː	0.5
ɛ	i	0.5
ɡ	ɣ	0.536
ɡ	ɣ_ɑ	0.273
ɡ	z	0.053
ɡ	x	0.053
ɡ	wː	0.047
ɡː	ɣ_j	0.66
ɡː	jː	0.227
ɪ	iː	0.493
ɲ	ŋ	1.0
ɾ	r	0.706
ɾ	-	0.086
ɾ	r_ɑ	0.048
ɾ	r_ɑ̃	0.048
ɾ	r_i	0.036
ʃ	s	0.585
ʃ	s_k	0.328
ʃ	m	0.059
ʉ	u	0.325
ʉ	ɑ	0.325
ʋ	w	0.531
ʋ	β	0.146
ʋ	β_ɑ	0.104
ʋ	-	0.091
ʋ	i	0.044
ʰkː	ŋ_k	0.683
ʰkː	k	0.222
ʰtː	x_t	0.538
ʰtː	t_ɑ	0.457
ˈeː	ˈe	0.283
ˈeː	ˈi	0.241
ˈeː	ˈe_w	0.178
ˈeː	ˈiː	0.102
ˈeː	ˈɑ	0.102
ˈiː	ˈiː	0.38
ˈiː	ˈe	0.146
ˈiː	k_ˈi	0.134
ˈiː	ˈi_n	0.134
ˈiː	ˈiː_ð	0.089
ˈoː	ˈɛː	0.438
ˈoː	ˈu	0.156
ˈoː	ˈɑi̯	0.133
ˈoː	ˈɑ	0.115
ˈoː	ˈɑu̯	0.061
ˈuː	ˈɔː	0.458
ˈuː	ˈɔː_θ	0.168
ˈuː	w	0.146
ˈuː	ˈɔː_ð	0.09
ˈuː	ˈe	0.066
ˈyː	ˈeu̯	0.514
ˈyː	ˈiu̯	0.272
ˈyː	ˈuː	0.136
ˈyː	ˈɔː	0.07
ˈæ	ˈe	0.493
ˈæɪ̯	ˈɑi̯	0.891
ˈæɪ̯	ˈɑ	0.099
ˈæʉ̯	ˈɑu̯	0.744
ˈæʉ̯	ˈɑu̯_ð	0.25
ˈæːɪ̯	ˈɑi̯	0.12
ˈøː	ˈɔː	0.458
ˈøː	ɑ	0.128
ˈøː	-	0.096
ˈøː	ˈe	0.096
ˈøː	ˈɑ	0.095
ˈœ	-	1.0
ˈœʏ̯	ˈɑu̯	1.0
ˈɑ	ˈɑ	0.947
ˈɑ	-	0.053
ˈɑː	ˈɑ	1.0
ˈɔ	ˈu	0.647
ˈɔ	ˈɑ	0.348
ˈɛ	ˈɑ	0.439
ˈɛ	ˈe	0.295
ˈɛ	ˈi	0.112
ˈɛ	ˈĩː	0.074
ˈɛ	ˈɔː	0.05
ˈɛː	ˈe	1.0
ˈɪ	ˈi	0.855
ˈɪ	j	0.078
ˈɪ	-	0.063
ˈʉ	ˈu	0.683
ˈʉ	w_ˈu	0.197
ˈʉ	ˈuː	0.061
ˈʉ	ˈiu̯	0.06
ˈʉː	ˈuː	0.563
ˈʉː	ˈeu̯	0.2
ˈʉː	ˈe	0.12
ˈʉː	ˈu	0.085
ˈʊ	ˈu	0.767
ˈʊ	ˈɑ	0.126
ˈʊ	ˈe	0.094
ˈʏ	ˈu	0.459
ˈʏ	ˈi	0.192
ˈʏ	ˈeu̯	0.11
ˈʏ	w	0.11
ˈʏ	ˈiu̯	0.086
