West Frisian	West Frisian	probability
χ_#>	#>	1.0
ˈɪə̯_#>	ˈyː_dʲ_#>	1.0
ˈɪ_n	n	1.0
ˈɛi̯_#>	ˈɛi̯_#>	1.0
ˈɛi̯	-	1.0
ˈɛ_r	ʀ	1.0
ˈɛ_j_#>	ˈi_#>	1.0
ˈɔu̯	ˈɔu̯	1.0
ˈøə̯	ˈʏ	1.0
ˈø	-	1.0
ˈyː	ˈʏ	1.0
ˈu̯o	ˈɛ	1.0
ˈu	ˈʊ	1.0
ˈoː	ˈʏ	1.0
ʦ	t	1.0
ʋ_ˈɔ	ˈʊ	1.0
ʋ	v	1.0
ɪ	i	1.0
ɣ_j	j	1.0
ɡ_ˈɪə̯	ɡ	1.0
ɡ	ɡ	1.0
ə_χ	i	1.0
ŋ	ŋ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
n_d	n	1.0
m	m	1.0
l_ə	l	1.0
k_j	k	1.0
k	k	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɔ	ˈʊ	1.0
j_ɪ	ɛi̯	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
d_ə	d̥	1.0
b	b	1.0
<#_ʦ	<#	1.0
<#_r	<#_ʀ	1.0
<#_j	<#	1.0
<#	<#_j	1.0
r	ʀ	0.918
p	p	0.857
χ	x	0.846
ə	ə	0.838
v	v	0.833
l	l	0.809
t	t	0.79
d	d	0.773
ˈɛ	-	0.75
ɣ	-	0.75
n	n	0.7
ˈɔː	ˈœ	0.667
ˈi	ˈi	0.615
ˈeː	ˈiː	0.6
z	z	0.6
ˈiə̯	ˈiː	0.55
ˈiː	ˈi	0.545
d̥	d̥	0.545
ˈɪ	ˈa	0.5
ˈɛː	ˈa_ʀ	0.5
ˈɔ	-	0.5
ˈuː	ˈʏ	0.462
ˈuə̯	ˈœ	0.462
ˈɪə̯	ˈuː	0.45
j	j	0.444
ˈoə̯	ˈɔ	0.429
ˈaː	-	0.429
ˈeː	ˈi	0.4
z	d	0.4
ˈa	ˈɒ	0.353
ˈɔː	-	0.333
j	-	0.333
ˈɔ	ˈʊ	0.312
#>	ʀ_#>	0.312
ˈuː	-	0.308
ˈaː	ˈɒː	0.286
ˈiː	-	0.273
d̥	dʲ	0.273
ˈɪə̯	ˈiː	0.25
ˈɛː	ˈɒː	0.25
ˈɛː	ˈeː	0.25
ˈɛ	ˈa	0.25
ˈiə̯	ˈɛi̯	0.25
ɣ	w	0.25
#>	v̥_#>	0.25
ˈuː	ˈœː	0.231
ˈuə̯	ˈœi̯	0.231
ˈi	ˈɛ	0.231
ˈoə̯	ˈɔu̯	0.214
ˈoə̯	-	0.214
ˈɪ	-	0.208
ˈɔ	ˈɔː	0.188
#>	ə_#>	0.188
ˈiː	ˈiː	0.182
d̥	lʲ	0.182
ˈa	ˈɔː	0.176
ˈa	ˈa	0.176
ˈa	-	0.176
v	v_ˈʊ	0.167
χ	ç	0.154
ˈuə̯	ˈɔu̯	0.154
ˈuə̯	-	0.154
ˈi	-	0.154
ˈɪə̯	ˈyː	0.15
ˈɪə̯	-	0.15
n	nʲ	0.15
ˈoə̯	ʀ	0.143
ˈaː	ˈɛː	0.143
ˈaː	ˈyː	0.143
p	-	0.143
d	dʲ	0.136
ə	-	0.135
t	tʲ	0.129
ˈɪ	ˈeː	0.125
#>	s_#>	0.125
#>	d̥_#>	0.125
ˈa	ˈeː	0.118
j	ˈœ	0.111
j	ˈiː	0.111
ˈiə̯	ˈɛ	0.1
ˈiə̯	-	0.1
d	-	0.091
l	l_ə	0.085
ˈɪ	ˈi	0.083
ˈɪ	ˈai̯	0.083
r	d_ə	0.082
l	lʲ	0.064
