Catalan	Catalan	probability
β	β	1.0
ˈɛ_w	e_ʝ	1.0
ˈu_#>	ˈu_n_o_#>	1.0
ˈo_#>	ˈo_n_#>	1.0
ˈi_#>	ˈi_n_o_#>	1.0
ˈe_#>	ˈe_ɾ_#>	1.0
ˈa_ɾ	ˈa_j	1.0
ˈa_l	ˈa	1.0
ˈa_#>	ˈa_n_o_#>	1.0
ʧ	ʝ_o	1.0
ʎː	ʎ	1.0
ʎ_#>	ʎ_o_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ	ɾ	1.0
ɲ_#>	ɲ_o_#>	1.0
ɣ	ɣ	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
w_ˈa	w_ˈa	1.0
t_ə	t_a	1.0
t_#>	#>	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
r_n	ɾ_n	1.0
p_ˈɔ	p_ˈo	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
k_ɾ	k_ɾ	1.0
k_#>	ɣ_o_#>	1.0
k	k	1.0
f	f	1.0
b_ə	b_e	1.0
b	b	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈa	ˈa	0.966
m	m	0.917
r	ɾ	0.9
d	d	0.875
ˈu	ˈu	0.857
l	l	0.84
ɡ	ɡ	0.833
ð	ð	0.833
t	t	0.824
ˈi	ˈi	0.784
ə	a	0.779
ŋ	ŋ	0.778
j	j	0.778
ʒ	ʧ	0.765
s	s	0.76
ʎ	ʎ	0.667
z	s	0.667
<#_s	<#_s	0.643
ɲ	ɲ	0.625
ˈo	ˈo	0.609
u	o	0.591
ˈɔ	w_ˈe	0.579
ˈɛ	ˈe	0.567
ɾ_ə	ɾ_o	0.545
i	i	0.545
l_#>	l_o_#>	0.5
l_#>	l_#>	0.5
<#_ə	<#_e	0.5
<#_ə	<#_a	0.5
<#	<#_ɡ	0.5
<#	<#_a	0.5
ˈe	ˈe	0.464
w_#>	w_#>	0.455
ˈe	j_ˈe	0.429
ɲ	n	0.375
<#_s	<#_θ	0.357
#>	ɾ_#>	0.337
#>	o_#>	0.337
z	-	0.333
w	β	0.333
u	u	0.318
ˈo	ˈu	0.304
ɾ_ə	ˈe_ɾ	0.273
w_#>	θ_#>	0.273
w_#>	#>	0.273
i	-	0.273
ʎ	l	0.267
ˈɔ	ˈo	0.263
w	ˈe	0.25
w	-	0.25
ˈɛ	j_ˈe	0.233
ŋ	ŋ_k	0.222
j	-	0.222
ɾ_ə	ɾ	0.182
i	j	0.182
ɡ	-	0.167
ð	ʝ	0.167
w	ˈe_θ	0.167
s	θ	0.16
ə	e	0.154
ˈu	w_ˈe	0.143
ˈi	ˈe_j	0.135
#>	e_#>	0.128
d	-	0.125
ʒ	ʝ	0.118
ʒ	ð	0.118
ˈe	j	0.107
ˈɔ	w	0.105
ˈɛ	j	0.1
ˈɛ	e	0.1
r	r	0.1
u	-	0.091
ˈo	w_ˈe	0.087
m	b_ɾ	0.083
ˈi	ˈe	0.081
#>	n_#>	0.081
s	p_o	0.08
l	ʎ	0.08
l	-	0.08
ʎ	z	0.067
t	ð_o	0.059
t	ð	0.059
t	-	0.059
#>	t_o_#>	0.058
ˈɔ	ˈo_m	0.053
