Swabian	Eastphalian	probability
a	n	0.695
a	-	0.146
a	m	0.109
a	ə	0.05
b	b	0.666
b	v	0.137
b	f	0.101
b	-	0.08
b̥͡f	p	1.0
d	d	0.616
d	t	0.24
d	-	0.144
e	ə	1.0
eə̯	ɒː	1.0
f	f	0.707
f	p	0.205
f	b	0.052
h	h	0.956
j	j	1.0
kʰ	k	1.0
l	l	0.987
m	m	0.926
m	-	0.074
n	n	0.985
s	z	0.476
s	t	0.343
s	s	0.166
t	t	1.0
x	x	0.465
x	k	0.356
x	ç	0.179
ç	k	0.825
ç	ç	0.175
ŋ	ŋ	0.83
ŋ	-	0.17
ɡ	ɣ	0.256
ɡ	j	0.157
ɡ	ç	0.135
ɡ	ŋ	0.133
ɡ	k	0.126
ɡ	-	0.079
ɡ	ɡ	0.076
ɪ	ɪ	1.0
ʁ	r	0.936
ʃ	ʃ	0.531
ʃ	s	0.469
ʋ	v	0.867
ʋ	w	0.133
ʌ	ɐ	0.918
ʕ	-	0.976
ʣ	t	1.0
ʦ	t	1.0
ˈa	ˈa	0.626
ˈa	ˈɒː	0.135
ˈa	ˈɔ	0.081
ˈa	ˈɛ	0.065
ˈae̯	ˈʏ	0.292
ˈae̯	ˈøː	0.14
ˈae̯	ˈeː	0.136
ˈae̯	ˈiː	0.115
ˈae̯	ˈoː	0.106
ˈae̯	ˈɪ	0.102
ˈae̯	ˈɛɪ̯	0.059
ˈae̯	ˈuː	0.05
ˈao̯	ˈuː	0.661
ˈao̯	ˈeo̯	0.194
ˈao̯	ˈoː	0.061
ˈaː	ˈa	0.291
ˈaː	ˈɛː	0.194
ˈaː	ˈaː	0.168
ˈaː	ˈɒː	0.135
ˈaː	ˈaʊ̯	0.124
ˈaː	ˈɛ	0.088
ˈe	ˈɪ	0.853
ˈe	ˈa	0.089
ˈe	ˈœ	0.058
ˈeə̯	ˈɛɪ̯	0.502
ˈeə̯	ˈɔʏ̯	0.258
ˈeə̯	ˈɛ	0.24
ˈeː	ˈɛɪ̯	0.4
ˈeː	ˈɔʏ̯	0.184
ˈeː	ˈɛː	0.173
ˈeː	ˈøː	0.107
ˈeː	ˈeː	0.1
ˈi	ˈɪ	0.542
ˈi	ˈɛ	0.194
ˈi	ˈiː	0.097
ˈi	ˈɛɪ̯	0.086
ˈi	ˈoː	0.081
ˈiə̯	ˈɛɪ̯	0.72
ˈiə̯	ˈɔʏ̯	0.28
ˈiː	ˈɛɪ̯	0.391
ˈiː	ˈeː	0.25
ˈiː	ˈɪ	0.14
ˈiː	ˈøː	0.127
ˈiː	ˈɔʏ̯	0.092
ˈo	ˈʊ	0.609
ˈo	ˈʏ	0.113
ˈo	ˈœ	0.081
ˈo	ˈɔ	0.074
ˈo	ˈɒː	0.059
ˈoː	ˈeo̯	0.477
ˈoː	ˈoː	0.18
ˈoː	ˈɔ	0.176
ˈoː	ˈɒː	0.094
ˈoː	ˈuː	0.072
ˈu	ˈɔ	0.443
ˈu	ˈʏ	0.347
ˈu	ˈʊ	0.158
ˈu	ˈœ	0.052
ˈuə̯	ˈaʊ̯	0.687
ˈuə̯	ˈɔʏ̯	0.226
ˈuə̯	ˈʊ	0.087
ˈuː	ˈuː	0.781
ˈuː	ˈaʊ̯	0.219
ˈɔ	ˈoː	0.447
ˈɔ	ˈɔ	0.404
ˈɔ	ˈøː	0.15
ˈɔe̯	ˈɛɪ̯	1.0
ˈɔə̯	ˈaʊ̯	1.0
ˈɔː	ˈɒː	0.777
ˈɔː	ˈɛː	0.153
ˈɔː	ˈa	0.07
ˈəi̯	ˈiː	0.628
ˈəi̯	ˈɪ	0.14
ˈəi̯	ˈyː	0.139
ˈəi̯	ˈʏ	0.093
ˈɛ	ˈɛ	0.385
ˈɛ	ˈa	0.13
ˈɛ	ˈɛː	0.128
ˈɛ	ˈeː	0.127
ˈɛ	ˈiː	0.07
ˈɛ	ˈɪ	0.07
ˈɛ	ˈʏ	0.053
ˈɛː	ˈɒː	0.341
ˈɛː	ˈeː	0.291
ˈɛː	ˈɛɪ̯	0.131
ˈɛː	ˈɛ	0.118
ˈɛː	ˈɛː	0.118
ˈɪ	ˈɪ	0.8
ˈɪ	ˈʏ	0.2
ˈʌ	ˈɛː	0.803
ˈʌ	ɐ	0.197
