Occitan	Gascon	probability
#>	ŋ_#>	1.0
<#	<#_a	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_h	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_a_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ʤ	<#_ʒ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈy	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
d	d	1.0
e_#>	e_#>	1.0
f	e_h	1.0
i	i	1.0
j_r	ð	1.0
j_s	j_ʃ	1.0
j_ɾ	j_r	1.0
j_ˈɛ	ˈe	1.0
k_#>	k_#>	1.0
k_ɔ	k_ɔ	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_b	m_b	1.0
n_t	n_t	1.0
n_ɔ	n_ɔ	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	t	1.0
t_ˈa	t_ˈa	1.0
u	u	1.0
u_ɾ	u_ɾ	1.0
v	w	1.0
w	w	1.0
w_#>	w_#>	1.0
w_s	w_s	1.0
w_t	w_t	1.0
w_ɾ	β	1.0
y	y	1.0
ð	ð	1.0
ð_ɔ	ð_ɔ	1.0
ŋ	ŋ	1.0
ɔ	a_#>	1.0
ɔ_#>	ɔ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɥ_ˈɛ	w_ˈe	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ	1.0
ɾ_e	e	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ʎ	ʎ	1.0
ʎ_ɔ	ʎ_ɔ	1.0
ʦ_#>	ʦ	1.0
ʧ	j_t	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈa_w	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_j	ˈe_j	1.0
ˈi	ˈi	1.0
ˈi_n	ˈi	1.0
ˈu_#>	ˈu_#>	1.0
ˈu_n	ˈu_n	1.0
ˈu_t	ˈu_t	1.0
ˈy	ˈy	1.0
ˈy_#>	ˈy_#>	1.0
ˈɛ_#>	ˈɛ_#>	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_r	ˈɛ_r	1.0
β	β	1.0
β_ɾ	β	1.0
e	e	0.552
n_#>	ŋ_#>	0.2
z	ð	0.2
ɾ	ɾ	0.732
e	ˈe	0.103
j	-	0.333
m_#>	m_i_#>	0.333
r	-	0.333
s	ʃ	0.273
ɾ	r	0.073
ʤ	ʤ	0.333
ˈe	ˈe	0.893
ˈu	ˈu	0.833
ʧ_#>	j_#>	0.4
ˈɛ	ˈɛ	0.684
l	ʎ	0.15
l	l	0.85
l_#>	t_#>	0.385
l_ɔ	ɾ_ɔ	0.25
l_ɔ	l_ɔ	0.75
n	-	0.385
n	n	0.615
ɥ	-	0.5
ɥ	w	0.5
ʤ	ʒ	0.5
ˈe_#>	ˈe_ŋ_#>	0.5
ˈe_#>	ˈe_#>	0.5
ˈi_#>	e_#>	0.25
ˈi_#>	ˈi_#>	0.75
ˈɔ	ˈe	0.105
ˈɔ	ˈa	0.105
e	-	0.276
l_#>	w_#>	0.346
ɾ	-	0.146
ʧ_#>	t_#>	0.6
ˈɛ	ˈe	0.316
j	j	0.667
m_#>	m_#>	0.667
r	r	0.667
s	s	0.727
ʤ	-	0.167
ˈe	ˈi	0.107
ˈu	ˈy	0.167
n_#>	n_#>	0.8
z	z	0.8
e	j_ˈe	0.069
l_#>	ʎ_#>	0.269
ˈa	ˈa	0.909
ˈɔ	ˈɔ	0.789
