Štokavian	Belarusian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ɲ	nʲ	1.0
ɡ_#>	x_#>	1.0
ɡ	ɣ	1.0
û	ˈo_w	1.0
s_#>	s_#>	1.0
r̩̂	ˈe_r	1.0
r̩̂ː	ˈo	1.0
r̂ː	ˈɵ_r	1.0
r	r	1.0
ǒ	a	1.0
ôː	ˈo	1.0
o_#>	a_#>	1.0
o	ˈo	1.0
m_j	mʲ	1.0
j_ěː	æ	1.0
j_êː	ˈe	1.0
îː	ˈɨ	1.0
iː	ɨ	1.0
ěː	a	1.0
eː	æ	1.0
b_#>	p_#>	1.0
ǎː_ʋ	a_v	1.0
â_ʋ	ˈo_v	1.0
â	ˈo	1.0
<#_x	<#_x	1.0
<#_t	<#_ʦʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#	<#_v	1.0
k	k	0.905
ô	ˈo	0.8
ê	ˈe	0.8
l	ɫ	0.765
n	n	0.692
m	m	0.692
ě	æ	0.667
b	b	0.667
ûː	ˈu	0.6
î	ˈi	0.6
i	-	0.556
s	s	0.55
z	zʲ	0.545
p	p	0.545
ʋ	vʲ	0.533
t	ʦʲ	0.517
a	ˈa	0.517
ʒ	ʐ	0.5
ʒ	ʂ	0.5
x	xʲ	0.5
x	x	0.5
j	-	0.5
êː	ˈæ	0.5
êː	ˈe	0.5
d	d	0.5
âː	ˈo	0.5
âː	a	0.5
t	t	0.483
z	z	0.455
p	pʲ	0.455
s	sʲ	0.45
ûː	ˈo_w	0.4
î	ˈɨ	0.4
ʋ	v	0.333
ě	a	0.333
b	bʲ	0.333
d	ʣʲ	0.318
n	nʲ	0.308
m	mʲ	0.308
j	ˈe	0.3
e	e	0.3
e	a	0.3
a	a	0.241
l	lʲ	0.235
i	ˈɨ	0.222
i	ˈi	0.222
ô	a	0.2
j	j	0.2
ê	ˈo	0.2
e	ˈæ	0.2
e	-	0.2
ʋ	w	0.133
a	-	0.103
k	kʲ_i	0.095
d	t	0.091
d	-	0.091
a	ˈo	0.069
a	e	0.069
