Teochew	Teochew	probability
⁵⁵	²⁴	1.0
⁵²	⁵³	1.0
⁴⁴	³³	1.0
⁴	⁴	1.0
ʨʰ	ʦʰ	1.0
ʣ	l	1.0
ʔ_⁴	³³	1.0
ʔ	ʔ	1.0
ɯ_ŋ	ŋ̍	1.0
ɯ	u	1.0
ɡ	ɡ	1.0
ŋ̍	ŋ̍	1.0
³⁵_#>	#>	1.0
³⁵	³³	1.0
³³	⁴⁴	1.0
²⁴	⁵⁵	1.0
²¹³	¹¹	1.0
w_e	e	1.0
ũ	w	1.0
u_ŋ	ŋ̍	1.0
u	u	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
õ	ɔ_ŋ	1.0
o_w	ɔ	1.0
o_j	w_e	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
h	h	1.0
ẽ	-	1.0
b	b	1.0
ã	ã	1.0
a_ŋ	ŋ	1.0
a_j	j̃	1.0
<#_n	<#	1.0
<#	<#_ɡ	1.0
²	³²	0.947
j	j	0.905
¹¹	³³	0.9
p	p	0.857
a	a	0.85
kʰ	kʰ	0.833
i	i	0.833
w	w	0.679
k̚	k̚	0.667
s	ɕ	0.6
ĩ	j	0.6
o	o	0.571
ʦʰ	ʦʰ	0.5
ʦ	ʨ	0.5
ʦ	ʦ	0.5
ŋ	ŋ	0.407
ŋ	n	0.407
s	s	0.4
ĩ	-	0.4
ʦʰ	ʨʰ	0.333
k̚	t̚	0.333
e	j_ɪ	0.286
e	e	0.286
e	-	0.238
o	ɔ	0.214
ʦʰ	-	0.167
kʰ	k	0.167
i	-	0.167
w	ɔ	0.143
w	-	0.143
p	-	0.143
o	-	0.143
e	o	0.143
ŋ	ŋ̍	0.111
¹¹	²²	0.1
a	-	0.1
j	e	0.095
ŋ	-	0.074
o	ɔ̃	0.071
²	⁵	0.053
