Bulgarian	Ukrainian	probability
b	b	1.0
d	d	1.0
j	t	1.0
lʲ	lʲ	1.0
m	m	1.0
vʲ	ʋʲ	1.0
x	x	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈi	ˈɪ	1.0
i	ɪ	0.111
k	k	0.611
o	ˈɔ	0.301
t	ʧ	0.081
ɐ	ʊ	0.051
ɐ	-	0.191
ɛ	-	0.211
ɫ	lʲ	0.191
ɫ	ɫ	0.61
ˈa	ɔ	0.071
ˈa	ˈɔ	0.091
ˈa	ˈɑ	0.411
ˈɔ	ˈi	0.581
ˈɤ	ˈɛ	0.291
t	t	0.532
ɐ	e	0.242
ɛ	ɐ	0.162
ʦ	ʦ	0.962
f	w	0.263
k	k_ɔ	0.163
l	lʲ	0.353
v	w	0.113
z	z	0.743
ɐ	ˈɔ	0.063
ɡ	ɦ	0.763
ˈɤ	-	0.203
ˈɤ	ˈu	0.223
n	n_e	0.314
p	p	0.674
r	r	0.924
t	d	0.104
t	tʲ	0.284
ɐ	ɐ	0.244
ɛ	ɛ	0.184
ˈɛ	ˈɛ	0.304
s	sʲ	0.325
s	s	0.675
ɛ	j_ˈɑ	0.055
ɫ	ɫ_e	0.155
ˈa	ˈi	0.335
ˈɛ	ˈɔ	0.175
ˈɤ	j_#>	0.065
k	ɦ	0.146
p	b	0.326
r	rʲ	0.076
v	ʋʲ	0.196
ɛ	ɔ	0.076
ˈɛ	ˈi	0.306
f	-	0.737
l	ɫ	0.647
n	n	0.397
z	zʲ	0.257
ɐ	ɔ	0.127
ɛ	i	0.187
ɡ	ɦ_ˈɔ	0.187
ˈɔ	ˈɔ	0.08
ˈɔ	ɔ	0.338
ˈɛ	ˈɑ	0.188
ˈɤ	ˈɔ	0.218
i	-	0.889
k	kʲ	0.059
n	nʲ	0.29
o	ɔ	0.699
v	ʋ	0.69
ˈa	ɐ	0.059
