Standard German	East Low German	probability
ˈʏ	ˈʏ	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɔʏ̯	ˈyː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaɪ̯_s	ˈɪ_t	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ʁ_ə	æ	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ə	-	1.0
ɐ	æ	1.0
z̥	s	1.0
z_ə	s	1.0
z	z	1.0
x_ə	k	1.0
tʰ	d	1.0
t_n	d_n	1.0
s_n	t_n	1.0
p͡f	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
j	j	1.0
h	h	1.0
d̥	d	1.0
b̥	f	1.0
b_n	m	1.0
b	b	1.0
ʁ	r	0.933
ˈɪ	ˈɪ	0.917
d	d	0.882
v	v	0.862
ˈuː	ˈaʊ̯	0.833
n	n	0.826
ˈa	ˈa	0.821
ˈʊ	ˈʊ	0.818
ŋ	ŋ	0.818
f	f	0.771
ˈaʊ̯	ˈuː	0.765
t	t	0.756
s	t	0.733
ˈiː	ˈae̯	0.727
ɡ	ɡ	0.7
ˈyː	ˈɔʏ̯	0.667
x	x	0.667
k	k	0.636
ˈoː	ˈaʊ̯	0.6
ʦ	tʰ	0.6
ɡ̊	ç	0.6
ˈɛ	ˈɛ	0.583
ç	ç	0.571
ˈaɪ̯	ˈae̯	0.519
ˈaː	ˈɒː	0.45
ˈɔ	ˈɔ	0.429
ç	k	0.429
ˈaɪ̯	ˈiː	0.407
ˈoː	ˈɒː	0.4
ʦ	t	0.4
ɡ̊	x	0.4
k	ç	0.364
ˈyː	ˈœː	0.333
ˈeː	ˈɛ	0.333
ˈeː	ˈeː	0.333
ˈeː	ˈae̯	0.333
x	k	0.333
ˈɔ	ˈʊ	0.286
ˈɔ	ˈuː	0.286
ˈiː	ˈiː	0.273
s	s	0.267
ˈɛ	ˈɛː	0.25
ˈaʊ̯	ˈaʊ̯	0.235
f	p	0.229
ɡ	j	0.2
ˈʊ	ˈɔ	0.182
ŋ	ŋ_k	0.182
ˈɛ	ˈʏ	0.167
ˈuː	ˈɔʏ̯	0.167
ˈaː	ˈa	0.15
v	w	0.138
n	-	0.13
d	ɾ	0.118
ˈa	ˈɒː	0.107
ˈaː	ˈɛː	0.1
ˈaː	ˈɛ	0.1
ˈaː	ˈoː	0.1
ˈaː	ˈaː	0.1
ɡ	-	0.1
t	ɾ	0.098
t	-	0.098
ˈɪ	ˈɛ	0.083
ˈaɪ̯	ˈɪ	0.074
ˈa	ˈɔ	0.071
ʁ	-	0.067
