Eastern Lombard	Logudorese	probability
u	o	1.0
w	-	1.0
ʋ	β	1.0
ˈy	ˈu	1.0
ˈɔ	ˈo	1.0
e	<#_i	0.151
f	β_u	0.101
j	ʣ_u	0.071
l	ʣ	0.1
l	l_u	0.11
l	ɖː	0.11
m	m	0.851
r	r_e	0.071
ŋ	m	0.741
ɲ	n_ʣ	0.21
ɲ	ɲː	0.721
ˈi	ˈe	0.061
ˈo	ˈa	0.081
ˈɛ	b_ˈe	0.071
b	-	0.132
e	<#_a	0.052
e	i	0.102
j	r	0.502
n	n	0.872
p	p_u	0.052
ɡ	ɡ	0.522
e	e	0.323
i	e	0.223
j	-	0.343
l	l	0.483
t	ð	0.183
ɡ	b	0.063
ˈa	ˈa	0.713
f	-	0.154
k	k	0.804
l	ɖː_u	0.104
o	u	0.284
s	k	0.134
t	t	0.464
z	ɡ	0.44
ʤ	-	0.794
ˈu	ˈu	0.204
d	-	0.085
e	-	0.185
j	i	0.085
k	ɣ_u	0.095
z	b	0.255
ɡ	ɣ	0.415
ʧ	t_e	0.185
ʧ	-	0.815
ˈa	ˈa_n	0.075
ˈɛ	ˈi	0.235
a	a	0.876
f	f	0.746
o	o	0.716
z	j	0.306
ʤ	r	0.206
ˈe	ˈe_n	0.136
ˈe	ˈi	0.166
ˈi	ˈi_r	0.066
ˈi	ˈi_n	0.096
ˈu	ˈo_n	0.236
ˈu	ˈo	0.56
ˈø	ˈu	0.306
ˈø	ˈo	0.496
ˈɛ	ˈe	0.586
d	ð	0.457
i	i	0.777
l	l_e	0.067
n	ŋ	0.107
r	-	0.077
r	r_u	0.137
a	e	0.058
b	b	0.868
d	d	0.458
m	m_e	0.098
p	p	0.948
r	r	0.68
s	ɣ_e	0.128
t	t_e	0.128
t	t_u	0.148
ˈa	ˈa_r	0.158
ˈi	e_r	0.088
ˈo	ˈu	0.38
ˈø	ˈi	0.198
e	u	0.099
s	s_k	0.069
s	s	0.499
ŋ	n	0.259
ɲ	nː	0.069
ˈe	b_ˈi	0.079
ˈe	ˈe	0.619
ˈi	ˈi	0.689
ˈo	ˈo	0.539
