Campidanese	Campidanese	probability
β_a	ẽ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈũ	1.0
ˈɔ_i	ˈøː_f	1.0
ˈu_n	ˈỹ	1.0
ˈu_i	ˈi	1.0
ˈo_u	ˈøː_f	1.0
ˈo_n	ˈũ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈi_k	ˈɛ_k	1.0
ˈa_ʃ	ˈa_s	1.0
ˈa_n	ˈã	1.0
ˈa_i_#>	ˈa_#>	1.0
ʤ_i	ʧ	1.0
ʒ_i	s	1.0
ʃ	s	1.0
ɾ_u	r	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɖː_u	l	1.0
ŋ_ɡ	k	1.0
ŋ	-	1.0
ð_u	t	1.0
ð_i_#>	#>	1.0
z_u	s	1.0
z	-	1.0
w	w	1.0
u_z_ŭ_#>	#>	1.0
t_u	t_e	1.0
t_a	t_a	1.0
r	r	1.0
p_ɾ	p	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
n_ʤ	ɲ	1.0
k_ɾ	ʧ	1.0
ĭ	-	1.0
i_n_i_#>	#>	1.0
f	f	1.0
e	e	1.0
b_ɾ	v	1.0
a_z_ă_#>	#>	1.0
a_l	a_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_v	1.0
u_#>	#>	0.962
s	s	0.952
k	k	0.946
i_#>	#>	0.932
m	m	0.906
l	l	0.882
a	a	0.869
t	t	0.852
d	d	0.786
ʧ	ʧ	0.778
ˈe	ˈɛ	0.733
n	n	0.682
ɣ_u	k	0.667
j	-	0.667
ɾ	r	0.64
ɭː	j	0.625
ɔ	u	0.6
b	b	0.577
ʤ	ʒ	0.556
u	-	0.556
β	v	0.5
β	-	0.5
ʦ	s	0.5
ʦ	-	0.5
ʒ	ʒ	0.5
ʒ	-	0.5
ɛ	e	0.5
ɛ	-	0.5
ˈa	ˈɑː	0.488
ð	d	0.455
ˈo	ˈɔ	0.438
ɣ	ɡ	0.429
b	v	0.423
ɔ	-	0.4
ˈɛ	ˈɛ	0.375
ˈɛ	ˈeː	0.375
ˈu	ˈyː	0.375
ɭː	l	0.375
ˈa	ˈa	0.372
ð	t	0.364
i	e	0.344
ˈi	ˈiː	0.333
ɣ_u	ʧ	0.333
j	j	0.333
n	-	0.318
ɣ	ʤ	0.286
ɣ	-	0.286
i	-	0.281
ˈe	-	0.267
#>	t_#>	0.25
#>	a_#>	0.25
ˈɔ	ˈɔ	0.238
ʧ	l_s	0.222
ʤ	ʤ	0.222
ʤ	-	0.222
ɾ	-	0.22
ˈu	ˈu	0.219
ˈu	-	0.219
d	-	0.214
ˈi	ˈeː	0.2
ˈɔ	ˈøː	0.19
ˈɔ	ˈuː	0.19
ˈu	ˈuː	0.188
ˈo	ˈøː	0.188
ˈo	ˈu	0.188
ˈo	-	0.188
ð	-	0.182
ˈɛ	ˈe	0.167
ˈi	-	0.167
u	u	0.167
u	l	0.167
#>	s_#>	0.167
#>	r_#>	0.167
#>	l_#>	0.167
ˈɔ	ˈu	0.143
ˈi	ˈi	0.133
a	-	0.131
i	i	0.125
i	d_e	0.125
l	-	0.118
u	n	0.111
ˈi	ˈɛ	0.1
ɾ	j	0.1
ˈɔ	ˈyː	0.095
ˈɔ	-	0.095
m	-	0.094
ˈa	-	0.093
ˈɛ	ˈɛ_r	0.083
t	ʧ	0.074
t	-	0.074
i_#>	f_#>	0.068
ˈi	ˈe	0.067
i	ˈɛ	0.062
i	ˈi	0.062
k	-	0.054
