Saterland Frisian	Old Norse	probability
a	ˈoː	0.519
a	ɑ	0.481
b	b	0.908
d	ð	0.407
d	d	0.322
d	θ	0.099
d	r	0.073
d	r_ð	0.073
f	f	0.89
f	v	0.078
h	h	0.861
h	ç	0.139
i	ɑː	1.0
j	-	0.545
j	j	0.257
j	ˈu	0.086
j	ˈiː	0.056
k	k	0.417
k	c	0.296
k	kʰ	0.154
l	l	0.808
l	lː	0.131
m	m	0.855
m	-	0.088
n	n	0.698
n	nː	0.194
n	-	0.097
p	p	0.542
p	pː	0.212
p	-	0.123
p	v	0.122
r	r	0.851
s	s	0.909
t	t	0.565
t	θ	0.146
t	tʰ	0.088
t	tː	0.082
t	r	0.056
v	v	0.635
v	-	0.203
v	x	0.111
w	mː	0.508
w	v	0.492
x	tː	0.358
x	ɣ	0.224
x	ɟː	0.09
x	ŋ_ɡ	0.088
x	v	0.085
x	ɡː	0.059
x	-	0.057
z	s	0.469
z	r	0.409
z	v	0.122
ŋ	ŋ	1.0
ə	ɑ	0.433
ə	-	0.35
ə	i	0.097
ə	a	0.088
ɡ	ɡ	1.0
ɣ	ɡ	0.427
ɣ	ɟ	0.233
ɣ	ɣ	0.18
ɣ	-	0.069
ɣ	ʝː	0.059
ɪ	-	0.55
ɪ	u	0.326
ɪ	ɑ	0.124
ɫ	lː	1.0
ˈa	ˈøː	0.373
ˈa	ˈu	0.307
ˈa	ˈe	0.152
ˈa	ˈɛ	0.086
ˈa	ˈɑː	0.081
ˈaː	ˈɛ	0.42
ˈaː	ˈɑ	0.366
ˈaː	ˈɛː	0.116
ˈaː	ˈɛi̯	0.098
ˈaːi̯	ˈe	0.503
ˈaːi̯	ˈɑ	0.497
ˈaːu̯	ˈoː	0.698
ˈaːu̯	ˈɔ	0.302
ˈeː	ˈɛi̯	0.338
ˈeː	ˈøy̯	0.24
ˈeː	-	0.13
ˈeː	ˈɛː	0.078
ˈeː	ˈɛ	0.057
ˈeːu̯	ˈe	1.0
ˈi	ˈiː	0.336
ˈi	ˈeː	0.322
ˈi	ˈe	0.242
ˈi	j	0.07
ˈiː	ˈi	0.372
ˈiː	ˈɑ	0.183
ˈiː	ˈɑː	0.174
ˈiː	ˈyː	0.129
ˈiː	ˈiː	0.076
ˈiːu̯	ˈi	1.0
ˈoː	ˈɑu̯	0.162
ˈoː	ˈɑː	0.157
ˈoː	ˈɑ	0.152
ˈoː	ˈuː	0.138
ˈoː	ˈoː	0.127
ˈoː	ˈøy̯	0.067
ˈoː	-	0.054
ˈoːu̯	ˈɑː	0.228
ˈoːu̯	ˈo	0.168
ˈoːu̯	ˈoː	0.157
ˈoːu̯	ˈɔː	0.113
ˈoːu̯	ˈɑ	0.104
ˈoːu̯	ˈa	0.077
ˈoːu̯	ˈy	0.067
ˈoːu̯	ˈɔ	0.055
ˈu	ˈyː	0.6
ˈu	ˈy	0.316
ˈu	ˈu	0.085
ˈuː	ˈuː	0.284
ˈuː	ˈu	0.234
ˈuː	ˈo	0.166
ˈuː	ˈoː	0.102
ˈuː	ˈyː	0.083
ˈyː	ˈɛ	0.528
ˈyː	ˈuː	0.236
ˈyː	ˈyː	0.236
ˈøː	ˈuː	1.0
ˈœː	ˈo	1.0
ˈɔ	ˈu	0.429
ˈɔ	ˈa	0.182
ˈɔ	ˈɑ	0.145
ˈɔ	ˈyː	0.125
ˈɔ	ˈøː	0.077
ˈɔː	ˈɑ	0.282
ˈɔː	ˈɔ	0.254
ˈɔː	ˈo	0.178
ˈɔː	ˈe	0.121
ˈɔː	ˈɑː	0.073
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɑ	0.508
ˈɛ	ˈe	0.209
ˈɛ	ˈɑː	0.105
ˈɛ	w	0.101
ˈɛ	ˈɛi̯	0.078
ˈɛɪ̯	ˈøː	0.346
ˈɛɪ̯	ˈɑ	0.159
ˈɛɪ̯	ˈɑː	0.099
ˈɛɪ̯	ˈuː	0.055
ˈɛː	ˈɑ	0.722
ˈɛː	ˈy	0.17
ˈɛː	ˈu	0.108
ˈɪ	ˈi	0.643
ˈɪ	ˈu	0.117
ˈɪ	ˈe	0.077
ˈɪ	ˈiː	0.073
ˈɪ	ˈeː	0.06
ˈʊ	ˈu	0.502
ˈʊ	ˈeː	0.188
ˈʊ	ˈo	0.119
ˈʊ	ˈɑ	0.064
ˈʊ	ˈoː	0.05
ˈʊ	ˈɒu̯	0.05
