Eastphalian	Insular North Frisian	probability
ˈɛə̯	ˈeː	1.0
ˈɔ_l	l	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	ˈaː	1.0
ˈaɪ̯	ˈʊ	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ_ə	ç	1.0
ɡ	-	1.0
ɒː	aɪ̯	1.0
ŋ	ŋ	1.0
z	s	1.0
x	x	1.0
w	v	1.0
v̥	f	1.0
t_n	t	1.0
s_w	s	1.0
s	s	1.0
p	p	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_ə	lʲ	1.0
k_ə	k	1.0
h	h	1.0
f	f	1.0
b_m	p	1.0
b	b	1.0
l	l	0.983
r	r	0.926
t	t	0.879
v	v	0.873
ə	-	0.866
n	n	0.84
ˈaʊ̯	-	0.799
ʃ	s_k	0.799
d̥	ɾ	0.792
ˈɔʏ̯	-	0.732
ɣ	ɡ	0.687
ˈuː	ˈʏ	0.624
ˈiː	ˈə	0.612
j	-	0.611
ˈoː	-	0.6
ˈœ	ˈɛ	0.574
ç	ç	0.571
ˈeo̯	ˈoː	0.527
ɐ	ɐ	0.518
k	k	0.513
ˈʊ	ˈʊ	0.512
k	kʰ	0.487
d	d	0.486
ˈeo̯	ˈua̯	0.473
ˈɛː	-	0.459
ˈa	ˈa	0.453
ç	-	0.429
ˈœ	-	0.426
ˈeː	-	0.41
ˈɛɪ̯	ˈiː	0.401
j	ɡ	0.389
ˈɪ	ˈə	0.385
ˈʏ	ˈɛ	0.379
ˈɛ	-	0.374
ˈɛɪ̯	-	0.357
ˈɒː	ˈɔː	0.322
ɣ	ç	0.313
ˈʏ	ˈœ	0.31
ˈʏ	-	0.31
ˈɔ	ˈœ	0.31
d	tʰ	0.305
ˈeː	ˈiː	0.295
ˈeː	ˈeː	0.295
ˈɪ	ˈɛ	0.286
ˈiː	ˈiː	0.277
ˈɛ	ˈɛ	0.276
ˈɛː	ˈɛ	0.271
ˈɛː	ˈiː	0.271
ˈɔʏ̯	ˈɛ	0.268
ˈʊ	ˈʏ	0.263
ˈoː	ˈua̯	0.241
ˈɔ	ˈɔː	0.237
ˈɔ	-	0.237
ˈɪ	ˈʊ	0.23
ˈʊ	-	0.225
ˈuː	ˈyː	0.222
ˈɔ	ˈɔ	0.215
ˈɒː	ˈuː	0.213
d̥	t	0.208
ˈɛ	ˈeː	0.204
ˈaʊ̯	ˈœ	0.201
ʃ	s	0.201
ˈɒː	ˈoː	0.199
ɐ	ʁ̥	0.173
d	-	0.172
ɐ	r_ə	0.168
ˈɒː	-	0.161
ˈoː	ˈuː	0.16
ˈuː	-	0.154
ˈɛɪ̯	ˈeː	0.151
ˈɛ	ˈɔ	0.146
ɐ	ð_ɐ	0.141
ˈa	ˈʏ	0.125
ˈa	ˈʊ	0.124
ˈa	ˈœ	0.124
t	d	0.121
ˈiː	ˈʏ	0.111
ˈa	-	0.11
ˈɒː	ˈiː	0.106
ˈɪ	-	0.099
ˈɛɪ̯	j	0.092
ə	ç	0.077
r	-	0.074
n	nʲ	0.073
v	ə_f	0.067
ˈa	ˈua̯	0.064
v	-	0.059
ə	k	0.057
n	-	0.053
