English	Old English	probability
b	b	0.967
d	d	0.942
f	f	0.976
h	h	1.0
j	j	0.843
j	ˈiːy̯	0.157
k	k	0.769
k	kː	0.128
k	ʧ	0.103
kʰ	k	0.781
kʰ	ʧ	0.219
l	l	0.95
m	m	0.84
m	r_m	0.084
m	mː	0.053
n	n	0.878
n	nː	0.088
p	p	0.903
p	pː	0.097
pʰ	p	1.0
s	s	1.0
t	t	0.664
t	ç_t	0.158
t	x_t	0.12
tʰ	t	0.895
tʰ	b	0.105
v	v	0.601
v	f	0.322
v	bː	0.077
w	w	0.844
w	ʍ	0.137
z	z	1.0
ð	d	0.497
ð	ð	0.446
ð	θ	0.057
ŋ	ŋ	1.0
ə	r	0.326
ə	e	0.3
ə	o	0.24
ə	r_e	0.095
əʊ̯	-	0.63
əʊ̯	i	0.185
əʊ̯	u	0.185
ɜː	ˈeːo̯	1.0
ɡ	ɡ	0.982
ɪ	i	0.59
ɪ	o	0.14
ɪ	ˈe	0.108
ɪ	iː	0.093
ɪ	e	0.069
ɫ	ɫ	0.514
ɫ	l	0.449
ɹ	r	0.804
ɹ	-	0.089
ɹ	r̥	0.082
ʃ	ʃ	0.865
ʃ	ʃː	0.135
ʤ	ʤ	1.0
ʧ	ʧ	0.944
ʧ	ʧː	0.056
ˈaɪ̯	ˈi	0.398
ˈaɪ̯	ˈiː	0.318
ˈaɪ̯	ˈyː	0.106
ˈaɪ̯	ˈeːo̯	0.091
ˈaɪ̯	ˈæːɑ̯	0.077
ˈaʊ̯	ˈuː	0.863
ˈaʊ̯	ˈu	0.137
ˈe	ˈe	0.337
ˈe	ˈæːɑ̯	0.163
ˈe	ˈeːo̯	0.114
ˈe	ˈæː	0.085
ˈe	ˈɛ	0.074
ˈe	ˈeː	0.071
ˈe	ˈeo̯	0.068
ˈe	ˈiːy̯	0.051
ˈeɪ̯	ˈɑ	0.325
ˈeɪ̯	ˈæ	0.311
ˈeɪ̯	ˈe	0.102
ˈeɪ̯	ˈæːɑ̯	0.094
ˈeɪ̯	ˈe_j	0.088
ˈeɪ̯	ˈæɑ̯	0.08
ˈiː	ˈeː	0.225
ˈiː	ˈeːo̯	0.223
ˈiː	ˈæːɑ̯	0.141
ˈiː	ˈiːy̯	0.139
ˈiː	ˈæː	0.104
ˈiː	ˈe	0.066
ˈuː	ˈoː	0.569
ˈuː	ˈeː	0.197
ˈuː	ˈeːo̯	0.104
ˈuː	w	0.096
ˈæ	ˈɑ	0.731
ˈæ	ˈæ	0.168
ˈæ	ˈeo̯	0.102
ˈɐ	ˈu	0.657
ˈɐ	ˈoː	0.133
ˈɐ	ˈuː	0.091
ˈɐ	ˈɑː	0.073
ˈɑː	ˈæɑ̯	0.431
ˈɑː	ˈæ	0.368
ˈɑː	ˈeo̯	0.106
ˈɑː	ˈiy̯	0.054
ˈɒ	ˈɑ	0.314
ˈɒ	ˈo	0.193
ˈɒ	ˈæ	0.164
ˈɒ	ˈæɑ̯	0.164
ˈɒ	ˈɑː	0.164
ˈɔː	ˈo	0.595
ˈɔː	ˈæɑ̯	0.265
ˈɔː	ˈeo̯	0.069
ˈəʊ̯	ˈɑː	0.745
ˈəʊ̯	ˈo	0.167
ˈəʊ̯	ˈæɑ̯	0.088
ˈɛ	ˈɑ	0.366
ˈɛ	ˈɛ	0.366
ˈɛ	ˈæː	0.199
ˈɛ	ˈe	0.069
ˈɜː	ˈy	0.473
ˈɜː	ˈeo̯	0.252
ˈɜː	ˈo	0.146
ˈɜː	ˈi	0.129
ˈɪ	ˈi	0.544
ˈɪ	ˈy	0.166
ˈɪ	ˈæːɑ̯	0.069
ˈɪ	ˈeːo̯	0.051
ˈʊ	ˈu	0.575
ˈʊ	ˈoː	0.425
θ	θ	0.968
