Bokmål Norwegian	Old West Norse	probability
ˈʉ	ˈu	1.0
ˈœʏ̯	ˈøy̯	1.0
ˈæ	-	1.0
ʈː	r_t	1.0
ɳ	r_n	1.0
ŋː	ŋ	1.0
ŋ	ɡ	1.0
ç	cʰ	1.0
t	t	1.0
s_l	s_l	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ə	n_a	1.0
mː	m	1.0
m	m	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.975
ʋ	v	0.92
d	d	0.856
ˈoː	ˈɑː	0.842
k	k	0.805
ˈæɪ̯	ˈɛi̯	0.795
ɾ	r	0.772
l	l	0.759
ˈɪ	ˈi	0.758
ˈɑ	ˈɑ	0.738
ˈʉː	ˈuː	0.693
ɡː	ɡː	0.687
ˈæː	-	0.653
ˈiː	ˈiː	0.639
kː	kː	0.612
tʰ	θ	0.606
tː	tː	0.555
ˈʏ	ˈy	0.547
ˈɑː	ˈɑ	0.539
ɡ	ɣ	0.539
n	n	0.537
ʂ	s	0.529
nː	nː	0.517
ə	ɑ	0.511
ˈʊ	ˈu	0.5
ˈʊ	ˈo	0.5
ˈuː	ˈoː	0.48
j	j	0.479
ʂ	s_c	0.471
ɡ	ɡ	0.461
ˈyː	ˈyː	0.455
tː	t	0.445
ˈœ	-	0.444
tʰ	tʰ	0.394
nː	n_d	0.393
lː	l	0.39
kː	cː	0.388
ə_ɾ	r̥	0.375
ə_ɾ	i_r̥	0.375
ˈæː	ˈe	0.347
ɡː	ɟː	0.313
j	-	0.286
lː	lː	0.285
ˈeː	ˈeː	0.281
ˈyː	j_ˈuː	0.273
ˈyː	j_ˈoː	0.273
ˈiː	-	0.271
ˈɔ	ˈɔ	0.268
ˈʏ	ˈu	0.266
ˈɑː	ˈɑ_ð	0.264
ˈɔ	ˈu	0.263
ˈøː	ˈɑu̯	0.25
ˈøː	ˈøː	0.25
ə_ɾ	ɡ_r̥	0.25
ˈœ	ˈøː	0.246
ˈɔ	ˈo	0.237
j	ç	0.235
ˈuː	ˈo	0.233
ˈɔ	-	0.232
ˈuː	-	0.23
ˈɛ	ˈe	0.226
ˈeː	-	0.219
n	nː	0.219
ˈeː	ˈɛi̯	0.211
ə	i	0.206
ˈœ	ˈo	0.205
ˈæɪ̯	-	0.205
ˈɑː	-	0.197
ˈɛ	ˈɛ	0.196
k	c	0.195
ˈøː	ˈøy̯	0.189
ˈʏ	-	0.188
lː	l_d	0.187
ˈɛ	ˈɛi̯	0.165
n	-	0.165
ˈɛ	ˈɑ	0.164
ˈoː	-	0.158
ˈʉː	-	0.155
ˈʉː	ˈu	0.151
ˈɑ	-	0.151
ˈeː	ˈi	0.147
d	-	0.144
ˈɪ	ˈe	0.143
ˈeː	j	0.141
lː	l_v	0.138
l	lː	0.126
ˈɛ	-	0.115
l	l̥	0.115
ˈɑ	ˈɔ	0.111
ɾ	r̥ː	0.111
ˈœ	ˈy	0.105
ˈøː	ˈɛː	0.104
ˈøː	ˈɒu̯	0.104
ˈøː	ˈɑu̯_ð	0.104
ˈɪ	-	0.099
ˈiː	ˈi	0.09
nː	n	0.09
ˈɛ	ˈɛː	0.083
ə	a	0.082
ʋ	x_w	0.08
n	n̥	0.078
ɾ	r̥	0.075
ə	-	0.068
ˈuː	ˈɔː	0.057
ˈɛ	ˈeː	0.052
