Limburgish	Middle English	probability
ˈʏː	ˈu	1.0
ˈʏ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈɔu̯	ə	1.0
ˈœi̯	ˈeː	1.0
ˈyː	-	1.0
ˈu	ˈɛː	1.0
ˈeː_ʀ	r	1.0
ˈeː_ɣ	ˈiː_ə	1.0
ˈeː_v	ˈi_v	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɦ	h	1.0
ɡ	-	1.0
ə_ɣ̊	iː	1.0
z̥	z	1.0
z	s	1.0
w	ˈoː_l	1.0
v̥	v	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
l_ə	ɫ	1.0
j_ə	d_ə	1.0
i	eː	1.0
d̥	d	1.0
b	b	1.0
β	w	0.884
t	t	0.861
ʀ	r	0.846
ŋ	ŋ	0.833
v	f	0.822
ˈuː	ˈuː	0.772
d	θ	0.759
ʀ_ə	r	0.758
l	l	0.757
ˈiː	ˈiː	0.743
ˈɪː	ˈi	0.726
n	n	0.687
k	k	0.684
ˈɛː	ˈɔː	0.68
ˈɒː	ˈɛː	0.609
ˈæː	ˈɛ	0.608
ˈœ	ˈi	0.6
ˈæ	ˈa	0.588
ˈøː	ˈeː	0.549
ˈɪ	ˈɛ	0.531
ˈi	-	0.526
x	ç_t	0.523
ɣ	ɡ	0.514
ˈɑ	ˈa	0.511
ˈɑː	ˈɔː	0.491
s	s	0.472
j	-	0.456
ˈøː	-	0.451
ˈɔː	ˈɛː	0.447
ˈʊː	ˈu	0.421
ˈæ	ˈɛ	0.412
ˈɔ	ˈu	0.407
ə	ə	0.406
ˈɛ	ˈi	0.404
ˈœ	-	0.4
ˈæː	ˈa	0.392
ə	ə_n	0.388
ɣ̊	ə	0.383
ˈoː	ˈuː	0.373
ɣ̊	x	0.362
j	d_ə	0.356
ˈɔ	ˈɔ	0.354
ˈoː	ˈu	0.353
ˈɑː	ˈoː	0.327
ˈaː	ˈa	0.319
ˈaː	-	0.319
ɣ	-	0.302
ˈɛ	ˈiː	0.298
ˈɛ	-	0.298
ˈɑ	ˈɛ	0.287
ˈeː	ˈɛː	0.286
ˈɔː	-	0.282
s	ʃ	0.28
ˈoː	ˈoː	0.275
ˈɪː	ˈiː	0.274
ˈɔː	ˈu	0.271
ˈiː	ˈeː	0.257
ɣ̊	ˈæi̯	0.255
ˈeː	ˈɛ	0.251
l	ɫ	0.243
ʀ_ə	r_n	0.242
d	d	0.241
ˈɔ	-	0.24
ˈɪ	ˈiː	0.234
ˈɪ	ˈi	0.234
ˈaː	ˈaː	0.234
k	ʧ	0.229
ˈuː	-	0.228
ˈɒː	ˈoː	0.222
ˈɛː	ˈi	0.21
x	ˈiː	0.202
ˈeː	ˈeː	0.196
ɣ	j	0.184
ˈɑː	-	0.182
v	v	0.178
ˈʊː	-	0.177
ˈʊː	ˈɔ	0.174
ˈɒː	-	0.169
ˈi	ˈeː	0.167
ŋ	n_ɡ	0.167
ˈʊː	ˈoː	0.164
n	-	0.164
s	s_t	0.162
ˈi	ˈɔu̯	0.158
ˈi	ˈɛː	0.149
n	n_ə	0.149
x	t	0.143
ˈɑ	ˈi_ç	0.14
ə	n	0.139
t	t_ə	0.139
x	x	0.131
ˈaː	ˈa_ɫ	0.129
β	ʍ	0.116
ˈeː	-	0.114
ˈɛː	ˈeː	0.109
ˈeː	ˈiː	0.102
j	d	0.097
j	j	0.091
k	ʤ	0.087
s	k_s	0.085
ʀ	ə	0.07
ˈʊː	ˈɔː	0.064
ʀ	ə_r	0.062
ˈɑ	ˈau̯	0.061
ˈeː	ˈi	0.052
