West Frisian	West Flemish	probability
b	b	0.954
d	d	1.0
f	v	0.855
f	f	0.145
h	z	0.472
h	ɦ	0.472
h	k	0.057
j	-	0.925
j	j	0.05
k	k	0.713
k	h	0.287
l	l	0.891
l	w	0.087
m	m	0.965
n	n	0.798
n	n_t	0.091
p	p	1.0
r	ɾ	0.976
s	s	0.55
s	z	0.35
s	ʃ	0.085
t	t	0.86
t	d	0.066
v	ʋ	0.625
v	v	0.292
v	-	0.083
z	s	0.409
z	ɦ	0.386
z	z	0.205
ŋ	ŋ	0.924
ŋ	-	0.076
ɕ	z	1.0
ə	-	0.428
ə	ə	0.309
ə	n	0.219
ɡ	ɦ	1.0
ɣ	ɦ	1.0
ɪ	ɪ	0.936
ɪ	m	0.064
ʋ	ʋ	1.0
ʦ	k	0.465
ʦ	d	0.267
ʦ	t	0.267
ˈa	ˈɑ	0.721
ˈa	ˈɒː	0.174
ˈa	ˈæ	0.066
ˈaː	ˈɒː	0.31
ˈaː	ˈɑ	0.303
ˈaː	ˈeː	0.217
ˈaː	ˈɛː	0.119
ˈeː	ˈoː	0.441
ˈeː	ˈiə̯	0.383
ˈeː	ˈeː	0.144
ˈi	ˈi	0.553
ˈi	ˈɪ	0.299
ˈi	ˈɛ	0.103
ˈiə̯	ˈɛː	0.286
ˈiə̯	ˈɒː	0.276
ˈiə̯	ˈiə̯	0.198
ˈiə̯	ˈeː	0.129
ˈiə̯	ˈuə̯	0.111
ˈiː	ˈi	0.323
ˈiː	ˈɪ	0.218
ˈiː	ˈɑ	0.134
ˈiː	ˈɛː	0.114
ˈiː	ˈɒː	0.097
ˈiː	ˈyː	0.072
ˈoə̯	ˈoː	0.465
ˈoə̯	ˈɒː	0.168
ˈoə̯	ˈøː	0.138
ˈoə̯	ˈɔ	0.122
ˈoə̯	ˈoː_ɾ	0.059
ˈoː	ˈuə̯	1.0
ˈu	ˈu	0.693
ˈu	ˈøː	0.307
ˈuə̯	ˈuə̯	0.738
ˈuə̯	ˈoː	0.197
ˈuə̯	ˈɑ	0.065
ˈuː	ˈyː	0.448
ˈuː	ˈoː	0.292
ˈuː	ˈu	0.26
ˈy	ˈɛː	1.0
ˈyː	ˈyː	1.0
ˈø	ˈœ	0.661
ˈø	ˈɒː	0.339
ˈøə̯	ˈiə̯	1.0
ˈɔ	ˈœ	0.262
ˈɔ	ˈu	0.238
ˈɔ	ˈɔ	0.201
ˈɔ	ˈæ	0.122
ˈɔ	ˈɪ	0.093
ˈɔ	ˈeː	0.083
ˈɔu̯	ˈu	0.871
ˈɔu̯	ɾ	0.129
ˈɔː	ˈɑ	0.476
ˈɔː	ˈeː	0.27
ˈɔː	ˈu	0.254
ˈɛ	ˈæ	0.817
ˈɛ	ˈi	0.082
ˈɛ	ˈeː	0.061
ˈɛi̯	ˈiə̯	0.366
ˈɛi̯	j	0.123
ˈɛi̯	ˈɒː	0.123
ˈɛi̯	ˈɛ	0.123
ˈɛi̯	ˈeː	0.121
ˈɛi̯	ˈɑ	0.072
ˈɛi̯	ˈæ	0.072
ˈɛː	ˈɑ	0.385
ˈɛː	ˈɒː	0.292
ˈɛː	ˈœ	0.197
ˈɛː	ˈeː	0.126
ˈɪ	ˈɪ	0.444
ˈɪ	ˈoː	0.182
ˈɪ	ˈɛ	0.151
ˈɪ	ˈæ	0.075
ˈɪ	ˈɑ	0.052
ˈɪə̯	ˈoː	0.607
ˈɪə̯	ˈiə̯	0.264
ˈɪə̯	ˈɛː	0.056
ˈɵ	ˈuə̯	1.0
χ	h	0.663
χ	ɦ	0.248
