North Frisian	West Flemish	probability
#>	#>	0.845
#>	ə_#>	0.115
<#	<#	0.994
<#_h	<#	1.0
<#_j	<#	0.512
b	b	0.952
b	-	0.057
d	d	0.439
d	t	0.358
d	-	0.165
dʲ	t	1.0
f	v	0.869
f	f	0.121
h	z	0.392
h	ɦ	0.392
h	k	0.136
i	ə	0.367
i	-	0.216
i	m	0.211
i	ɪ	0.101
j	ɦ	0.526
j	ˈiə̯	0.123
j	j	0.081
j	ˈɒː	0.081
j	l	0.075
j	-	0.074
k	k	0.875
k	h	0.083
l	l	0.825
l	w	0.09
l	-	0.078
lʲ	t	0.742
lʲ	l	0.116
lʲ	ɾ	0.074
m	m	1.0
n	n	0.79
n	n_t	0.074
n	-	0.063
n	ɦ_n	0.063
n_#>	#>	1.0
nʲ	n	0.635
nʲ	n_t	0.246
p	p	1.0
r	ɾ	1.0
r_#>	#>	1.0
s	s	0.518
s	z	0.377
s	t	0.067
t	t	0.858
t	d	0.117
tʲ	t	0.833
tʲ	d	0.116
v	ʋ	0.688
v	v	0.192
v	p	0.053
v_ə	v	1.0
w	ə	0.784
w	ɦ	0.136
x	h	1.0
z	t	0.422
z	s	0.285
z	z	0.105
ŋ	ŋ	0.88
ŋ	n	0.109
ŋ_#>	#>	1.0
ŋ_ə	ŋ	1.0
ə	n	0.423
ə	ə	0.317
ə	-	0.257
ə_#>	#>	1.0
ɡ	ɦ	0.887
ɡ	-	0.112
ʃ	s	0.376
ʃ	ʃ	0.331
ʃ	k	0.202
ʃ	z	0.069
ˈa	ˈæ	0.268
ˈa	ˈɛ	0.248
ˈa	-	0.183
ˈa	ˈʏ	0.105
ˈa	ˈɛː	0.082
ˈa	ˈɪ	0.068
ˈa	ˈɑ	0.052
ˈai̯	ˈɛː	0.401
ˈai̯	ˈɪ	0.271
ˈai̯	ˈiə̯	0.121
ˈaː	ˈøː	1.0
ˈeː	ˈɒː	0.25
ˈeː	ˈɛ	0.217
ˈeː	ˈæ	0.143
ˈeː	ˈɔ	0.143
ˈeː	ˈeː	0.082
ˈeː	ˈɪ	0.08
ˈeː	ˈɑ	0.062
ˈi	ˈi	0.446
ˈi	ˈɛ	0.129
ˈi	ˈɪ	0.129
ˈi	ˈeː	0.098
ˈi	-	0.074
ˈi	ə	0.064
ˈi	ˈoː	0.054
ˈiː	ˈiə̯	0.457
ˈiː	ˈɛː	0.229
ˈiː	ˈoː	0.148
ˈiː	ˈeː	0.061
ˈiː	j	0.056
ˈiː	ˈœ	0.051
ˈiː_ə	ˈiə̯	1.0
ˈuː	ˈoː	0.675
ˈuː	ˈɑ	0.186
ˈuː	ˈyː	0.078
ˈuː	ˈɔ	0.064
ˈyː	ˈyː	0.352
ˈyː	ˈoː	0.213
ˈyː	ˈu	0.213
ˈyː	ˈuə̯	0.077
ˈyː	ˈɒː	0.056
ˈyː	ˈeː	0.056
ˈyː	ˈiə̯	0.056
ˈøː	ˈeː	0.197
ˈøː	ˈyː	0.181
ˈøː	-	0.133
ˈøː	ˈoː	0.116
ˈøː	ˈøː	0.116
ˈœ	ˈuə̯	0.394
ˈœ	ˈɑ	0.172
ˈœ	ˈu	0.157
ˈœ	ˈæ	0.09
ˈœ	ˈɛː	0.09
ˈœ	ˈɪ	0.059
ˈɒ	ˈɑ	0.569
ˈɒ	ˈu	0.165
ˈɒ	ˈɛː	0.165
ˈɒ	ˈœ	0.082
ˈɒː	ˈɑ	0.639
ˈɒː	ˈɒː	0.329
ˈɔ	ˈoː	0.504
ˈɔ	ˈɔ	0.476
ˈɔi̯	ˈɛː	0.263
ˈɔu̯	ˈoː	0.312
ˈɔu̯	ˈɑ	0.206
ˈɔu̯	ˈuə̯	0.146
ˈɔu̯	ɾ	0.131
ˈɔu̯	ˈɒː	0.096
ˈɔː	ˈɔ	0.393
ˈɔː	ˈeː	0.117
ˈɔː	ˈæ	0.117
ˈɔː	ˈøː	0.117
ˈɔː	ˈɒː	0.117
ˈɔː	ˈɑ	0.088
ˈɔː	ˈoː	0.056
ˈɛ	ˈɪ	0.415
ˈɛ	ˈuə̯	0.323
ˈɛ	ˈæ	0.055
ˈɛi̯	ˈɒː	0.393
ˈɛi̯	ˈuə̯	0.203
ˈɛi̯	ˈɑ	0.177
ˈɛi̯	ˈæ	0.113
ˈɛi̯	ˈiə̯	0.08
ˈɛː	ˈeː	0.447
ˈɛː	ˈɒː	0.412
ˈɛː	ˈɛː	0.118
ˈʊ	ˈu	0.269
ˈʊ	ˈœ	0.199
ˈʊ	ˈæ	0.195
ˈʊ	ˈɑ	0.148
ˈʊ	ˈiə̯	0.076
ˈʊ	ˈɪ	0.061
ˈʊ	ˈɔ	0.051
ˈʏ	ˈœ	0.297
ˈʏ	ˈɔ	0.297
ˈʏ	ˈiə̯	0.19
ˈʏ	ˈyː	0.121
