Macedonian	Bulgarian	probability
<#	<#_x	1.0
<#_d	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɫ	<#_ɫ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʣ	<#_z	1.0
<#_ʧ	<#_ʧ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈu	<#_u	1.0
a	ɐ	1.0
b	b	1.0
d	d	1.0
f	x	1.0
f_#>	f	1.0
k_#>	k_#>	1.0
l_ˈɛ	lʲ_ˈa	1.0
n_#>	n_#>	1.0
o	ɐ	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
r_ˈa	r_ˈa	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
u_m	ɛ_m	1.0
z	z	1.0
ɡ	ɡ	1.0
ɫ	ɫ	1.0
ɫ_#>	ɫ_#>	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ˈo_r	o_r	1.0
ˈo_ɫ	ˈɤ_ɫ	1.0
ˈu	ˈu	1.0
ˈɛ_l	ɛ_l	1.0
ˈɛ_s	ˈa_s	1.0
ˈɛ_z	ˈɛ_z	1.0
ˈɛ_ɫ	ˈa_ɫ	1.0
ɛ_#>	ɐ	0.571
ˈa	ɐ	0.2
ˈi	i	0.182
ˈr̩	ɐ_r	0.222
a_#>	ɐ_#>	0.3
k	k_ɐ	0.333
m	mʲ	0.333
o_#>	o_#>	0.583
ɛ	ɛ	0.643
ˈa	ˈɤ	0.333
ˈo	ˈɤ	0.143
ˈo	o	0.333
ˈr̩	ˈɤ_r	0.333
i	i	0.4
n	ɛ_n	0.4
v	vʲ	0.154
ˈo	ˈɔ	0.524
ˈr̩	r	0.444
ˈɛ	ˈɛ	0.524
i	ˈi	0.6
n	n	0.6
v	v	0.846
ˈɛ	ɛ	0.476
a_#>	ˈa_#>	0.7
k	k	0.667
m	m	0.667
o_#>	ˈɔ_#>	0.417
ɛ	ˈɛ	0.357
ˈa	ˈa	0.467
ˈi	ˈi	0.818
ɛ_#>	ˈɛ_#>	0.429
