Old High German	Swiss German	probability
ˈou̯	ˈau̯	1.0
ˈie̯	ˈiə̯	1.0
ˈeː	ˈeː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_ɑ	ɡ̊	1.0
ɡ	ɡ̊	1.0
ɑ_n	ə	1.0
ɑ_l	l	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	χː	1.0
v	ʋ	1.0
tː	tː	1.0
t_ɛ	t_ə	1.0
t_r	t_r	1.0
s̻ː	sː	1.0
s̻_i	sː	1.0
r_n	r_n	1.0
r	r	1.0
p͡f	p͡f	1.0
p	p	1.0
oː_n	ə	1.0
ou̯	ˈau̯	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m_o	m_ə	1.0
lː	lː	1.0
l	l	1.0
kː_ɑ	ɡ̊ː	1.0
kʰ	ɣ̊	1.0
j	j	1.0
i_s	ʃ	1.0
h	h	1.0
fː	fː	1.0
eː_n	ə	1.0
e_n	ə	1.0
d	d̥	1.0
t	t	0.95
ˈi	ˈi	0.91
f	v̥	0.904
b	b̥	0.9
ˈiː	ˈiː	0.874
ˈuː	ˈuː	0.866
m	m	0.839
ˈei̯	ˈæi̯	0.815
x	χ	0.803
ɛ	ə	0.794
ˈo	ˈo	0.788
w	ʋ	0.744
n_t	n_d̥	0.734
ˈɛ	ˈæ	0.696
ˈiu̯	ˈyː	0.693
ɑ	ə	0.678
i	-	0.677
ˈoː	ˈoː	0.676
ˈuo̯	ˈuə̯	0.668
ˈu	ˈu	0.659
u	-	0.659
ˈɑ	ˈɒ	0.634
s̻	z̥	0.63
kː	k͡χ	0.628
k	-	0.583
s_k	ʒ̊	0.565
ˈio̯	ˈiə̯	0.562
ˈe	ˈæ	0.489
s	z̥	0.483
n	n	0.466
n	-	0.456
ˈɑː	ˈɒː	0.445
ˈio̯	ˈyː	0.438
s_k	ʃː	0.435
k	k͡χ	0.417
kː	ɡ̊ː	0.372
s̻	sː	0.37
ˈɑː	ˈoː	0.353
u	i	0.341
ˈuo̯	ˈyə̯	0.332
ˈe	-	0.326
ˈoː	ˈøː	0.324
ˈiu̯	ˈy	0.307
ɑ	-	0.279
n_t	ŋ	0.266
ˈɑ	ˈɒː	0.258
s	ʒ̊	0.222
ˈu	ˈy	0.21
ɛ	æ	0.206
s	ʃ	0.205
ˈɑː	-	0.203
x	-	0.197
w	-	0.189
ˈe	ˈe	0.186
ˈei̯	-	0.185
i	ə	0.176
ˈɛ	ˈæː	0.17
m	-	0.161
i	i	0.147
ˈo	ˈoː	0.143
ˈɛ	-	0.134
ˈuː	-	0.134
ˈu	-	0.13
ˈiː	-	0.126
ˈɑ	ˈæ	0.108
b	-	0.1
ˈi	ˈy	0.09
s	s	0.09
n	ə	0.078
ˈo	-	0.069
w	ʋ_ˈø	0.068
f	fː	0.062
