Old French	Old French	probability
θ	t	1.0
ˈɔ_j	ˈe	1.0
ˈỹ	ˈy	1.0
ˈũ_j	ˈy	1.0
ˈu_r	ˈu	1.0
ˈõ	ˈy	1.0
ˈo	w	1.0
ˈĩ	ˈi	1.0
ˈi_s	ˈɛ_ʦ	1.0
ˈi_r_#>	ˈi_#>	1.0
ˈẽ	ˈe	1.0
ˈe_r_#>	ˈa_#>	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ʧ_ə	k_ɔ	1.0
ʧ_j	k	1.0
ʧ	k	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ_r	e_r	1.0
ŋ	ŋ	1.0
z	z	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
w_t	w_t	1.0
ũ	u	1.0
u	u	1.0
t_ə	t_ɔ	1.0
s_ˈɛ	s_ˈe	1.0
s_ə	s	1.0
s_#>	s_#>	1.0
r_ˈɔ	ɾ_ˈe	1.0
r_#>	#>	1.0
p	p	1.0
o	ˈe	1.0
n_ə	ɔ	1.0
n_w	n_ˈa	1.0
n_t_#>	n_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_t	t	1.0
j_s	ʦ	1.0
j_n	ɲ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f_#>	w_#>	1.0
f	h	1.0
e	-	1.0
b_r	b_ɾ	1.0
ã	a	1.0
a_r	a_ɾ	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#	<#_e	1.0
t	t	0.926
m	m	0.914
<#_l	<#_l	0.882
d	d	0.875
ˈũ	ˈu	0.867
s	s	0.85
ə_#>	#>	0.833
l	l	0.833
r_ə	e	0.824
ˈu	ˈu	0.818
n_#>	ŋ_#>	0.818
ʦ	s	0.812
ˈa	ˈa	0.8
b	b	0.75
<#_r	<#_a_r	0.714
ɡ	ɡ	0.692
w	w	0.688
n	n	0.68
ˈy	ˈy	0.667
ˈi	ˈi	0.667
ə	ɔ	0.667
v	b	0.667
ˈe	-	0.615
l_#>	t_#>	0.588
ʤ	ʒ	0.579
r	ɾ	0.511
ˈɛ_f	ˈe_w	0.5
ˈɛ_f	w	0.5
ɔ	a_w	0.5
ɔ	-	0.5
ˈɛ	ˈɛ	0.486
#>	k_#>	0.429
l_#>	w_#>	0.412
ˈe	ˈa	0.385
r	r	0.34
v	β	0.333
ɡ	ɣ	0.308
ˈɔ	ˈɔ	0.3
<#_r	<#	0.286
#>	t_#>	0.286
#>	e_#>	0.286
ˈɛ	ˈa	0.257
b	β	0.25
j	j	0.234
ˈy	w_ˈe	0.222
ə	e	0.213
j	-	0.213
ˈɔ	ˈe	0.2
n	-	0.2
ʦ	-	0.188
w	-	0.188
ˈu	u_z_ˈa_w_t_e	0.182
n_#>	#>	0.182
r_ə	j_r	0.176
ə_#>	a_#>	0.167
ʤ	ʤ	0.158
ʤ	-	0.158
ˈɛ	ˈe	0.143
ˈɔ	ˈa_w	0.133
ˈũ	-	0.133
ˈi	ˈe_j	0.125
ˈi	ˈe	0.125
w	k	0.125
d	-	0.125
ˈa	-	0.12
n	ŋ	0.12
<#_l	<#_ʎ	0.118
ˈy	ˈu	0.111
j	ˈɛ	0.106
j	ð	0.106
ʤ	ɡ	0.105
ˈɔ	ˈu	0.1
ˈɔ	ˈi	0.1
ˈɔ	ˈa	0.1
s	ʃ	0.1
l	-	0.1
r	e	0.085
ˈi	ˈi_z	0.083
ˈa	ˈe	0.08
t	-	0.074
ˈɔ	-	0.067
l	ɾ	0.067
r	-	0.064
j	ˈa	0.064
j	e	0.064
ˈɛ	ˈɔ	0.057
ˈɛ	j	0.057
m	nː	0.057
